,logit,prediction,sentiment_score,Date
0,[0.79931676 0.17253858 0.0281446 ],positive,0.6267782,2021-03-29 18:55:15
1,[0.89215785 0.01382053 0.09402163],positive,0.8783373,2021-03-29 13:41:25
2,[0.02081859 0.03681404 0.94236743],neutral,-0.015995452,2021-03-29 10:46:22
3,[0.19256489 0.01267849 0.79475665],neutral,0.1798864,2021-03-29 07:12:00
4,[0.883237   0.01254897 0.104214  ],positive,0.870688,2021-03-28 17:18:55
5,[0.7264054  0.00964188 0.2639528 ],positive,0.7167635,2021-03-26 22:59:00
6,[0.62444544 0.00970367 0.36585084],positive,0.61474174,2021-03-26 14:49:00
7,[0.03074704 0.0760616  0.8931913 ],neutral,-0.045314558,2021-03-26 12:57:25
8,[0.9112661  0.01467262 0.0740613 ],positive,0.89659345,2021-03-26 12:53:11
9,[0.87218034 0.02531192 0.10250773],positive,0.8468684,2021-03-26 10:15:00
10,[0.63940233 0.01937077 0.3412269 ],positive,0.62003154,2021-03-24 14:39:13
11,[0.14803797 0.01452393 0.83743817],neutral,0.13351405,2021-03-23 08:04:18
12,[0.78249764 0.18850012 0.02900216],positive,0.59399754,2021-03-22 18:55:10
13,[0.7187639  0.00892389 0.2723122 ],positive,0.70984,2021-03-21 06:01:00
14,[0.31940484 0.64505374 0.03554138],negative,-0.3256489,2021-03-20 09:52:31
15,[0.03910548 0.02410016 0.9367944 ],neutral,0.01500532,2021-03-19 07:03:00
16,[0.09990554 0.0103389  0.88975555],neutral,0.08956663,2021-03-16 15:43:53
17,[0.02334417 0.9203107  0.05634518],negative,-0.8969665,2021-03-16 14:58:34
18,[0.8470192  0.12430089 0.02867994],positive,0.7227183,2021-03-15 18:31:27
19,[0.8922215  0.00857184 0.09920665],positive,0.88364965,2021-03-15 15:31:03
20,[0.8887775  0.01724328 0.09397932],positive,0.8715342,2021-03-13 08:32:00
21,[0.08973544 0.06951481 0.84074974],neutral,0.02022063,2021-03-11 07:21:40
22,[0.05872029 0.01614923 0.9251305 ],neutral,0.04257106,2021-03-09 16:54:09
23,[0.04372994 0.02482939 0.9314407 ],neutral,0.018900553,2021-03-09 16:50:28
24,[0.91314745 0.00977192 0.07708056],positive,0.9033755,2021-03-09 06:50:05
25,[0.0627775  0.02717275 0.91004974],neutral,0.035604753,2021-03-06 12:08:19
26,[0.06130888 0.01789316 0.9207979 ],neutral,0.043415725,2021-03-03 14:46:03
27,[0.06302902 0.02092584 0.9160451 ],neutral,0.042103183,2021-03-03 13:56:56
28,[0.8405693  0.0100119  0.14941873],positive,0.8305574,2021-03-03 09:30:07
29,[0.07812111 0.01563866 0.9062402 ],neutral,0.062482454,2021-03-02 16:36:07
30,[0.11071458 0.01196893 0.8773165 ],neutral,0.09874565,2021-03-02 06:59:00
31,[0.4439145  0.00819552 0.54789   ],neutral,0.43571898,2021-03-01 16:22:17
32,[0.03790946 0.04244524 0.9196453 ],neutral,-0.004535783,2021-03-01 16:16:00
33,[0.73405117 0.00950473 0.25644413],positive,0.72454643,2021-03-01 14:11:23
34,[0.9531211  0.01372123 0.03315761],positive,0.9393999,2021-02-28 16:44:36
35,[0.9472771  0.0125445  0.04017829],positive,0.9347326,2021-02-26 06:25:00
36,[0.09830791 0.01173703 0.8899551 ],neutral,0.08657088,2021-02-25 16:53:43
37,[0.01919257 0.9706735  0.01013392],negative,-0.9514809,2021-02-25 13:40:50
38,[0.02521    0.02697372 0.94781625],neutral,-0.0017637108,2021-02-25 01:00:00
39,[0.64543086 0.00970763 0.34486157],positive,0.63572323,2021-02-24 17:30:00
40,[0.6452442  0.02554268 0.32921308],positive,0.6197015,2021-02-24 15:11:17
41,[0.94496995 0.02110315 0.03392692],positive,0.9238668,2021-02-24 12:15:00
42,[0.92998326 0.00990263 0.06011415],positive,0.9200806,2021-02-24 08:07:00
43,[0.07719756 0.01441662 0.9083858 ],neutral,0.06278094,2021-02-24 07:10:00
44,[0.09441741 0.0123114  0.8932712 ],neutral,0.08210601,2021-02-23 06:59:00
45,[0.03928248 0.04040527 0.9203123 ],neutral,-0.0011227913,2021-02-22 18:15:00
46,[0.5138975  0.01030236 0.47580013],positive,0.5035951,2021-02-22 16:59:29
47,[0.09620878 0.01309714 0.890694  ],neutral,0.083111644,2021-02-20 07:40:00
48,[0.05458153 0.01522021 0.93019825],neutral,0.039361328,2021-02-19 17:04:00
49,[0.11667927 0.02470874 0.85861194],neutral,0.091970526,2021-02-19 08:00:31
50,[0.20434158 0.0111631  0.78449535],neutral,0.19317847,2021-02-19 05:19:00
51,[0.25169474 0.02289627 0.72540903],neutral,0.22879846,2021-02-18 21:29:00
52,[0.0306949  0.03959383 0.9297113 ],neutral,-0.008898934,2021-02-17 11:11:17
53,[0.06109874 0.01934946 0.91955185],neutral,0.041749276,2021-02-16 18:26:00
54,[0.93943626 0.01339478 0.04716897],positive,0.9260415,2021-02-16 17:41:18
55,[0.9218985  0.01135107 0.06675046],positive,0.91054744,2021-02-16 16:44:00
56,[0.0316784  0.8694259  0.09889576],negative,-0.8377475,2021-02-16 13:24:42
57,[0.02909793 0.93067354 0.04022855],negative,-0.9015756,2021-02-15 23:00:00
58,[0.11285929 0.0549543  0.8321864 ],neutral,0.057904992,2021-02-12 07:57:10
59,[0.09774699 0.68498665 0.2172664 ],negative,-0.5872397,2021-02-11 12:30:21
60,[0.29823235 0.00706003 0.6947076 ],neutral,0.29117233,2021-02-11 09:13:55
61,[0.0282697  0.03245213 0.9392782 ],neutral,-0.004182428,2021-02-10 17:54:20
62,[0.07912982 0.09320476 0.82766545],neutral,-0.0140749365,2021-02-10 17:19:15
63,[0.19878311 0.01618899 0.7850279 ],neutral,0.18259412,2021-02-10 09:50:03
64,[0.38349965 0.01290556 0.60359484],neutral,0.37059408,2021-02-09 18:47:05
65,[0.6087113  0.01030191 0.3809868 ],positive,0.5984094,2021-02-09 12:08:15
66,[0.8690662  0.01085787 0.12007599],positive,0.8582083,2021-02-08 20:28:04
67,[0.887984   0.09017978 0.02183633],positive,0.7978042,2021-02-08 17:00:31
68,[0.9296897  0.01243645 0.05787383],positive,0.91725326,2021-02-08 17:00:00
69,[0.9278712  0.01132437 0.06080449],positive,0.9165469,2021-02-08 12:12:00
70,[0.00872747 0.97102475 0.02024781],negative,-0.96229726,2021-02-08 11:04:48
71,[0.54812026 0.01163081 0.4402489 ],positive,0.5364894,2021-02-07 06:09:00
72,[0.87884194 0.01147896 0.10967904],positive,0.867363,2021-02-05 16:39:00
73,[0.95240444 0.01858103 0.02901454],positive,0.9338234,2021-02-05 13:38:16
74,[0.5751229 0.0154024 0.4094747],positive,0.5597205,2021-02-05 06:06:00
75,[0.08479068 0.01088584 0.9043235 ],neutral,0.07390484,2021-02-04 17:13:47
76,[0.03535432 0.08576521 0.87888044],neutral,-0.05041089,2021-02-04 17:13:06
77,[0.7459024  0.06890699 0.18519057],positive,0.6769954,2021-02-04 14:48:04
78,[0.92151165 0.04887085 0.02961755],positive,0.8726408,2021-02-04 12:51:54
79,[0.011813   0.89330614 0.0948809 ],negative,-0.88149315,2021-02-04 07:21:44
80,[0.9553414  0.02184235 0.02281625],positive,0.93349904,2021-02-04 07:18:45
81,[0.05329314 0.03071332 0.9159935 ],neutral,0.022579823,2021-02-03 17:18:54
82,[0.01411078 0.97044456 0.01544465],negative,-0.95633376,2021-02-03 13:00:00
83,[0.69250584 0.01152138 0.29597276],positive,0.68098444,2021-02-02 13:53:38
84,[0.11493493 0.26889166 0.6161734 ],neutral,-0.15395674,2021-02-02 06:06:00
85,[0.9067834  0.01176264 0.08145387],positive,0.8950208,2021-02-02 05:01:15
86,[0.02508943 0.8544426  0.12046795],negative,-0.82935315,2021-02-01 14:50:02
87,[0.9433565  0.02578352 0.03085996],positive,0.917573,2021-02-01 14:22:59
88,[0.0452912  0.02065579 0.93405306],neutral,0.024635402,2021-02-01 11:22:04
89,[0.92125046 0.04000313 0.03874638],positive,0.88124734,2021-01-27 09:30:00
90,[0.18046638 0.0125827  0.80695087],neutral,0.1678837,2021-01-26 05:46:00
91,[0.20032887 0.75984454 0.03982654],negative,-0.55951566,2021-01-25 18:48:20
92,[0.86253494 0.01173663 0.12572844],positive,0.8507983,2021-01-24 06:45:00
93,[0.28608793 0.0097568  0.70415527],neutral,0.27633113,2021-01-24 05:51:00
94,[0.0607623  0.01284966 0.9263881 ],neutral,0.047912646,2021-01-22 13:54:37
95,[0.8350176  0.00914821 0.15583421],positive,0.8258694,2021-01-22 13:18:00
96,[0.31884503 0.01190731 0.6692477 ],neutral,0.30693772,2021-01-21 13:33:11
97,[0.38209724 0.0082026  0.6097002 ],neutral,0.37389463,2021-01-21 11:00:51
98,[0.0243374  0.04455375 0.93110883],neutral,-0.020216353,2021-01-21 06:59:00
99,[0.11177491 0.0093341  0.87889105],neutral,0.102440804,2021-01-19 09:05:12
100,[0.87842035 0.0083154  0.11326429],positive,0.87010497,2021-01-19 08:38:00
101,[0.8413596  0.00873878 0.14990157],positive,0.83262086,2021-01-18 16:10:10
102,[0.19633372 0.7616748  0.04199147],negative,-0.5653411,2021-01-15 18:48:15
103,[0.4869681  0.01160739 0.5014245 ],neutral,0.47536072,2021-01-15 10:01:01
104,[0.7040561  0.0219698  0.27397412],positive,0.6820863,2021-01-14 14:52:02
105,[0.88207704 0.0141004  0.10382251],positive,0.86797667,2021-01-14 14:08:00
106,[0.07337351 0.08580443 0.84082204],neutral,-0.012430921,2021-01-14 06:10:00
107,[0.047814   0.01996572 0.9322202 ],neutral,0.027848274,2021-01-13 17:03:41
108,[0.85371804 0.00927988 0.13700202],positive,0.84443814,2021-01-13 14:51:59
109,[0.27111927 0.685495   0.04338568],negative,-0.41437575,2021-01-12 18:48:17
110,[0.11041217 0.01189403 0.87769383],neutral,0.09851814,2021-01-12 14:36:47
111,[0.92086834 0.01033328 0.06879827],positive,0.91053504,2021-01-12 13:51:23
112,[0.9000737  0.01055279 0.08937351],positive,0.88952094,2021-01-12 07:10:00
113,[0.0520151  0.01983338 0.9281515 ],neutral,0.032181717,2021-01-11 11:52:04
114,[0.84787935 0.10074961 0.05137098],positive,0.74712974,2021-01-11 07:04:13
115,[0.9030989 0.0101654 0.0867358],positive,0.8929335,2021-01-10 09:02:00
116,[0.8703202  0.01114747 0.1185324 ],positive,0.85917276,2021-01-10 06:11:00
117,[0.801027   0.17095102 0.02802201],positive,0.630076,2021-01-06 18:48:09
118,[0.08453447 0.01245775 0.90300775],neutral,0.072076716,2021-01-05 10:23:56
119,[0.23839039 0.00861116 0.7529985 ],neutral,0.22977923,2021-01-05 01:50:00
120,[0.33937168 0.6286706  0.03195772],negative,-0.2892989,2021-01-04 12:03:29
121,[0.7716718  0.01137187 0.2169563 ],positive,0.7602999,2021-01-04 06:09:00
122,[0.5069763  0.01436155 0.47866222],positive,0.49261475,2021-01-03 06:08:00
123,[0.06477809 0.01360121 0.92162067],neutral,0.051176876,2021-01-01 06:59:00
124,[0.12975572 0.770821   0.09942331],negative,-0.64106524,2020-12-31 13:40:47
125,[0.10757609 0.10859304 0.7838309 ],neutral,-0.0010169446,2020-12-31 08:31:17
126,[0.7792753  0.18818551 0.0325392 ],positive,0.5910898,2020-12-30 18:48:11
127,[0.5633031  0.01262591 0.42407095],positive,0.5506772,2020-12-30 06:12:43
128,[0.94816864 0.01421542 0.03761598],positive,0.9339532,2020-12-29 19:19:16
129,[0.63910854 0.01332368 0.34756774],positive,0.6257849,2020-12-29 11:17:06
130,[0.01953897 0.04892596 0.931535  ],neutral,-0.02938699,2020-12-29 09:00:00
131,[0.27036393 0.08091483 0.6487213 ],neutral,0.1894491,2020-12-28 18:00:32
132,[0.6798759  0.01153436 0.30858976],positive,0.6683415,2020-12-28 06:59:00
133,[0.7874426  0.00793455 0.20462278],positive,0.77950805,2020-12-25 06:08:00
134,[0.01305454 0.95933175 0.02761371],negative,-0.9462772,2020-12-24 07:34:00
135,[0.04362055 0.02281907 0.93356043],neutral,0.020801483,2020-12-24 06:00:00
136,[0.6721641  0.30046496 0.02737092],positive,0.37169912,2020-12-23 18:49:19
137,[0.01519724 0.96350986 0.0212929 ],negative,-0.94831264,2020-12-23 07:52:06
138,[0.4068696  0.03032433 0.56280607],neutral,0.37654525,2020-12-23 06:59:00
139,[0.29899704 0.02141143 0.67959154],neutral,0.27758563,2020-12-21 11:55:00
140,[0.08222105 0.01518498 0.902594  ],neutral,0.06703607,2020-12-19 06:16:00
141,[0.8459947  0.12695898 0.02704631],positive,0.71903574,2020-12-17 18:48:10
142,[0.02171426 0.9244404  0.05384525],negative,-0.9027261,2020-12-16 08:31:34
143,[0.7158966  0.01486566 0.26923773],positive,0.70103097,2020-12-14 20:33:51
144,[0.05143096 0.6986889  0.24988012],negative,-0.647258,2020-12-14 17:01:00
145,[0.87128025 0.07799534 0.05072436],positive,0.7932849,2020-12-14 14:38:46
146,[0.12930694 0.3629091  0.50778395],neutral,-0.23360217,2020-12-14 09:18:23
147,[0.12646964 0.01284829 0.86068213],neutral,0.113621354,2020-12-13 11:44:00
148,[0.09654248 0.19977783 0.7036797 ],neutral,-0.10323535,2020-12-13 06:20:00
149,[0.08811709 0.01509933 0.8967836 ],neutral,0.07301777,2020-12-12 15:44:35
150,[0.5993921  0.05215369 0.34845415],positive,0.5472384,2020-12-11 08:03:00
151,[0.94399494 0.01535589 0.0406492 ],positive,0.92863905,2020-12-11 07:15:00
152,[0.07855398 0.8918735  0.02957245],negative,-0.8133195,2020-12-10 09:50:15
153,[0.03085113 0.05219461 0.91695434],neutral,-0.021343485,2020-12-10 00:17:00
154,[0.06295256 0.04911919 0.88792825],neutral,0.0138333775,2020-12-09 09:24:20
155,[0.7048868  0.01414541 0.2809678 ],positive,0.69074136,2020-12-08 13:57:24
156,[0.1290284  0.01142025 0.8595514 ],neutral,0.11760815,2020-12-08 06:59:00
157,[0.2599667  0.00983944 0.73019385],neutral,0.25012726,2020-12-07 16:30:00
158,[0.05358196 0.05295078 0.8934673 ],neutral,0.0006311871,2020-12-07 13:49:00
159,[0.71781045 0.01077147 0.271418  ],positive,0.707039,2020-12-07 10:00:00
160,[0.13019393 0.01624448 0.8535616 ],neutral,0.11394945,2020-12-07 07:28:59
161,[0.08051626 0.02088464 0.89859915],neutral,0.059631627,2020-12-06 06:12:00
162,[0.0627775  0.02717275 0.91004974],neutral,0.035604753,2020-12-05 11:32:00
163,[0.6144914  0.00963032 0.37587827],positive,0.6048611,2020-12-05 06:35:00
164,[0.02623094 0.95974445 0.01402462],negative,-0.9335135,2020-12-04 16:30:45
165,[0.15995981 0.03429133 0.8057489 ],neutral,0.12566848,2020-12-04 05:51:00
166,[0.60763663 0.16830625 0.22405711],positive,0.4393304,2020-12-03 11:25:26
167,[0.67977905 0.01023625 0.30998474],positive,0.6695428,2020-12-01 11:01:20
168,[0.91993797 0.0089445  0.0711175 ],positive,0.91099346,2020-12-01 08:03:10
169,[0.00983029 0.9741663  0.01600348],negative,-0.964336,2020-12-01 08:00:00
170,[0.70936805 0.25401255 0.03661934],positive,0.4553555,2020-11-29 08:25:10
171,[0.04032861 0.0271731  0.9324983 ],neutral,0.013155507,2020-11-27 05:33:20
172,[0.8930318  0.01074415 0.09622411],positive,0.8822876,2020-11-25 13:14:00
173,[0.32859677 0.01839066 0.6530126 ],neutral,0.31020612,2020-11-24 14:54:38
174,[0.92370474 0.01063145 0.06566388],positive,0.9130733,2020-11-24 06:59:00
175,[0.07840846 0.03615679 0.88543475],neutral,0.042251676,2020-11-24 06:15:00
176,[0.09863355 0.01032466 0.8910418 ],neutral,0.088308886,2020-11-23 11:33:23
177,[0.93694186 0.01829028 0.04476785],positive,0.9186516,2020-11-23 07:01:54
178,[0.6676387  0.00805387 0.32430735],positive,0.6595849,2020-11-23 06:30:00
179,[0.4892722  0.18392134 0.3268065 ],positive,0.30535087,2020-11-20 08:01:00
180,[0.92192435 0.01561141 0.06246416],positive,0.90631294,2020-11-20 07:00:00
181,[0.10292864 0.01118643 0.8858849 ],neutral,0.0917422,2020-11-19 17:02:09
182,[0.04344923 0.01991436 0.9366364 ],neutral,0.023534872,2020-11-18 13:08:03
183,[0.936493   0.0125964  0.05091061],positive,0.92389655,2020-11-18 12:47:30
184,[0.04541999 0.6922262  0.26235387],negative,-0.6468062,2020-11-18 08:28:57
185,[0.14241925 0.01259684 0.8449839 ],neutral,0.1298224,2020-11-18 06:08:00
186,[0.7853044  0.01134742 0.20334817],positive,0.773957,2020-11-17 15:39:00
187,[0.07955771 0.01192163 0.90852064],neutral,0.06763608,2020-11-17 13:21:09
188,[0.01055496 0.9357519  0.05369303],negative,-0.92519695,2020-11-17 12:43:00
189,[0.04495149 0.02274496 0.93230355],neutral,0.022206537,2020-11-17 12:28:00
190,[0.3394614  0.01336318 0.64717543],neutral,0.3260982,2020-11-17 11:54:28
191,[0.06945554 0.12921561 0.8013288 ],neutral,-0.05976007,2020-11-17 10:10:41
192,[0.3900887  0.01193358 0.5979777 ],neutral,0.37815514,2020-11-17 09:45:00
193,[0.7637195  0.00834026 0.22794028],positive,0.75537926,2020-11-17 08:30:00
194,[0.48733    0.4093191  0.10335089],positive,0.07801089,2020-11-17 07:13:00
195,[0.52218056 0.00781657 0.47000292],positive,0.514364,2020-11-17 07:03:00
196,[0.7493448  0.00775328 0.2429019 ],positive,0.7415916,2020-11-17 06:59:00
197,[0.05816809 0.15895799 0.78287387],neutral,-0.100789905,2020-11-17 05:41:52
198,[0.07901004 0.01858631 0.90240365],neutral,0.060423724,2020-11-16 21:39:45
199,[0.9153716  0.01413026 0.07049818],positive,0.90124136,2020-11-16 18:54:44
200,[0.03623614 0.02100983 0.942754  ],neutral,0.015226314,2020-11-16 17:39:35
201,[0.59309363 0.0258804  0.381026  ],positive,0.56721324,2020-11-16 17:28:14
202,[0.04441264 0.02193421 0.9336531 ],neutral,0.022478433,2020-11-16 16:30:15
203,[0.07803337 0.01226034 0.9097063 ],neutral,0.065773025,2020-11-16 16:21:00
204,[0.12117618 0.01094952 0.86787426],neutral,0.11022666,2020-11-16 16:17:00
205,[0.14721255 0.8341793  0.01860814],negative,-0.6869667,2020-11-16 04:13:05
206,[0.79035455 0.02366204 0.18598348],positive,0.7666925,2020-11-13 16:25:08
207,[0.81839925 0.00658787 0.17501284],positive,0.8118114,2020-11-12 09:30:00
208,[0.5314622  0.01192695 0.45661086],positive,0.51953524,2020-11-12 08:00:00
209,[0.15011336 0.01032677 0.8395599 ],neutral,0.13978659,2020-11-11 16:15:00
210,[0.07557488 0.01023152 0.9141936 ],neutral,0.06534336,2020-11-10 19:30:58
211,[0.11148433 0.38278767 0.505728  ],neutral,-0.27130336,2020-11-10 12:35:45
212,[0.11921232 0.01196173 0.8688259 ],neutral,0.107250586,2020-11-09 16:05:04
213,[0.7198462  0.01130395 0.26884988],positive,0.7085422,2020-11-09 06:59:00
214,[0.01266666 0.9621223  0.02521097],negative,-0.9494557,2020-11-06 15:01:00
215,[0.91547525 0.01000222 0.07452241],positive,0.90547305,2020-11-06 06:59:00
216,[0.87472594 0.01646984 0.10880429],positive,0.8582561,2020-11-05 23:09:58
217,[0.02324855 0.9474986  0.02925285],negative,-0.92425007,2020-11-05 14:27:00
218,[0.1977416  0.01186764 0.79039073],neutral,0.18587396,2020-11-05 14:00:00
219,[0.03860454 0.08467256 0.8767229 ],neutral,-0.046068016,2020-11-05 13:56:01
220,[0.9219558  0.04864302 0.02940115],positive,0.87331283,2020-11-05 11:17:00
221,[0.18772753 0.5358086  0.27646387],negative,-0.3480811,2020-11-05 11:04:09
222,[0.9209806  0.01880377 0.06021561],positive,0.9021768,2020-11-05 10:00:00
223,[0.93457603 0.02645201 0.03897197],positive,0.908124,2020-11-05 08:48:44
224,[0.6071944  0.0827329  0.31007272],positive,0.5244615,2020-11-05 08:25:07
225,[0.9527674  0.02244547 0.02478723],positive,0.93032193,2020-11-05 08:22:30
226,[0.9488312  0.02658426 0.02458462],positive,0.92224693,2020-11-05 07:25:33
227,[0.8776033  0.00952442 0.11287229],positive,0.8680789,2020-11-05 07:01:00
228,[0.15325524 0.08837005 0.75837463],neutral,0.064885184,2020-11-05 06:59:00
229,[0.9338958  0.01421456 0.0518896 ],positive,0.91968125,2020-11-04 15:46:00
230,[0.9488576  0.02214644 0.02899595],positive,0.92671114,2020-11-04 08:32:00
231,[0.13463105 0.02006752 0.8453014 ],neutral,0.11456354,2020-11-04 08:25:00
232,[0.03808284 0.01687501 0.94504213],neutral,0.021207832,2020-11-04 06:59:00
233,[0.19003655 0.01097427 0.7989892 ],neutral,0.17906228,2020-11-04 06:01:00
234,[0.01363843 0.7847093  0.20165232],negative,-0.77107084,2020-11-03 20:40:51
235,[0.95307004 0.02598492 0.02094501],positive,0.9270851,2020-11-03 16:14:10
236,[0.9291713  0.02049642 0.05033223],positive,0.9086749,2020-11-03 14:03:00
237,[0.95307004 0.02598492 0.02094501],positive,0.9270851,2020-11-03 08:41:10
238,[0.9057373  0.01099947 0.08326328],positive,0.89473784,2020-11-03 06:59:00
239,[0.60918677 0.0107332  0.38007998],positive,0.5984536,2020-11-02 10:23:08
240,[0.34825897 0.00916737 0.64257365],neutral,0.3390916,2020-11-02 08:30:00
241,[0.01432429 0.9491189  0.03655682],negative,-0.9347946,2020-10-31 08:22:00
242,[0.04544298 0.02040562 0.9341514 ],neutral,0.025037356,2020-10-30 10:49:00
243,[0.5279101 0.0158174 0.4562725],positive,0.5120927,2020-10-29 12:35:19
244,[0.8942851  0.01983499 0.08587992],positive,0.8744501,2020-10-29 09:50:42
245,[0.9366982  0.02721153 0.03609032],positive,0.90948665,2020-10-29 06:14:00
246,[0.06361076 0.04535374 0.8910355 ],neutral,0.018257026,2020-10-28 15:45:44
247,[0.24367785 0.62258    0.13374215],negative,-0.37890214,2020-10-28 08:59:57
248,[0.14617944 0.01255137 0.8412692 ],neutral,0.13362807,2020-10-28 08:59:39
249,[0.16715884 0.05113246 0.78170866],neutral,0.11602639,2020-10-28 07:00:00
250,[0.09385458 0.01395756 0.89218783],neutral,0.079897024,2020-10-28 06:30:49
251,[0.10234629 0.09667937 0.8009743 ],neutral,0.005666919,2020-10-27 08:45:00
252,[0.72351277 0.01169838 0.26478887],positive,0.7118144,2020-10-27 07:05:00
253,[0.6547661  0.01161032 0.33362356],positive,0.64315575,2020-10-27 06:12:00
254,[0.670016   0.29856914 0.03141491],positive,0.37144685,2020-10-26 17:45:22
255,[0.91255647 0.01002541 0.07741805],positive,0.9025311,2020-10-26 14:47:31
256,[0.14121649 0.01020957 0.8485739 ],neutral,0.13100693,2020-10-26 10:27:24
257,[0.30176848 0.01259955 0.68563193],neutral,0.28916892,2020-10-26 08:00:00
258,[0.18670118 0.02033557 0.7929632 ],neutral,0.16636561,2020-10-26 05:51:00
259,[0.87163985 0.00919297 0.11916713],positive,0.8624469,2020-10-24 07:30:00
260,[0.9415461  0.02826434 0.0301896 ],positive,0.91328174,2020-10-22 07:00:00
261,[0.04133547 0.02470441 0.9339601 ],neutral,0.016631069,2020-10-20 18:17:03
262,[0.93438315 0.0268147  0.03880212],positive,0.90756845,2020-10-19 15:24:56
263,[0.10183856 0.04318612 0.8549754 ],neutral,0.05865244,2020-10-19 13:19:50
264,[0.3199139  0.02821945 0.6518666 ],neutral,0.29169443,2020-10-19 12:38:00
265,[0.9204867  0.01123517 0.06827813],positive,0.9092515,2020-10-19 11:55:00
266,[0.29817045 0.01091748 0.69091207],neutral,0.28725296,2020-10-19 09:21:11
267,[0.52473927 0.01789822 0.45736256],positive,0.50684106,2020-10-19 06:59:00
268,[0.70890284 0.14192706 0.1491701 ],positive,0.5669758,2020-10-19 06:06:00
269,[0.86664295 0.00770759 0.12564947],positive,0.85893536,2020-10-19 00:00:00
270,[0.27715066 0.02098634 0.70186305],neutral,0.2561643,2020-10-18 09:30:00
271,[0.11990162 0.02988065 0.85021776],neutral,0.09002097,2020-10-17 07:11:00
272,[0.68842816 0.00965726 0.30191457],positive,0.6787709,2020-10-16 11:30:00
273,[0.9248997  0.01510364 0.05999667],positive,0.90979606,2020-10-16 07:45:00
274,[0.83772904 0.00964326 0.15262772],positive,0.8280858,2020-10-16 00:00:00
275,[0.12944283 0.0229476  0.8476096 ],neutral,0.10649523,2020-10-15 00:00:00
276,[0.07816611 0.11263123 0.80920273],neutral,-0.03446512,2020-10-14 08:29:46
277,[0.943532   0.0197956  0.03667235],positive,0.9237364,2020-10-14 03:00:46
278,[0.02839557 0.02438404 0.9472203 ],neutral,0.0040115286,2020-10-13 21:47:17
279,[0.12944283 0.0229476  0.8476096 ],neutral,0.10649523,2020-10-13 00:00:00
280,[0.94012696 0.01344296 0.0464302 ],positive,0.926684,2020-10-10 18:06:00
281,[0.36806664 0.1095878  0.5223456 ],neutral,0.25847882,2020-10-10 08:38:51
282,[0.02326537 0.02479027 0.95194435],neutral,-0.001524901,2020-10-09 14:24:00
283,[0.07479256 0.01436463 0.9108428 ],neutral,0.060427934,2020-10-09 08:59:00
284,[0.11138736 0.02331058 0.8653021 ],neutral,0.08807678,2020-10-08 15:30:16
285,[0.94016963 0.03845596 0.02137446],positive,0.90171367,2020-10-08 11:39:00
