,logit,prediction,sentiment_score,Date
0,[0.71572    0.00773983 0.2765401 ],positive,0.70798016,2021-03-29 18:00:00
1,[0.62482834 0.00815181 0.36701986],positive,0.6166765,2021-03-29 11:30:00
2,[0.02081859 0.03681404 0.94236743],neutral,-0.015995452,2021-03-29 10:46:22
3,[0.89002275 0.00862141 0.10135582],positive,0.88140136,2021-03-29 09:19:00
4,[0.66929615 0.01809939 0.3126045 ],positive,0.6511968,2021-03-28 19:29:40
5,[0.11749955 0.01210915 0.8703913 ],neutral,0.1053904,2021-03-26 10:03:00
6,[0.13861297 0.00920646 0.85218054],neutral,0.12940651,2021-03-25 11:20:43
7,[0.7543034  0.00912948 0.23656712],positive,0.74517393,2021-03-24 10:00:00
8,[0.75377893 0.00652307 0.23969796],positive,0.74725586,2021-03-24 09:09:06
9,[0.22265343 0.1726022  0.60474443],neutral,0.050051227,2021-03-23 14:58:29
10,[0.7196415  0.01257053 0.267788  ],positive,0.707071,2021-03-23 12:04:10
11,[0.949248   0.01478325 0.0359688 ],positive,0.93446475,2021-03-23 07:34:04
12,[0.02521349 0.04310406 0.93168247],neutral,-0.017890576,2021-03-19 13:11:33
13,[0.07265747 0.0145246  0.91281796],neutral,0.058132865,2021-03-19 10:17:17
14,[0.04556359 0.01383287 0.94060355],neutral,0.03173071,2021-03-19 09:00:00
15,[0.7221436  0.00927639 0.26858   ],positive,0.7128672,2021-03-18 19:33:00
16,[0.92035055 0.01301811 0.06663129],positive,0.9073324,2021-03-18 16:31:00
17,[0.03360429 0.01563543 0.95076025],neutral,0.017968858,2021-03-18 15:30:00
18,[0.08649837 0.01389469 0.89960694],neutral,0.07260368,2021-03-18 13:33:25
19,[0.00718884 0.96848035 0.02433078],negative,-0.9612915,2021-03-17 11:50:06
20,[0.20773566 0.01629804 0.77596635],neutral,0.19143762,2021-03-17 09:25:15
21,[0.11402962 0.04068379 0.8452866 ],neutral,0.073345825,2021-03-17 02:26:25
22,[0.2108507  0.00804993 0.7810994 ],neutral,0.20280077,2021-03-16 10:42:00
23,[0.83510643 0.00785522 0.15703839],positive,0.8272512,2021-03-16 10:23:36
24,[0.39793503 0.00982922 0.59223574],neutral,0.3881058,2021-03-14 07:30:00
25,[0.23195903 0.03300935 0.7350316 ],neutral,0.19894968,2021-03-11 14:19:45
26,[0.06010703 0.01451577 0.9253772 ],neutral,0.045591258,2021-03-10 13:42:07
27,[0.07690898 0.7303342  0.1927568 ],negative,-0.6534252,2021-03-10 13:21:13
28,[0.09565113 0.01319629 0.89115256],neutral,0.08245484,2021-03-10 07:45:00
29,[0.8281922  0.00681137 0.1649964 ],positive,0.8213808,2021-03-10 05:15:00
30,[0.94953823 0.02910172 0.02136015],positive,0.9204365,2021-03-04 07:00:00
31,[0.05060578 0.01681498 0.9325792 ],neutral,0.033790797,2021-03-03 22:47:11
32,[0.4480442  0.27432358 0.27763227],positive,0.17372063,2021-03-03 12:45:00
33,[0.00805401 0.93746257 0.05448347],negative,-0.92940855,2021-03-03 09:24:30
34,[0.7996389  0.01052256 0.18983848],positive,0.7891164,2021-03-02 18:00:00
35,[0.6573258  0.20714247 0.13553174],positive,0.45018333,2021-03-01 09:27:38
36,[0.5276369  0.01333298 0.45903012],positive,0.5143039,2021-03-01 07:33:00
37,[0.04947571 0.02589303 0.92463124],neutral,0.023582682,2021-02-27 12:11:30
