,logit,prediction,sentiment_score,Date
0,[0.26419902 0.01779339 0.7180076 ],neutral,0.24640563,2021-03-29 13:27:08
1,[0.9205288  0.0421191  0.03735207],positive,0.87840974,2021-03-28 17:23:19
2,[0.78577834 0.01031075 0.20391087],positive,0.7754676,2021-03-28 07:07:00
3,[0.13475384 0.01483579 0.8504104 ],neutral,0.11991805,2021-03-27 07:52:00
4,[0.95262283 0.01851132 0.02886585],positive,0.93411154,2021-03-26 16:42:03
5,[0.8571805  0.01939093 0.12342859],positive,0.83778954,2021-03-26 07:22:00
6,[0.6588156  0.03318781 0.30799654],positive,0.6256278,2021-03-23 19:24:50
7,[0.06313547 0.0303062  0.90655833],neutral,0.03282927,2021-03-23 19:13:16
8,[0.06689272 0.29721585 0.63589144],neutral,-0.23032314,2021-03-21 22:04:00
9,[0.03595161 0.02907961 0.93496877],neutral,0.006872,2021-03-19 15:42:04
10,[0.08177241 0.01925873 0.89896894],neutral,0.06251368,2021-03-19 11:28:00
11,[0.9094362  0.0467269  0.04383685],positive,0.86270934,2021-03-19 08:05:04
12,[0.04177975 0.01750592 0.9407143 ],neutral,0.024273828,2021-03-18 15:25:34
13,[0.9225758  0.02913019 0.04829403],positive,0.89344555,2021-03-17 10:37:15
14,[0.92799675 0.02698118 0.04502206],positive,0.9010156,2021-03-17 07:15:00
15,[0.46280473 0.09722964 0.43996567],positive,0.36557508,2021-03-17 06:36:00
16,[0.94435966 0.01206635 0.04357397],positive,0.9322933,2021-03-16 11:15:00
17,[0.07880395 0.01345728 0.90773875],neutral,0.065346666,2021-03-16 08:45:00
18,[0.94184244 0.03299929 0.02515838],positive,0.90884316,2021-03-16 06:45:00
19,[0.15484688 0.13136081 0.7137923 ],neutral,0.023486063,2021-03-15 12:33:52
20,[0.01002994 0.9695618  0.02040818],negative,-0.9595319,2021-03-14 07:38:00
21,[0.0587186 0.0190381 0.9222433],neutral,0.0396805,2021-03-12 17:04:03
22,[0.11423005 0.07559635 0.81017363],neutral,0.038633704,2021-03-12 08:05:17
23,[0.87948954 0.02032348 0.10018697],positive,0.8591661,2021-03-11 18:46:57
24,[0.09533794 0.03609236 0.86856973],neutral,0.059245586,2021-03-11 13:16:56
25,[0.62479794 0.01591161 0.35929045],positive,0.6088863,2021-03-11 11:44:51
26,[0.01134812 0.9695116  0.0191402 ],negative,-0.9581635,2021-03-09 08:23:00
27,[0.06729095 0.7410288  0.19168033],negative,-0.6737378,2021-03-08 14:23:20
28,[0.89471555 0.01923835 0.08604604],positive,0.8754772,2021-03-08 11:57:18
29,[0.00886657 0.97358465 0.01754873],negative,-0.9647181,2021-03-08 10:41:33
30,[0.04377202 0.04563409 0.9105939 ],neutral,-0.0018620752,2021-03-05 17:35:26
31,[0.45478538 0.5085712  0.03664339],negative,-0.05378583,2021-03-05 16:30:27
32,[0.19674674 0.02440261 0.7788507 ],neutral,0.17234412,2021-03-05 12:24:00
33,[0.06225574 0.25504196 0.68270236],neutral,-0.19278622,2021-03-05 10:54:32
