,logit,prediction,sentiment_score,Date
0,[0.9404159  0.00978378 0.04980032],positive,0.9306321,2021-03-29 09:50:21
1,[0.05119396 0.03172838 0.9170776 ],neutral,0.019465588,2021-03-27 12:41:38
2,[0.6659236  0.0095037  0.32457268],positive,0.6564199,2021-03-26 17:08:45
3,[0.07391993 0.01117377 0.91490626],neutral,0.06274616,2021-03-25 11:00:00
4,[0.00790481 0.9355572  0.05653803],negative,-0.92765236,2021-03-24 17:19:39
5,[0.6175714  0.00859535 0.37383318],positive,0.60897607,2021-03-24 08:00:00
6,[0.8902385  0.00999195 0.09976952],positive,0.8802466,2021-03-23 09:50:19
7,[0.22411178 0.00984468 0.76604354],neutral,0.2142671,2021-03-23 07:56:00
8,[0.09476981 0.01399711 0.891233  ],neutral,0.08077269,2021-03-22 16:30:00
9,[0.11437839 0.02323584 0.86238575],neutral,0.09114255,2021-03-22 14:52:25
10,[0.05220808 0.5869537  0.3608382 ],negative,-0.53474563,2021-03-21 12:00:00
11,[0.8545782  0.01076293 0.13465881],positive,0.84381527,2021-03-20 07:45:00
12,[0.37383547 0.01133589 0.61482865],neutral,0.3624996,2021-03-18 08:00:00
13,[0.93359697 0.01957263 0.04683042],positive,0.91402435,2021-03-17 11:55:14
14,[0.76823395 0.00751466 0.22425134],positive,0.7607193,2021-03-17 09:00:00
15,[0.92025816 0.01461486 0.06512694],positive,0.9056433,2021-03-17 06:23:14
16,[0.593988   0.01128912 0.39472288],positive,0.5826989,2021-03-14 07:05:00
17,[0.06171276 0.01610689 0.92218035],neutral,0.045605868,2021-03-12 12:58:12
18,[0.11577182 0.14539428 0.7388339 ],neutral,-0.029622465,2021-03-12 11:18:43
19,[0.6808682  0.16805482 0.15107697],positive,0.5128134,2021-03-12 06:06:00
20,[0.01059158 0.95904124 0.03036717],negative,-0.9484497,2021-03-11 17:19:47
21,[0.37394753 0.5393232  0.08672928],negative,-0.16537568,2021-03-10 06:15:00
22,[0.04353998 0.02641646 0.9300436 ],neutral,0.017123517,2021-03-09 22:48:52
23,[0.03043959 0.02421279 0.9453476 ],neutral,0.0062268022,2021-03-09 07:42:29
24,[0.9279713  0.00977436 0.06225434],positive,0.9181969,2021-03-08 12:23:00
25,[0.9120853  0.00888365 0.07903111],positive,0.90320164,2021-03-06 09:54:12
26,[0.14789021 0.0209148  0.831195  ],neutral,0.1269754,2021-03-05 10:19:00
27,[0.9300673  0.01148647 0.05844615],positive,0.91858083,2021-03-05 07:15:00
28,[0.08267551 0.01316279 0.9041617 ],neutral,0.06951272,2021-03-03 12:47:00
