,logit,prediction,sentiment_score,Date
0,[0.02081859 0.03681404 0.94236743],neutral,-0.015995452,2021-03-29 10:46:22
1,[0.47909153 0.01526201 0.50564647],neutral,0.46382952,2021-03-25 12:00:00
2,[0.8565306  0.11106878 0.03240061],positive,0.7454618,2021-03-24 18:17:10
3,[0.84713954 0.01057058 0.14228979],positive,0.83656895,2021-03-24 06:31:53
4,[0.61358035 0.00958791 0.37683168],positive,0.60399246,2021-03-22 11:10:00
5,[0.26294598 0.65467227 0.08238177],negative,-0.3917263,2021-03-18 18:33:09
6,[0.9515158  0.02207957 0.02640456],positive,0.9294362,2021-03-13 15:33:10
7,[0.89821947 0.04634794 0.05543261],positive,0.85187155,2021-03-11 11:16:18
8,[0.7235039  0.03726729 0.23922876],positive,0.6862366,2021-03-10 10:00:00
9,[0.01795539 0.9542204  0.02782417],negative,-0.93626505,2021-03-08 11:04:04
10,[0.17189023 0.08725537 0.74085444],neutral,0.08463486,2021-03-08 09:18:00
11,[0.9474145  0.02646632 0.02611924],positive,0.9209482,2021-03-06 13:22:45
12,[0.05806413 0.01597607 0.9259598 ],neutral,0.04208806,2021-03-06 06:15:20
13,[0.93116826 0.01374835 0.05508334],positive,0.9174199,2021-03-05 16:20:00
14,[0.879373   0.07263325 0.04799369],positive,0.80673975,2021-03-05 15:27:14
15,[0.94959724 0.02053979 0.02986289],positive,0.9290575,2021-03-05 09:55:00
16,[0.05475456 0.0144428  0.9308027 ],neutral,0.04031176,2021-03-03 18:07:02
17,[0.00745035 0.9712932  0.02125642],negative,-0.96384287,2021-03-02 11:30:00
18,[0.8284401  0.0287272  0.14283271],positive,0.79971296,2021-02-28 07:20:10
19,[0.78609425 0.00711728 0.20678852],positive,0.778977,2021-02-28 07:03:00
20,[0.47509637 0.02506514 0.49983847],neutral,0.45003122,2021-02-27 09:45:00
21,[0.00779942 0.971401   0.02079958],negative,-0.9636015,2021-02-26 09:06:08
22,[0.03657785 0.01966871 0.9437534 ],neutral,0.016909141,2021-02-25 08:45:00
23,[0.84954375 0.00813044 0.14232583],positive,0.8414133,2021-02-25 00:00:00
24,[0.08636302 0.01234141 0.9012956 ],neutral,0.07402161,2021-02-24 17:29:49
25,[0.8461333  0.02903829 0.12482844],positive,0.817095,2021-02-20 15:49:16
26,[0.04564012 0.02549605 0.9288638 ],neutral,0.02014407,2021-02-19 14:34:21
27,[0.89039546 0.00923362 0.10037095],positive,0.88116187,2021-02-19 10:35:25
28,[0.05904235 0.01591613 0.92504156],neutral,0.043126225,2021-02-17 12:19:11
29,[0.035673   0.7590643  0.20526266],negative,-0.7233913,2021-02-16 08:42:57
30,[0.1218836  0.76578176 0.11233459],negative,-0.6438981,2021-02-15 10:09:42
31,[0.83202845 0.01193597 0.15603556],positive,0.8200925,2021-02-14 08:34:19
32,[0.06771814 0.02631605 0.9059658 ],neutral,0.041402094,2021-02-14 07:45:00
33,[0.0399033  0.32417497 0.6359218 ],neutral,-0.28427166,2021-02-14 07:30:00
34,[0.85797906 0.02817324 0.11384767],positive,0.8298058,2021-02-14 07:26:21
35,[0.21008776 0.0181481  0.77176416],neutral,0.19193965,2021-02-13 03:25:40
36,[0.8265867  0.02911717 0.14429614],positive,0.79746956,2021-02-11 13:56:27
37,[0.09774699 0.68498665 0.2172664 ],negative,-0.5872397,2021-02-11 12:30:21
38,[0.02420512 0.90725857 0.06853627],negative,-0.8830534,2021-02-11 12:29:20
39,[0.02792802 0.03197893 0.94009304],neutral,-0.0040509123,2021-02-10 16:34:44
40,[0.00873839 0.96950233 0.02175926],negative,-0.96076393,2021-02-10 14:30:00
41,[0.03773547 0.9327333  0.02953117],negative,-0.89499784,2021-02-10 12:14:00
42,[0.30195883 0.09201073 0.60603046],neutral,0.2099481,2021-02-10 12:00:58
43,[0.02537887 0.963543   0.01107827],negative,-0.9381641,2021-02-10 10:56:12
44,[0.00891534 0.97426313 0.0168215 ],negative,-0.96534777,2021-02-10 10:24:44
45,[0.02101725 0.9543867  0.02459599],negative,-0.93336946,2021-02-10 10:11:15
46,[0.807861   0.10719849 0.0849405 ],positive,0.7006625,2021-02-10 10:05:34
47,[0.00841181 0.9736289  0.01795929],negative,-0.96521705,2021-02-10 10:04:49
48,[0.00856543 0.97550166 0.015933  ],negative,-0.96693623,2021-02-10 05:19:50
49,[0.036881 0.059262 0.903857],neutral,-0.022381,2021-02-09 22:08:10
50,[0.03241948 0.41788083 0.54969966],neutral,-0.38546136,2021-02-09 20:32:56
51,[0.0621809  0.92337084 0.01444828],negative,-0.86118996,2021-02-09 20:11:00
52,[0.7999585  0.0157123  0.18432923],positive,0.7842462,2021-02-09 18:56:21
53,[0.79709053 0.06692223 0.13598718],positive,0.7301683,2021-02-09 18:11:08
54,[0.04290315 0.8497117  0.10738514],negative,-0.8068086,2021-02-09 17:04:48
55,[0.01338813 0.97154623 0.01506566],negative,-0.95815814,2021-02-09 16:32:02
56,[0.00925673 0.97308797 0.01765529],negative,-0.96383125,2021-02-09 16:25:00
57,[0.94587606 0.01370055 0.04042338],positive,0.9321755,2021-02-09 16:14:08
58,[0.03021203 0.0459674  0.9238206 ],neutral,-0.015755363,2021-02-09 14:24:11
59,[0.91131586 0.04973448 0.03894963],positive,0.8615814,2021-02-09 10:00:33
60,[0.93657684 0.02046781 0.04295537],positive,0.916109,2021-02-08 14:15:35
61,[0.01400489 0.96230024 0.02369487],negative,-0.94829535,2021-02-08 10:37:49
62,[0.9534471  0.02092614 0.02562679],positive,0.932521,2021-02-08 09:06:27
63,[0.0344131  0.04384037 0.92174655],neutral,-0.009427268,2021-02-08 06:23:47
64,[0.9537537  0.016223   0.03002335],positive,0.9375307,2021-02-07 14:29:00
65,[0.63403624 0.34235162 0.02361217],positive,0.29168463,2021-02-07 07:00:00
66,[0.83975357 0.02915225 0.13109414],positive,0.8106013,2021-02-06 13:03:19
67,[0.95007914 0.01637237 0.03354843],positive,0.93370676,2021-02-05 11:21:15
68,[0.95554006 0.01794295 0.02651697],positive,0.9375971,2021-02-04 11:20:11
69,[0.0257403 0.8196495 0.1546102],negative,-0.7939092,2021-02-03 10:23:08
70,[0.19731438 0.73346335 0.06922227],negative,-0.53614897,2021-02-02 18:56:28
71,[0.46656215 0.01187946 0.52155834],neutral,0.4546827,2021-02-02 10:36:33
72,[0.85429007 0.01659896 0.12911092],positive,0.8376911,2021-02-02 09:07:08
73,[0.93554735 0.02404432 0.04040834],positive,0.911503,2021-01-31 23:13:34
74,[0.5468409  0.05198311 0.401176  ],positive,0.4948578,2021-01-31 08:30:00
75,[0.11120437 0.01992298 0.86887264],neutral,0.091281384,2021-01-30 14:09:26
76,[0.09572797 0.01402183 0.8902502 ],neutral,0.08170614,2021-01-30 09:00:00
77,[0.29558042 0.02267771 0.6817419 ],neutral,0.2729027,2021-01-30 07:00:00
78,[0.8048648  0.16346736 0.03166784],positive,0.6413975,2021-01-27 18:20:12
79,[0.13613333 0.02436048 0.8395062 ],neutral,0.11177285,2021-01-27 14:34:07
80,[0.09123302 0.3428539  0.565913  ],neutral,-0.2516209,2021-01-27 10:15:00
81,[0.07345135 0.01451887 0.91202974],neutral,0.05893248,2021-01-26 15:48:47
82,[0.3123287  0.01053656 0.67713475],neutral,0.30179214,2021-01-25 11:37:11
83,[0.11377491 0.05051692 0.8357082 ],neutral,0.06325799,2021-01-23 09:05:00
84,[0.76483566 0.01150893 0.22365545],positive,0.7533267,2021-01-22 14:51:02
85,[0.8369649  0.13315442 0.02988068],positive,0.70381045,2021-01-21 18:48:24
86,[0.75558126 0.01752659 0.22689211],positive,0.7380547,2021-01-21 13:06:29
87,[0.05825438 0.01932434 0.9224213 ],neutral,0.038930047,2021-01-21 12:23:04
88,[0.21953917 0.68358314 0.09687775],negative,-0.46404397,2021-01-21 10:00:00
89,[0.44434568 0.01233835 0.543316  ],neutral,0.43200734,2021-01-21 05:00:00
90,[0.15571702 0.0134639  0.83081913],neutral,0.14225312,2021-01-20 17:30:33
91,[0.92469096 0.01288755 0.06242149],positive,0.9118034,2021-01-20 09:02:20
92,[0.08751912 0.01775773 0.8947232 ],neutral,0.06976139,2021-01-20 09:00:43
93,[0.8345655  0.02349759 0.14193691],positive,0.81106794,2021-01-19 17:31:59
94,[0.41437545 0.02689927 0.5587253 ],neutral,0.38747618,2021-01-19 08:45:41
95,[0.6457088  0.01091168 0.3433795 ],positive,0.6347971,2021-01-19 02:31:00
96,[0.33842382 0.01935238 0.64222383],neutral,0.31907144,2021-01-18 16:05:33
97,[0.8963602  0.01073719 0.09290262],positive,0.88562304,2021-01-15 11:17:05
98,[0.8320018  0.01865091 0.14934725],positive,0.8133509,2021-01-14 21:57:00
99,[0.8514723  0.04450667 0.10402101],positive,0.80696565,2021-01-14 20:39:48
100,[0.18898521 0.7778015  0.03321331],negative,-0.5888163,2021-01-14 18:48:13
101,[0.19809087 0.01695403 0.7849551 ],neutral,0.18113683,2021-01-14 13:33:00
102,[0.04745474 0.01930318 0.9332421 ],neutral,0.02815156,2021-01-14 11:48:09
103,[0.14524312 0.80680096 0.04795595],negative,-0.66155785,2021-01-14 10:39:37
104,[0.8783724  0.02495884 0.09666886],positive,0.8534135,2021-01-14 10:22:36
105,[0.80261135 0.16942003 0.02796859],positive,0.63319135,2021-01-14 09:48:00
106,[0.91215897 0.00891336 0.07892765],positive,0.9032456,2021-01-14 09:27:00
107,[0.207703   0.01027223 0.7820248 ],neutral,0.19743076,2021-01-14 06:45:50
108,[0.07475901 0.01994718 0.9052938 ],neutral,0.05481183,2021-01-13 18:26:04
109,[0.83145094 0.01541403 0.1531351 ],positive,0.8160369,2021-01-13 17:30:20
110,[0.05658698 0.02927997 0.9141331 ],neutral,0.027307007,2021-01-12 18:08:49
111,[0.8620852  0.00939473 0.1285201 ],positive,0.8526905,2021-01-12 15:15:25
112,[0.21299523 0.75472057 0.0322842 ],negative,-0.54172534,2021-01-12 12:48:29
113,[0.12446421 0.01417549 0.8613603 ],neutral,0.110288724,2021-01-12 05:21:18
114,[0.93013114 0.02403482 0.04583401],positive,0.90609634,2021-01-11 23:39:07
115,[0.02670233 0.08666749 0.8866301 ],neutral,-0.059965156,2021-01-11 22:57:03
116,[0.0117268  0.91804415 0.07022906],negative,-0.90631735,2021-01-11 15:01:00
117,[0.02848005 0.49518123 0.47633874],negative,-0.46670118,2021-01-11 12:02:10
118,[0.3978436  0.01766054 0.5844959 ],neutral,0.38018307,2021-01-11 12:00:00
119,[0.8950874  0.01195868 0.09295388],positive,0.88312876,2021-01-11 09:05:42
120,[0.00903453 0.956085   0.03488041],negative,-0.9470505,2021-01-10 14:55:37
121,[0.08846773 0.04095073 0.87058157],neutral,0.047517,2021-01-10 09:37:00
122,[0.03726134 0.7134498  0.24928895],negative,-0.67618847,2021-01-08 20:04:00
123,[0.00975632 0.9404307  0.04981294],negative,-0.9306744,2021-01-08 16:33:00
124,[0.01311532 0.95919496 0.02768963],negative,-0.9460796,2021-01-08 11:44:27
125,[0.9333581  0.04395817 0.0226837 ],positive,0.8893999,2021-01-08 10:50:42
126,[0.01201132 0.9490052  0.03898359],negative,-0.9369939,2021-01-08 10:18:00
127,[0.7361454  0.01768087 0.2461737 ],positive,0.7184645,2021-01-08 09:23:00
128,[0.03281579 0.48902068 0.47816345],negative,-0.4562049,2021-01-08 08:33:19
129,[0.00854014 0.9363175  0.05514245],negative,-0.92777735,2021-01-08 08:27:00
130,[0.33595446 0.03257064 0.63147485],neutral,0.30338383,2021-01-08 06:45:00
131,[0.32559076 0.01195932 0.6624499 ],neutral,0.31363145,2021-01-07 14:37:22
132,[0.26620284 0.01687154 0.7169257 ],neutral,0.2493313,2021-01-07 10:32:19
133,[0.22801453 0.70880497 0.06318056],negative,-0.48079044,2021-01-06 18:48:16
134,[0.5313089  0.02428203 0.4444091 ],positive,0.50702685,2021-01-06 15:05:00
