,logit,prediction,sentiment_score,Date
0,[0.8895931  0.08001889 0.03038794],positive,0.80957425,2021-03-29 18:55:21
1,[0.9352815  0.01893994 0.04577855],positive,0.9163416,2021-03-29 10:38:29
2,[0.49952558 0.01124293 0.4892315 ],positive,0.48828265,2021-03-29 10:11:53
3,[0.00940818 0.9678275  0.02276428],negative,-0.9584193,2021-03-29 01:09:00
4,[0.07857867 0.02145479 0.89996654],neutral,0.057123885,2021-03-27 17:02:10
5,[0.81231076 0.0104518  0.17723747],positive,0.80185896,2021-03-26 19:51:00
6,[0.07972955 0.01533345 0.904937  ],neutral,0.0643961,2021-03-26 12:53:21
7,[0.01384985 0.9307336  0.05541661],negative,-0.91688377,2021-03-26 10:52:25
8,[0.73447835 0.0099789  0.2555427 ],positive,0.72449946,2021-03-26 08:20:20
9,[0.12198102 0.27779204 0.6002269 ],neutral,-0.15581101,2021-03-26 07:46:42
10,[0.10297214 0.06895138 0.8280764 ],neutral,0.034020767,2021-03-25 17:29:30
11,[0.0185092  0.8999431  0.08154772],negative,-0.8814339,2021-03-25 11:54:51
12,[0.11102179 0.01754121 0.871437  ],neutral,0.09348057,2021-03-25 11:47:55
13,[0.879516   0.0966792  0.02380485],positive,0.7828368,2021-03-25 01:31:17
14,[0.9567288  0.01718983 0.02608123],positive,0.939539,2021-03-24 14:29:16
15,[0.7109503  0.01170211 0.2773476 ],positive,0.6992482,2021-03-24 09:57:24
16,[0.01170289 0.96929896 0.01899818],negative,-0.95759606,2021-03-23 08:55:32
17,[0.47125372 0.02076866 0.50797766],neutral,0.45048508,2021-03-23 08:17:00
18,[0.02681208 0.03725943 0.93592846],neutral,-0.010447353,2021-03-23 01:48:19
19,[0.26850545 0.0083177  0.72317684],neutral,0.26018775,2021-03-22 18:55:24
20,[0.87390065 0.09324932 0.03285006],positive,0.78065133,2021-03-22 18:55:18
21,[0.720795   0.12033565 0.1588694 ],positive,0.60045934,2021-03-22 10:35:27
22,[0.02510359 0.9170492  0.05784721],negative,-0.89194566,2021-03-21 13:08:49
23,[0.07334955 0.31556818 0.6110823 ],neutral,-0.24221863,2021-03-21 07:37:00
24,[0.8857328  0.00857248 0.10569471],positive,0.8771604,2021-03-19 17:20:08
25,[0.11198948 0.01173567 0.8762748 ],neutral,0.100253806,2021-03-19 16:42:44
26,[0.2415139  0.03623004 0.722256  ],neutral,0.20528385,2021-03-19 07:23:04
27,[0.6151245  0.00986466 0.37501082],positive,0.60525984,2021-03-18 17:48:02
28,[0.9277496  0.02744506 0.04480534],positive,0.9003045,2021-03-18 17:12:00
29,[0.89245427 0.00880447 0.09874125],positive,0.8836498,2021-03-18 11:44:11
30,[0.8292092  0.01632269 0.15446807],positive,0.81288654,2021-03-18 09:28:20
31,[0.05483249 0.6697628  0.27540475],negative,-0.6149303,2021-03-18 07:59:25
32,[0.1415973  0.01368152 0.8447212 ],neutral,0.12791578,2021-03-18 01:54:05
33,[0.93235713 0.02822233 0.03942056],positive,0.9041348,2021-03-17 14:27:12
34,[0.02576764 0.02148144 0.9527509 ],neutral,0.0042862073,2021-03-17 13:53:00
35,[0.11817863 0.01741383 0.8644075 ],neutral,0.100764796,2021-03-17 12:07:30
36,[0.12496233 0.04865421 0.8263835 ],neutral,0.076308124,2021-03-16 13:38:05
37,[0.9360162  0.01626808 0.0477157 ],positive,0.9197481,2021-03-16 11:53:16
38,[0.7645206  0.0104197  0.22505972],positive,0.75410086,2021-03-16 05:01:29
39,[0.43061817 0.5187588  0.05062304],negative,-0.08814061,2021-03-15 18:31:17
40,[0.95289695 0.01814185 0.02896113],positive,0.9347551,2021-03-15 13:14:07
41,[0.51704514 0.4403246  0.0426302 ],positive,0.076720536,2021-03-15 12:28:32
42,[0.9248377  0.01036858 0.06479366],positive,0.9144691,2021-03-15 11:43:05
43,[0.9404824  0.02954145 0.0299762 ],positive,0.91094095,2021-03-15 09:58:39
44,[0.08970578 0.01664861 0.8936456 ],neutral,0.07305717,2021-03-15 09:27:42
45,[0.3668336  0.01680581 0.6163606 ],neutral,0.3500278,2021-03-15 08:42:06
46,[0.83171684 0.00761442 0.16066875],positive,0.8241024,2021-03-13 07:16:00
47,[0.8499408  0.01820579 0.13185339],positive,0.831735,2021-03-11 14:24:02
48,[0.01636006 0.7011688  0.28247112],negative,-0.68480873,2021-03-11 13:41:23
49,[0.5395791  0.425451   0.03496989],positive,0.11412808,2021-03-11 11:22:12
50,[0.5940028 0.0364405 0.3695567],positive,0.5575623,2021-03-10 14:24:17
51,[0.506311   0.01270132 0.4809877 ],positive,0.49360967,2021-03-09 16:51:54
52,[0.8373136  0.13958241 0.02310397],positive,0.6977312,2021-03-09 09:06:15
53,[0.93404496 0.01154045 0.05441469],positive,0.9225045,2021-03-09 08:42:24
54,[0.82147324 0.01588469 0.16264205],positive,0.80558854,2021-03-09 08:30:00
55,[0.3165587  0.06052693 0.62291443],neutral,0.25603175,2021-03-09 06:09:00
56,[0.47550794 0.01221769 0.5122744 ],neutral,0.46329024,2021-03-08 12:07:08
57,[0.9384892  0.03443897 0.02707183],positive,0.90405023,2021-03-08 08:21:07
58,[0.06210791 0.01787272 0.9200194 ],neutral,0.044235192,2021-03-07 15:00:00
59,[0.9365135  0.03041927 0.03306718],positive,0.9060942,2021-03-07 10:09:38
60,[0.9006576  0.01143984 0.08790257],positive,0.88921773,2021-03-06 07:29:00
61,[0.915863   0.03465236 0.04948466],positive,0.8812106,2021-03-05 14:38:02
62,[0.04889791 0.06127885 0.8898232 ],neutral,-0.012380935,2021-03-05 14:14:47
63,[0.60938114 0.01394712 0.3766717 ],positive,0.595434,2021-03-05 11:06:30
64,[0.9395417  0.0239801  0.03647824],positive,0.9155616,2021-03-05 09:56:24
65,[0.5367156  0.0100632  0.45322114],positive,0.52665246,2021-03-05 08:23:34
66,[0.35570392 0.01317884 0.6311172 ],neutral,0.34252506,2021-03-05 06:37:00
67,[0.52849984 0.01171276 0.45978743],positive,0.51678705,2021-03-05 06:09:52
68,[0.86028737 0.02118222 0.11853047],positive,0.8391051,2021-03-04 15:11:02
69,[0.6379484  0.01016134 0.35189024],positive,0.62778705,2021-03-04 14:00:00
70,[0.7285877  0.00841932 0.26299298],positive,0.72016835,2021-03-04 13:06:00
71,[0.3351043  0.48108333 0.1838124 ],negative,-0.14597905,2021-03-04 12:18:41
72,[0.04936224 0.04187176 0.908766  ],neutral,0.007490482,2021-03-03 15:59:48
73,[0.7803063  0.0297566  0.18993708],positive,0.7505497,2021-03-03 14:32:35
74,[0.90356976 0.00797559 0.0884547 ],positive,0.8955942,2021-03-03 13:39:04
75,[0.09368929 0.01390442 0.8924062 ],neutral,0.07978487,2021-03-03 12:53:24
76,[0.20730254 0.24086368 0.55183375],neutral,-0.03356114,2021-03-03 12:31:08
77,[0.5864106  0.03391154 0.37967783],positive,0.55249906,2021-03-02 13:44:09
78,[0.04230208 0.02185144 0.9358465 ],neutral,0.02045064,2021-03-02 10:24:54
79,[0.09052858 0.10173939 0.80773205],neutral,-0.011210814,2021-03-01 16:49:15
80,[0.01448046 0.931944   0.05357562],negative,-0.91746354,2021-03-01 10:09:55
81,[0.06840122 0.02635411 0.90524465],neutral,0.042047117,2021-02-28 12:56:15
82,[0.01524417 0.9481491  0.03660682],negative,-0.9329049,2021-02-26 16:25:00
83,[0.03481011 0.02289149 0.9422984 ],neutral,0.011918621,2021-02-26 11:55:53
84,[0.8931698  0.0731887  0.03364145],positive,0.8199811,2021-02-25 12:55:30
85,[0.7074668 0.0082175 0.2843157],positive,0.69924927,2021-02-25 10:19:00
86,[0.32521933 0.01281303 0.6619677 ],neutral,0.3124063,2021-02-25 09:30:01
87,[0.0873886  0.02919257 0.88341886],neutral,0.05819603,2021-02-24 15:13:31
88,[0.02397836 0.03538829 0.94063336],neutral,-0.011409935,2021-02-24 10:32:59
