,logit,prediction,sentiment_score,Date
0,[0.02426139 0.02938025 0.9463584 ],neutral,-0.0051188674,2021-03-25 17:00:00
1,[0.6261484  0.01310816 0.3607434 ],positive,0.61304027,2021-03-23 13:53:00
2,[0.03186454 0.09331532 0.8748201 ],neutral,-0.06145078,2021-03-21 12:35:02
3,[0.9479373  0.02507776 0.02698501],positive,0.92285955,2021-03-21 10:04:09
4,[0.11897424 0.01317857 0.86784726],neutral,0.10579567,2021-03-18 15:45:51
5,[0.90243274 0.00733544 0.09023183],positive,0.8950973,2021-03-18 14:14:00
6,[0.02276952 0.04185451 0.935376  ],neutral,-0.019084986,2021-03-15 09:30:00
7,[0.05535517 0.01493452 0.9297103 ],neutral,0.040420648,2021-03-11 15:03:03
8,[0.1413483  0.02924845 0.8294033 ],neutral,0.11209985,2021-03-09 16:07:45
9,[0.05505126 0.01833468 0.92661405],neutral,0.036716588,2021-03-01 15:55:51
10,[0.13031642 0.43096685 0.43871674],neutral,-0.30065042,2021-03-01 07:36:04
11,[0.38687983 0.02053473 0.5925855 ],neutral,0.3663451,2021-02-28 14:40:56
12,[0.0872355  0.02580197 0.88696253],neutral,0.06143353,2021-02-27 12:11:29
13,[0.9409591  0.01187383 0.04716699],positive,0.92908525,2021-02-26 12:53:35
14,[0.03133686 0.01519961 0.9534635 ],neutral,0.01613725,2021-02-22 16:15:00
15,[0.8744653  0.01762425 0.10791042],positive,0.856841,2021-02-12 11:22:25
16,[0.05523054 0.01873924 0.9260303 ],neutral,0.036491305,2021-02-06 17:45:14
17,[0.8709953  0.008051   0.12095361],positive,0.8629443,2021-02-04 08:17:00
18,[0.03388132 0.04461848 0.9215002 ],neutral,-0.010737158,2021-01-28 14:49:05
19,[0.9554266  0.01600657 0.02856685],positive,0.93942,2021-01-28 12:02:28
20,[0.75106174 0.05691582 0.19202238],positive,0.6941459,2021-01-28 08:17:23
21,[0.9544971  0.02150315 0.02399975],positive,0.93299395,2021-01-27 09:47:24
22,[0.88749546 0.01402165 0.09848283],positive,0.8734738,2021-01-27 08:16:23
23,[0.3287273  0.08838265 0.5828901 ],neutral,0.24034466,2021-01-26 15:03:03
24,[0.9550223  0.01731585 0.0276619 ],positive,0.9377064,2021-01-26 08:17:13
25,[0.3420708  0.00923857 0.64869064],neutral,0.33283222,2021-01-14 07:57:36
26,[0.04552816 0.01790876 0.9365631 ],neutral,0.027619405,2021-01-13 15:24:03
27,[0.08542469 0.03644593 0.87812936],neutral,0.048978765,2021-01-13 06:59:00
28,[0.25093576 0.02024451 0.7288197 ],neutral,0.23069125,2021-01-12 08:17:06
29,[0.02774079 0.02217015 0.95008904],neutral,0.0055706445,2021-01-07 16:15:00
30,[0.7254112  0.00798724 0.26660156],positive,0.7174239,2021-01-04 09:11:15
31,[0.1382442  0.02583708 0.8359187 ],neutral,0.11240712,2020-12-26 06:19:19
32,[0.1559919  0.07727928 0.7667288 ],neutral,0.07871262,2020-12-18 08:17:05
33,[0.18559991 0.01092065 0.80347943],neutral,0.17467926,2020-12-06 14:02:16
34,[0.11918061 0.01837574 0.8624436 ],neutral,0.10080487,2020-12-04 07:43:00
35,[0.07517406 0.01356554 0.9112604 ],neutral,0.061608516,2020-12-01 12:16:02
36,[0.8337209  0.01596035 0.15031879],positive,0.8177606,2020-11-28 13:45:56
37,[0.02662933 0.9447686  0.0286021 ],negative,-0.9181393,2020-11-25 15:49:42
38,[0.08723551 0.02580198 0.88696253],neutral,0.061433535,2020-11-21 11:30:56
39,[0.13528186 0.01280888 0.8519092 ],neutral,0.12247298,2020-11-20 07:37:00
40,[0.03817624 0.01760039 0.9442234 ],neutral,0.020575847,2020-11-16 16:15:00
41,[0.03237559 0.02367815 0.9439463 ],neutral,0.008697439,2020-11-15 21:51:58
42,[0.1105119 0.0203466 0.8691415],neutral,0.090165295,2020-11-04 07:35:00
43,[0.09242634 0.0136435  0.89393014],neutral,0.07878284,2020-11-03 10:27:07
44,[0.3592205  0.00849696 0.6322825 ],neutral,0.35072353,2020-10-30 07:37:00
45,[0.9522211  0.01312794 0.03465092],positive,0.9390932,2020-10-30 07:16:35
46,[0.6538651  0.01227769 0.33385718],positive,0.64158744,2020-10-28 11:31:54
47,[0.08503572 0.01249393 0.90247035],neutral,0.072541796,2020-10-27 06:16:07
48,[0.09734749 0.02211718 0.8805353 ],neutral,0.075230315,2020-10-22 20:39:13
49,[0.3365469  0.03913421 0.62431884],neutral,0.2974127,2020-10-22 18:26:06
50,[0.9401566  0.02921199 0.03063148],positive,0.9109446,2020-10-22 18:01:35
51,[0.06217279 0.02191461 0.91591257],neutral,0.04025817,2020-10-22 17:56:17
52,[0.8634848  0.00736933 0.1291459 ],positive,0.85611546,2020-10-22 00:00:00
53,[0.9218352  0.00939872 0.06876619],positive,0.9124365,2020-10-18 00:00:00
54,[0.85840195 0.00754617 0.1340518 ],positive,0.85085577,2020-10-16 00:00:00
55,[0.12944283 0.0229476  0.8476096 ],neutral,0.10649523,2020-10-15 00:00:00
56,[0.12944283 0.0229476  0.8476096 ],neutral,0.10649523,2020-10-14 00:00:00
57,[0.2528898  0.01398801 0.7331222 ],neutral,0.23890181,2020-10-13 11:29:00
58,[0.82494926 0.00692665 0.16812402],positive,0.8180226,2020-10-13 00:00:00
59,[0.01408255 0.8878694  0.09804808],negative,-0.87378687,2020-10-09 08:02:55
60,[0.8809537  0.0077041  0.11134216],positive,0.87324965,2020-10-09 00:00:00
