,logit,prediction,sentiment_score,Date
0,[0.71572    0.00773983 0.2765401 ],positive,0.70798016,2021-03-29 18:00:00
1,[0.8610581  0.00844466 0.13049717],positive,0.85261345,2021-03-29 09:50:23
2,[0.15063967 0.0127177  0.8366426 ],neutral,0.13792197,2021-03-29 08:10:00
3,[0.5730448  0.01049557 0.41645968],positive,0.56254923,2021-03-29 06:22:00
4,[0.6633601  0.00999433 0.32664552],positive,0.6533658,2021-03-26 14:31:22
5,[0.76941454 0.01299866 0.21758677],positive,0.7564159,2021-03-26 11:53:00
6,[0.59860164 0.00920967 0.3921887 ],positive,0.58939195,2021-03-26 11:04:01
7,[0.79808146 0.0101066  0.1918119 ],positive,0.78797483,2021-03-26 09:18:32
8,[0.33835143 0.58929396 0.07235464],negative,-0.25094253,2021-03-25 18:56:16
9,[0.11446206 0.06416318 0.8213747 ],neutral,0.050298877,2021-03-25 11:22:07
10,[0.07322469 0.04953822 0.87723714],neutral,0.023686469,2021-03-24 18:23:00
11,[0.05692148 0.41720638 0.5258721 ],neutral,-0.3602849,2021-03-24 15:44:00
12,[0.01803107 0.86781347 0.1141554 ],negative,-0.8497824,2021-03-23 19:44:42
13,[0.3765957  0.03905735 0.58434695],neutral,0.33753836,2021-03-23 10:02:00
14,[0.949248   0.01478325 0.03596881],positive,0.93446475,2021-03-23 07:34:04
15,[0.30288798 0.0125648  0.68454725],neutral,0.29032317,2021-03-22 17:11:19
16,[0.9114958  0.01342855 0.07507559],positive,0.89806724,2021-03-22 04:13:41
17,[0.5456537  0.03389921 0.42044705],positive,0.5117545,2021-03-20 08:14:00
18,[0.66439223 0.00913815 0.32646963],positive,0.65525407,2021-03-20 06:00:00
19,[0.8351793  0.1355561  0.02926462],positive,0.6996232,2021-03-19 18:44:17
20,[0.02521349 0.04310406 0.93168247],neutral,-0.017890576,2021-03-19 13:11:33
21,[0.07265747 0.0145246  0.91281796],neutral,0.058132865,2021-03-19 10:17:17
22,[0.03645781 0.03613023 0.927412  ],neutral,0.0003275834,2021-03-19 07:44:04
23,[0.09675886 0.01249322 0.89074796],neutral,0.08426564,2021-03-18 17:38:12
24,[0.92035055 0.01301811 0.06663131],positive,0.9073324,2021-03-18 16:31:00
25,[0.951086   0.01699394 0.03192011],positive,0.93409204,2021-03-18 14:00:22
26,[0.08649837 0.01389469 0.89960694],neutral,0.07260368,2021-03-18 13:33:25
27,[0.69392025 0.03503888 0.2710409 ],positive,0.65888137,2021-03-18 11:50:40
28,[0.02941892 0.03495161 0.9356295 ],neutral,-0.005532684,2021-03-18 08:40:00
29,[0.20436363 0.01647249 0.7791639 ],neutral,0.18789114,2021-03-18 08:05:00
30,[0.9382013  0.03092635 0.03087235],positive,0.90727496,2021-03-18 07:58:04
31,[0.9464972  0.01145873 0.04204405],positive,0.93503845,2021-03-17 16:35:07
32,[0.05716586 0.1809027  0.7619315 ],neutral,-0.12373684,2021-03-17 14:50:29
33,[0.03645781 0.03613023 0.927412  ],neutral,0.00032757968,2021-03-17 14:09:58
34,[0.262972   0.01361551 0.7234126 ],neutral,0.2493565,2021-03-17 13:51:11
35,[0.02015634 0.39710256 0.58274114],neutral,-0.37694624,2021-03-17 13:51:00
36,[0.12612489 0.01601404 0.85786104],neutral,0.11011085,2021-03-17 13:24:44
37,[0.08453549 0.02889191 0.8865726 ],neutral,0.055643577,2021-03-17 12:36:00
38,[0.13916013 0.02875638 0.83208346],neutral,0.11040375,2021-03-17 12:30:45
39,[0.01262083 0.94456935 0.04280981],negative,-0.93194854,2021-03-17 12:27:31
40,[0.08374681 0.02333763 0.8929156 ],neutral,0.060409173,2021-03-17 12:21:28
41,[0.3817401 0.0812884 0.5369715],neutral,0.3004517,2021-03-17 12:01:11
42,[0.1385058  0.01104112 0.8504531 ],neutral,0.12746468,2021-03-17 11:51:25
