,logit,prediction,sentiment_score,Date
0,[0.08977874 0.04065188 0.86956936],neutral,0.049126863,2021-03-29 20:12:13
1,[0.790279   0.00977352 0.19994754],positive,0.7805055,2021-03-29 18:22:50
2,[0.948173   0.0179152  0.03391185],positive,0.9302578,2021-03-29 15:05:24
3,[0.0096837  0.96860313 0.02171311],negative,-0.9589194,2021-03-29 14:41:29
4,[0.3141529 0.6314548 0.0543923],negative,-0.31730193,2021-03-29 14:20:55
5,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-03-29 13:51:55
6,[0.93452746 0.02026    0.0452126 ],positive,0.9142675,2021-03-29 13:37:41
7,[0.20823179 0.01081479 0.7809534 ],neutral,0.197417,2021-03-29 08:34:05
8,[0.5408662  0.00860406 0.4505297 ],positive,0.53226215,2021-03-29 08:19:40
9,[0.89138997 0.00716165 0.10144844],positive,0.8842283,2021-03-29 03:28:27
10,[0.8701592  0.00702065 0.12282013],positive,0.86313856,2021-03-29 00:22:00
11,[0.19059956 0.01530962 0.7940908 ],neutral,0.17528994,2021-03-28 07:32:00
12,[0.2680012  0.01005013 0.72194874],neutral,0.25795108,2021-03-28 06:45:00
13,[0.06857526 0.01492831 0.9164964 ],neutral,0.05364696,2021-03-27 18:01:00
14,[0.0440512  0.7342396  0.22170919],negative,-0.6901884,2021-03-27 00:27:00
15,[0.15867329 0.16543032 0.67589635],neutral,-0.006757036,2021-03-26 23:33:05
16,[0.6965759  0.01876009 0.28466398],positive,0.6778158,2021-03-26 17:27:15
17,[0.5221019 0.0111788 0.4667193],positive,0.5109231,2021-03-26 16:55:41
18,[0.16536061 0.01176182 0.8228775 ],neutral,0.1535988,2021-03-26 16:14:11
19,[0.63939404 0.01175251 0.34885353],positive,0.62764156,2021-03-26 14:19:51
20,[0.5534973  0.02301072 0.42349195],positive,0.5304866,2021-03-26 13:39:00
21,[0.4418047  0.01270132 0.54549396],neutral,0.42910337,2021-03-26 11:48:41
22,[0.04757713 0.02457658 0.92784625],neutral,0.023000548,2021-03-25 18:28:38
23,[0.9438182  0.01855398 0.03762785],positive,0.92526424,2021-03-25 17:25:10
24,[0.05826684 0.03496965 0.9067635 ],neutral,0.023297198,2021-03-25 14:27:47
25,[0.01746871 0.8539905  0.12854075],negative,-0.8365218,2021-03-25 14:14:00
26,[0.04286289 0.02595599 0.9311811 ],neutral,0.016906904,2021-03-25 14:07:45
27,[0.02569447 0.14903978 0.82526577],neutral,-0.12334531,2021-03-25 13:53:20
