,logit,prediction,sentiment_score,Date
0,[0.9398209  0.02285462 0.0373245 ],positive,0.91696626,2021-03-29 19:17:00
1,[0.43732372 0.52597576 0.03670051],negative,-0.088652045,2021-03-29 18:55:24
2,[0.92555165 0.0090796  0.06536874],positive,0.9164721,2021-03-29 16:29:00
3,[0.20823179 0.01081479 0.7809534 ],neutral,0.197417,2021-03-29 08:34:05
4,[0.5408662  0.00860406 0.45052978],positive,0.53226215,2021-03-29 08:19:40
5,[0.89138997 0.00716165 0.10144844],positive,0.8842283,2021-03-29 03:28:27
6,[0.8701592  0.00702065 0.12282017],positive,0.86313856,2021-03-29 00:22:00
7,[0.07564778 0.27199548 0.6523567 ],neutral,-0.19634771,2021-03-28 23:11:41
8,[0.56487316 0.03740039 0.39772645],positive,0.52747273,2021-03-28 09:30:02
9,[0.75749874 0.00907902 0.23342218],positive,0.7484197,2021-03-28 09:00:00
10,[0.64574486 0.01201264 0.34224254],positive,0.6337322,2021-03-28 06:21:00
11,[0.06857526 0.01492831 0.9164964 ],neutral,0.05364696,2021-03-27 18:01:00
12,[0.16536061 0.01176182 0.8228775 ],neutral,0.1535988,2021-03-26 16:14:11
13,[0.21831997 0.01098971 0.7706903 ],neutral,0.20733026,2021-03-26 14:30:51
14,[0.4418047  0.01270133 0.54549396],neutral,0.42910337,2021-03-26 11:48:41
15,[0.07564778 0.27199548 0.6523567 ],neutral,-0.19634771,2021-03-26 00:59:35
16,[0.72716326 0.00927194 0.26356474],positive,0.71789134,2021-03-25 19:33:13
17,[0.04757713 0.02457658 0.92784625],neutral,0.023000548,2021-03-25 18:28:38
18,[0.01746871 0.8539905  0.12854081],negative,-0.8365218,2021-03-25 14:14:00
19,[0.04286289 0.02595599 0.9311811 ],neutral,0.016906904,2021-03-25 14:07:45
20,[0.11511166 0.01765159 0.8672368 ],neutral,0.09746007,2021-03-25 12:55:54
21,[0.04311241 0.07383086 0.8830567 ],neutral,-0.030718446,2021-03-25 11:30:01
22,[0.05347446 0.01863967 0.9278859 ],neutral,0.034834787,2021-03-25 11:25:04
23,[0.0383708  0.04075176 0.92087746],neutral,-0.0023809597,2021-03-25 09:28:15
24,[0.04836215 0.04649835 0.90513945],neutral,0.0018638037,2021-03-24 22:30:00
25,[0.06268276 0.01963818 0.9176791 ],neutral,0.043044586,2021-03-24 20:59:18
26,[0.04905333 0.01976897 0.9311777 ],neutral,0.029284352,2021-03-24 20:23:07
27,[0.06760613 0.02057844 0.9118154 ],neutral,0.047027692,2021-03-24 20:12:39
28,[0.07524014 0.05196444 0.87279546],neutral,0.023275692,2021-03-24 19:00:00
