,logit,prediction,sentiment_score,Date
0,[0.32951647 0.02042149 0.65006196],neutral,0.30909497,2021-03-29 13:45:11
1,[0.13475384 0.01483579 0.8504104 ],neutral,0.11991805,2021-03-27 07:52:00
2,[0.8113439  0.15794499 0.03071109],positive,0.65339893,2021-03-24 18:17:04
3,[0.1121766  0.03503427 0.85278916],neutral,0.07714233,2021-03-24 08:35:00
4,[0.1613786 0.0110363 0.8275851],neutral,0.15034232,2021-03-23 16:42:03
5,[0.06689272 0.29721588 0.6358914 ],neutral,-0.23032317,2021-03-21 22:04:00
6,[0.03046962 0.04883689 0.9206935 ],neutral,-0.01836727,2021-03-21 12:25:53
7,[0.2017198  0.73582166 0.06245854],negative,-0.53410184,2021-03-21 08:01:00
8,[0.11216123 0.01125905 0.87657976],neutral,0.10090218,2021-03-19 17:57:21
9,[0.47915593 0.45021176 0.07063232],positive,0.028944165,2021-03-19 07:00:00
10,[0.06191444 0.02162386 0.91646165],neutral,0.04029058,2021-03-17 17:58:13
11,[0.8618451  0.01835028 0.11980466],positive,0.8434948,2021-03-16 07:09:00
12,[0.15484688 0.13136081 0.7137923 ],neutral,0.023486063,2021-03-15 12:33:52
13,[0.92482513 0.03613289 0.03904195],positive,0.88869226,2021-03-12 15:33:04
14,[0.7970468  0.01264376 0.19030948],positive,0.784403,2021-03-12 11:43:37
15,[0.08506507 0.0161144  0.89882046],neutral,0.06895067,2021-03-12 08:21:00
16,[0.25218132 0.0122104  0.73560834],neutral,0.23997092,2021-03-10 18:34:25
17,[0.02124638 0.03289251 0.94586116],neutral,-0.011646131,2021-03-09 02:43:46
18,[0.12817013 0.05501054 0.8168193 ],neutral,0.07315959,2021-03-06 02:37:54
19,[0.3050287  0.13038698 0.5645843 ],neutral,0.17464173,2021-03-05 11:50:37
20,[0.18795857 0.04162268 0.7704188 ],neutral,0.1463359,2021-03-05 01:35:04
21,[0.92993665 0.01089717 0.05916622],positive,0.9190395,2021-03-04 10:50:02
22,[0.9411618  0.01617451 0.04266373],positive,0.9249873,2021-03-04 07:00:00
23,[0.95470953 0.01623275 0.02905773],positive,0.9384768,2021-03-04 01:32:02
24,[0.03257577 0.32963946 0.6377847 ],neutral,-0.29706368,2021-03-03 14:00:00
25,[0.03746156 0.93444574 0.02809274],negative,-0.89698416,2021-03-03 09:19:00
26,[0.06403307 0.01577483 0.92019206],neutral,0.048258238,2021-03-03 00:30:37
27,[0.06936175 0.01080048 0.9198378 ],neutral,0.058561265,2021-03-02 07:46:00
28,[0.03613913 0.93556195 0.02829891],negative,-0.8994228,2021-03-02 05:01:13
29,[0.8858799  0.03312821 0.08099195],positive,0.8527517,2021-03-01 12:16:05
30,[0.07373434 0.01482522 0.91144043],neutral,0.058909126,2021-03-01 10:30:00
31,[0.38687983 0.02053473 0.5925855 ],neutral,0.3663451,2021-02-28 14:40:56
32,[0.82844   0.0287272 0.1428327],positive,0.79971284,2021-02-28 07:20:10
33,[0.70223427 0.02227295 0.2754928 ],positive,0.6799613,2021-02-27 07:30:00
34,[0.09218553 0.14254984 0.7652647 ],neutral,-0.050364308,2021-02-26 11:21:43
35,[0.15705253 0.7775089  0.06543854],negative,-0.6204564,2021-02-25 14:35:03
36,[0.72724074 0.24370605 0.02905317],positive,0.4835347,2021-02-25 14:15:40
37,[0.07851113 0.75909734 0.16239154],negative,-0.6805862,2021-02-25 11:00:28
38,[0.0413163  0.18180417 0.77687955],neutral,-0.14048786,2021-02-25 09:05:42
39,[0.07812197 0.02009076 0.9017872 ],neutral,0.058031205,2021-02-25 01:37:08
40,[0.07812197 0.02009076 0.9017872 ],neutral,0.058031205,2021-02-25 01:37:05
41,[0.04501435 0.2540781  0.7009076 ],neutral,-0.20906374,2021-02-24 12:58:00
42,[0.93867886 0.03790105 0.02342011],positive,0.9007778,2021-02-24 11:23:25
43,[0.79846305 0.00703931 0.19449759],positive,0.79142374,2021-02-24 09:06:40
44,[0.0202683  0.94863266 0.03109907],negative,-0.92836434,2021-02-23 16:23:00
45,[0.02915689 0.06806188 0.90278125],neutral,-0.038904987,2021-02-23 13:29:11
46,[0.3600072  0.5894388  0.05055399],negative,-0.2294316,2021-02-23 13:10:00
47,[0.7856102  0.03508912 0.17930077],positive,0.75052106,2021-02-23 12:33:00
48,[0.9313837  0.02486081 0.04375548],positive,0.9065229,2021-02-23 12:09:05
49,[0.9090335  0.04467314 0.04629346],positive,0.86436033,2021-02-23 11:22:46
50,[0.06126211 0.85953104 0.07920683],negative,-0.7982689,2021-02-23 11:01:55
51,[0.37558866 0.35464594 0.2697654 ],positive,0.020942718,2021-02-23 10:42:35
52,[0.949769   0.02657383 0.02365718],positive,0.9231952,2021-02-23 10:37:06
53,[0.00801749 0.973499   0.01848352],negative,-0.9654815,2021-02-23 10:34:54
54,[0.9205853  0.04195739 0.03745734],positive,0.8786279,2021-02-23 10:24:18
55,[0.02600077 0.05978955 0.91420966],neutral,-0.03378878,2021-02-23 10:16:14
56,[0.07664388 0.886861   0.03649512],negative,-0.81021714,2021-02-23 08:55:00
57,[0.91616696 0.0141554  0.06967757],positive,0.9020116,2021-02-23 08:34:00
58,[0.01087235 0.9740675  0.01506013],negative,-0.96319515,2021-02-23 07:07:07
59,[0.93526316 0.01863144 0.04610542],positive,0.9166317,2021-02-23 07:04:49
60,[0.9351599  0.03194913 0.03289104],positive,0.90321076,2021-02-23 06:40:38
61,[0.05449502 0.93364364 0.01186135],negative,-0.8791486,2021-02-23 06:11:09
62,[0.93245786 0.03470704 0.03283511],positive,0.89775085,2021-02-23 06:07:00
63,[0.72405034 0.03356757 0.24238208],positive,0.6904828,2021-02-23 06:00:00
64,[0.90378124 0.05694296 0.03927591],positive,0.8468383,2021-02-23 05:30:19
