,logit,prediction,sentiment_score,Date
0,[0.32840893 0.63972324 0.03186785],negative,-0.3113143,2021-03-29 17:40:08
1,[0.00943285 0.972868   0.01769918],negative,-0.9634352,2021-03-29 15:27:26
2,[0.12175401 0.01399811 0.8642479 ],neutral,0.1077559,2021-03-29 12:56:56
3,[0.1421804  0.01169637 0.8461232 ],neutral,0.13048403,2021-03-29 04:23:00
4,[0.05593871 0.01851233 0.9255489 ],neutral,0.037426382,2021-03-28 12:57:30
5,[0.06857526 0.01492831 0.9164964 ],neutral,0.05364696,2021-03-27 18:01:00
6,[0.19102782 0.02052163 0.7884506 ],neutral,0.17050618,2021-03-27 15:51:35
7,[0.89616114 0.01551661 0.08832216],positive,0.88064456,2021-03-26 11:00:00
8,[0.87218034 0.02531192 0.10250776],positive,0.8468684,2021-03-26 10:15:00
9,[0.08806967 0.63958395 0.27234632],negative,-0.55151427,2021-03-26 06:27:00
10,[0.85322964 0.11349879 0.0332716 ],positive,0.73973083,2021-03-25 18:56:14
11,[0.06087962 0.03925902 0.89986134],neutral,0.021620598,2021-03-25 15:24:00
12,[0.94421065 0.01460026 0.04118915],positive,0.9296104,2021-03-25 09:11:00
13,[0.17679365 0.02125479 0.8019515 ],neutral,0.15553886,2021-03-25 08:24:50
14,[0.08949068 0.25406015 0.6564492 ],neutral,-0.16456947,2021-03-25 01:58:35
15,[0.06177857 0.01400497 0.92421645],neutral,0.047773592,2021-03-24 20:53:23
16,[0.09343936 0.01609532 0.8904653 ],neutral,0.07734403,2021-03-24 15:51:32
17,[0.15050055 0.00934619 0.8401533 ],neutral,0.14115436,2021-03-24 15:37:24
18,[0.56368744 0.02462459 0.41168797],positive,0.53906286,2021-03-24 15:19:21
19,[0.9146563  0.05550576 0.02983804],positive,0.8591505,2021-03-24 14:22:37
20,[0.91476536 0.01790691 0.06732775],positive,0.89685845,2021-03-24 13:55:35
21,[0.00869971 0.96448165 0.0268186 ],negative,-0.95578194,2021-03-24 13:05:30
22,[0.07617339 0.01678921 0.9070374 ],neutral,0.059384182,2021-03-24 12:45:55
