,logit,prediction,sentiment_score,Date
0,[0.8967234  0.02103686 0.08223981],positive,0.8756865,2021-03-29 12:35:15
1,[0.9577028  0.01657025 0.02572693],positive,0.94113255,2021-03-29 09:50:13
2,[0.19256489 0.01267849 0.79475665],neutral,0.1798864,2021-03-29 07:12:00
3,[0.601633   0.00893928 0.38942772],positive,0.59269375,2021-03-29 06:53:12
4,[0.01893283 0.95215887 0.02890833],negative,-0.93322605,2021-03-29 06:15:00
5,[0.91376853 0.00948629 0.07674523],positive,0.9042823,2021-03-29 03:09:00
6,[0.9205288  0.0421191  0.03735207],positive,0.87840974,2021-03-28 17:23:19
7,[0.05593871 0.01851233 0.9255489 ],neutral,0.037426382,2021-03-28 12:57:30
8,[0.5853567  0.00996522 0.4046781 ],positive,0.5753915,2021-03-28 09:14:00
9,[0.09917604 0.01630701 0.8845169 ],neutral,0.08286903,2021-03-27 06:00:00
10,[0.62444544 0.00970367 0.36585084],positive,0.61474174,2021-03-26 14:49:00
11,[0.21831997 0.01098971 0.7706903 ],neutral,0.20733026,2021-03-26 14:30:51
12,[0.8059935  0.0115187  0.18248785],positive,0.7944748,2021-03-26 10:00:00
13,[0.06146399 0.04901017 0.8895259 ],neutral,0.012453821,2021-03-24 06:05:00
14,[0.7551403  0.00954198 0.2353177 ],positive,0.7455983,2021-03-24 02:13:34
15,[0.1613786 0.0110363 0.8275851],neutral,0.15034232,2021-03-23 16:42:03
16,[0.4441811  0.01028329 0.54553556],neutral,0.43389782,2021-03-23 14:15:21
17,[0.8534678  0.02320305 0.12332914],positive,0.8302648,2021-03-23 11:53:16
18,[0.75706106 0.02657731 0.2163616 ],positive,0.7304838,2021-03-23 09:05:17
19,[0.88166857 0.09100066 0.02733077],positive,0.7906679,2021-03-22 18:55:18
20,[0.06881139 0.02279315 0.90839547],neutral,0.046018247,2021-03-22 06:36:00
21,[0.5770834  0.01449795 0.4084187 ],positive,0.5625855,2021-03-21 19:04:45
22,[0.08557891 0.08422467 0.8301964 ],neutral,0.0013542399,2021-03-21 09:03:00
23,[0.07334955 0.31556818 0.6110823 ],neutral,-0.24221863,2021-03-21 07:37:00
24,[0.03773402 0.7040816  0.25818434],negative,-0.66634756,2021-03-19 06:04:00
25,[0.8825826  0.01301058 0.10440676],positive,0.86957204,2021-03-18 10:54:48
26,[0.3267073  0.00965091 0.6636418 ],neutral,0.3170564,2021-03-17 12:53:25
27,[0.9452024  0.02378248 0.03101508],positive,0.9214199,2021-03-17 11:46:00
28,[0.03863646 0.05311877 0.9082448 ],neutral,-0.014482308,2021-03-17 09:06:10
29,[0.94894314 0.01764256 0.03341432],positive,0.9313006,2021-03-17 08:17:59
30,[0.869416   0.00738148 0.12320253],positive,0.8620345,2021-03-16 21:19:00
31,[0.09990554 0.0103389  0.88975555],neutral,0.08956663,2021-03-16 15:43:53
32,[0.9452931  0.03051201 0.02419479],positive,0.9147811,2021-03-16 15:09:03
33,[0.94529325 0.03051199 0.02419479],positive,0.9147813,2021-03-16 09:06:17
34,[0.95805687 0.01598851 0.0259546 ],positive,0.94206834,2021-03-16 09:06:05
35,[0.88065314 0.09241395 0.02693291],positive,0.7882392,2021-03-15 18:31:30
36,[0.06767782 0.0527509  0.8795713 ],neutral,0.014926914,2021-03-15 16:12:07
37,[0.5610537  0.00893863 0.4300077 ],positive,0.5521151,2021-03-15 14:00:55
38,[0.42964432 0.09441672 0.47593892],neutral,0.3352276,2021-03-15 11:43:07
39,[0.9060465  0.03522503 0.05872852],positive,0.8708215,2021-03-15 10:46:17
40,[0.859956   0.00784563 0.13219827],positive,0.8521104,2021-03-15 10:13:43
41,[0.03234663 0.04678492 0.92086846],neutral,-0.014438283,2021-03-15 08:00:00
42,[0.82248455 0.03528691 0.1422285 ],positive,0.78719765,2021-03-14 08:15:00
43,[0.9515158  0.02207957 0.02640456],positive,0.9294362,2021-03-13 15:33:10
44,[0.8887775  0.01724328 0.09397932],positive,0.8715342,2021-03-13 08:32:00
45,[0.03319665 0.08096782 0.8858355 ],neutral,-0.047771174,2021-03-13 06:08:00
46,[0.01187684 0.9673312  0.02079191],negative,-0.95545435,2021-03-13 06:00:00
