,logit,prediction,sentiment_score,Date
0,[0.9405043  0.02186318 0.03763255],positive,0.91864115,2021-03-29 12:10:03
1,[0.01394964 0.96167475 0.02437559],negative,-0.9477251,2021-03-29 11:48:26
2,[0.94311446 0.01556305 0.04132248],positive,0.9275514,2021-03-29 10:24:56
3,[0.00974982 0.97252965 0.01772051],negative,-0.9627798,2021-03-29 09:51:45
4,[0.02043294 0.4750381  0.50452894],neutral,-0.45460516,2021-03-29 09:50:14
5,[0.1358782  0.01901962 0.84510213],neutral,0.11685858,2021-03-29 05:51:00
6,[0.7554151  0.01636432 0.22822058],positive,0.73905075,2021-03-28 08:00:00
7,[0.9202166  0.01913476 0.06064863],positive,0.90108186,2021-03-27 10:10:47
8,[0.95262283 0.01851133 0.02886586],positive,0.9341115,2021-03-26 16:42:03
9,[0.5133551  0.01338676 0.47325817],positive,0.49996832,2021-03-26 12:46:27
10,[0.04920954 0.02502847 0.925762  ],neutral,0.024181068,2021-03-26 11:19:54
11,[0.05227948 0.09363158 0.85408896],neutral,-0.041352097,2021-03-26 10:49:20
12,[0.6480254  0.00982536 0.3421493 ],positive,0.63820004,2021-03-26 08:30:00
13,[0.6118217  0.07718386 0.31099442],positive,0.53463787,2021-03-26 05:01:09
14,[0.0277589  0.11400368 0.8582374 ],neutral,-0.08624478,2021-03-25 19:43:35
15,[0.9450986  0.01764374 0.03725768],positive,0.9274548,2021-03-25 18:14:00
16,[0.05222789 0.0827058  0.86506623],neutral,-0.030477915,2021-03-25 17:54:00
17,[0.0585768  0.55382997 0.38759318],negative,-0.49525318,2021-03-25 17:03:00
18,[0.04344151 0.02969108 0.9268674 ],neutral,0.013750428,2021-03-25 10:58:06
19,[0.21791735 0.0093581  0.77272457],neutral,0.20855926,2021-03-25 09:37:42
20,[0.03695236 0.02985753 0.9331901 ],neutral,0.007094836,2021-03-25 09:06:17
21,[0.879516   0.0966792  0.02380485],positive,0.7828368,2021-03-25 01:31:17
22,[0.04411288 0.01967702 0.9362101 ],neutral,0.024435867,2021-03-24 14:30:00
23,[0.9184364  0.0475715  0.03399204],positive,0.8708649,2021-03-24 13:52:05
24,[0.95365894 0.02383337 0.02250768],positive,0.92982554,2021-03-24 09:00:00
25,[0.29116336 0.0096407  0.699196  ],neutral,0.28152266,2021-03-24 07:54:06
26,[0.29116336 0.0096407  0.699196  ],neutral,0.28152266,2021-03-24 07:36:13
27,[0.926678   0.00922425 0.06409772],positive,0.91745377,2021-03-23 22:37:04
28,[0.85543746 0.10887954 0.03568301],positive,0.7465579,2021-03-23 18:56:19
29,[0.847561   0.01841157 0.13402736],positive,0.8291494,2021-03-23 14:39:28
30,[0.95325327 0.01839886 0.02834777],positive,0.9348544,2021-03-23 13:17:00
31,[0.33651242 0.08563413 0.5778535 ],neutral,0.25087827,2021-03-23 09:23:12
32,[0.02759889 0.9447549  0.02764627],negative,-0.917156,2021-03-22 16:42:17
33,[0.597304   0.01287532 0.38982075],positive,0.58442867,2021-03-22 09:57:03
34,[0.9349273  0.01249854 0.05257411],positive,0.9224287,2021-03-22 06:33:00
35,[0.06244772 0.88210446 0.05544787],negative,-0.8196567,2021-03-22 04:26:46
36,[0.9114958  0.01342855 0.07507559],positive,0.89806724,2021-03-22 04:13:41
37,[0.24374974 0.01328873 0.7429615 ],neutral,0.23046102,2021-03-20 17:30:16
38,[0.8290212  0.14260489 0.02837392],positive,0.6864163,2021-03-20 08:01:00
39,[0.0848894  0.01182516 0.90328544],neutral,0.07306424,2021-03-19 19:21:04
40,[0.10923018 0.7526967  0.13807313],negative,-0.64346653,2021-03-19 18:55:00
41,[0.07322712 0.90444773 0.02232513],negative,-0.8312206,2021-03-19 16:13:00
42,[0.0248574  0.9342641  0.04087849],negative,-0.9094067,2021-03-19 16:05:00
43,[0.02917286 0.9518712  0.01895592],negative,-0.9226984,2021-03-19 16:03:00
44,[0.03595161 0.02907961 0.93496877],neutral,0.006872,2021-03-19 15:42:04
45,[0.47420594 0.34135404 0.18444008],positive,0.1328519,2021-03-19 13:53:00
46,[0.18335068 0.53142655 0.28522277],negative,-0.34807587,2021-03-19 13:19:08
47,[0.54395026 0.19743417 0.25861552],positive,0.34651607,2021-03-19 12:19:00
48,[0.01048182 0.9627159  0.02680222],negative,-0.9522341,2021-03-19 12:04:55
49,[0.07177553 0.69872946 0.22949499],negative,-0.62695396,2021-03-19 11:34:26
50,[0.0551281  0.02546189 0.91941005],neutral,0.02966621,2021-03-19 10:45:09
51,[0.7028576  0.11765597 0.17948644],positive,0.5852016,2021-03-19 10:34:39
52,[0.28014755 0.00912436 0.7107281 ],neutral,0.27102318,2021-03-19 09:06:00
53,[0.14751484 0.02242679 0.83005834],neutral,0.12508805,2021-03-19 04:59:42
54,[0.73146456 0.07301504 0.19552039],positive,0.65844953,2021-03-17 13:32:06
55,[0.04900668 0.87909156 0.07190178],negative,-0.83008486,2021-03-17 11:39:00
56,[0.86493015 0.0099056  0.12516436],positive,0.8550246,2021-03-17 09:09:00
57,[0.9493088  0.01629491 0.0343963 ],positive,0.9330139,2021-03-17 09:06:06
58,[0.27063352 0.00822477 0.72114176],neutral,0.26240873,2021-03-16 16:48:00
59,[0.6392844  0.01861022 0.34210542],positive,0.62067413,2021-03-16 16:35:59
60,[0.04948651 0.01880274 0.9317107 ],neutral,0.030683769,2021-03-16 11:58:04
61,[0.7013509  0.25482598 0.04382313],positive,0.44652495,2021-03-16 09:06:17
62,[0.83089644 0.140733   0.02837057],positive,0.69016343,2021-03-15 18:31:18
63,[0.04111184 0.0221544  0.9367337 ],neutral,0.018957438,2021-03-15 17:03:07
64,[0.40734085 0.0083284  0.58433074],neutral,0.39901245,2021-03-15 16:21:00
65,[0.4662218  0.13863629 0.3951419 ],positive,0.32758552,2021-03-15 14:13:07
66,[0.14157942 0.01822477 0.8401958 ],neutral,0.12335464,2021-03-15 09:40:19
67,[0.15661909 0.01325142 0.8301295 ],neutral,0.14336766,2021-03-15 08:02:00
68,[0.9515158  0.02207957 0.02640456],positive,0.9294362,2021-03-13 15:33:10
69,[0.07864207 0.01402087 0.90733707],neutral,0.0646212,2021-03-12 22:15:35
70,[0.05871858 0.0190381  0.9222433 ],neutral,0.03968048,2021-03-12 17:04:03
71,[0.12494361 0.07682925 0.79822713],neutral,0.048114352,2021-03-11 14:04:39
72,[0.5395791  0.425451   0.03496989],positive,0.11412808,2021-03-11 11:22:12
73,[0.01504485 0.69928104 0.2856741 ],negative,-0.68423617,2021-03-11 10:28:15
74,[0.23786868 0.01261638 0.7495149 ],neutral,0.2252523,2021-03-11 08:00:00
75,[0.2047593  0.00778719 0.78745353],neutral,0.19697212,2021-03-10 10:27:16
76,[0.07614185 0.01764613 0.90621203],neutral,0.058495723,2021-03-10 09:00:00
77,[0.6486398  0.01152582 0.33983442],positive,0.637114,2021-03-09 15:09:11
78,[0.31106874 0.58434814 0.10458314],negative,-0.2732794,2021-03-08 18:27:09
79,[0.9300377  0.01576508 0.0541973 ],positive,0.9142726,2021-03-08 17:35:27
80,[0.11288558 0.01477996 0.8723345 ],neutral,0.098105624,2021-03-08 14:53:44
81,[0.12301921 0.13307604 0.74390477],neutral,-0.010056831,2021-03-08 10:23:43
82,[0.11242624 0.48488453 0.40268928],negative,-0.37245828,2021-03-07 12:10:49
83,[0.9474145  0.02646632 0.02611924],positive,0.9209482,2021-03-06 13:22:45
84,[0.8508712  0.00906822 0.14006066],positive,0.841803,2021-03-06 07:30:00
85,[0.8602873  0.02118221 0.1185305 ],positive,0.83910507,2021-03-04 15:11:02
86,[0.8900216  0.01007773 0.09990061],positive,0.8799439,2021-03-04 14:20:45
87,[0.92378324 0.01009124 0.06612542],positive,0.913692,2021-03-04 09:13:02
88,[0.15614408 0.0101302  0.8337257 ],neutral,0.14601389,2021-03-03 10:00:00
89,[0.7522733  0.21747091 0.0302558 ],positive,0.53480244,2021-03-02 18:55:14
90,[0.21076314 0.4726014  0.31663543],negative,-0.26183826,2021-03-02 15:49:33
91,[0.62186456 0.00990742 0.368228  ],positive,0.61195713,2021-03-02 09:30:00
92,[0.11826432 0.02373142 0.8580043 ],neutral,0.09453289,2021-03-01 15:52:35
93,[0.11168007 0.01453141 0.8737886 ],neutral,0.09714866,2021-03-01 10:24:29
94,[0.82844   0.0287272 0.1428327],positive,0.79971284,2021-02-28 07:20:10
95,[0.78609425 0.00711728 0.20678852],positive,0.778977,2021-02-28 07:03:00
96,[0.11710699 0.00916182 0.87373126],neutral,0.10794517,2021-02-27 17:55:38
97,[0.01642216 0.9660236  0.01755428],negative,-0.9496015,2021-02-26 12:53:35
98,[0.1026841  0.00896826 0.8883476 ],neutral,0.09371585,2021-02-26 09:30:00
99,[0.02085105 0.20511147 0.7740375 ],neutral,-0.18426043,2021-02-25 12:09:16
100,[0.9405035  0.02575975 0.03373683],positive,0.9147437,2021-02-25 09:08:58
101,[0.21362475 0.4351774  0.3511979 ],negative,-0.22155264,2021-02-25 07:56:00
102,[0.04944631 0.8988664  0.0516873 ],negative,-0.84942013,2021-02-25 07:55:46
103,[0.8189999  0.00766182 0.17333826],positive,0.81133807,2021-02-25 02:00:00
104,[0.20459586 0.7395235  0.0558807 ],negative,-0.5349276,2021-02-23 18:55:56
105,[0.13136114 0.00862488 0.86001396],neutral,0.12273626,2021-02-23 16:45:00
106,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-02-23 13:49:59
107,[0.78524643 0.0078541  0.20689939],positive,0.7773923,2021-02-23 09:19:19
108,[0.82031834 0.00853018 0.17115144],positive,0.81178814,2021-02-23 08:00:24
109,[0.08709624 0.8811517  0.03175211],negative,-0.79405546,2021-02-23 07:05:47
110,[0.0671242  0.24423651 0.6886392 ],neutral,-0.17711231,2021-02-23 05:01:03
111,[0.10235324 0.01159307 0.8860537 ],neutral,0.090760164,2021-02-22 09:49:19
112,[0.7849259  0.00706759 0.20800655],positive,0.77785826,2021-02-22 08:33:00
113,[0.7175265  0.00757185 0.27490157],positive,0.7099546,2021-02-22 08:03:16
114,[0.9385694  0.02054714 0.04088343],positive,0.9180223,2021-02-21 22:04:34
115,[0.8461333  0.02903829 0.12482844],positive,0.817095,2021-02-20 15:49:16
116,[0.6724625  0.29874226 0.02879526],positive,0.37372026,2021-02-17 18:58:33
117,[0.06317461 0.034157   0.90266836],neutral,0.029017612,2021-02-17 14:56:35
118,[0.15587817 0.18036637 0.6637555 ],neutral,-0.024488196,2021-02-17 14:10:43
119,[0.93365383 0.03941496 0.02693118],positive,0.8942389,2021-02-17 10:05:41
120,[0.9266826  0.01903256 0.05428492],positive,0.90765005,2021-02-17 07:58:31
121,[0.01930148 0.9372606  0.04343792],negative,-0.91795915,2021-02-17 01:52:38
122,[0.09249399 0.01210422 0.89540184],neutral,0.08038977,2021-02-16 18:23:17
123,[0.11669872 0.55663663 0.3266647 ],negative,-0.43993792,2021-02-16 18:00:49
124,[0.12864889 0.00870101 0.8626501 ],neutral,0.11994788,2021-02-16 11:03:00
125,[0.12175228 0.01212032 0.8661274 ],neutral,0.10963197,2021-02-16 08:20:17
126,[0.06633563 0.0277913  0.905873  ],neutral,0.038544327,2021-02-15 16:08:29
127,[0.1083562  0.01391777 0.87772596],neutral,0.09443843,2021-02-15 06:02:00
128,[0.13756335 0.01399457 0.8484421 ],neutral,0.12356878,2021-02-15 05:05:00
129,[0.7157838  0.02518126 0.259035  ],positive,0.69060254,2021-02-14 14:00:34
130,[0.611182   0.00813187 0.38068616],positive,0.6030501,2021-02-12 16:18:00
131,[0.04893802 0.02727896 0.92378306],neutral,0.02165906,2021-02-12 07:41:00
132,[0.9507833  0.02296105 0.02625561],positive,0.92782223,2021-02-12 07:30:00
133,[0.06684452 0.9063719  0.02678353],negative,-0.83952737,2021-02-11 12:40:28
134,[0.8911796  0.0134417  0.09537859],positive,0.87773794,2021-02-11 10:31:28
135,[0.81665146 0.00844078 0.17490776],positive,0.8082107,2021-02-10 14:13:42
136,[0.03177467 0.07413117 0.89409417],neutral,-0.042356495,2021-02-10 06:36:00
137,[0.43658525 0.04013559 0.5232792 ],neutral,0.39644966,2021-02-09 17:54:48
138,[0.09275344 0.01702925 0.89021736],neutral,0.07572419,2021-02-09 14:00:57
139,[0.5650201  0.03401258 0.40096733],positive,0.5310075,2021-02-09 13:48:00
