,logit,prediction,sentiment_score,Date
0,[0.14851972 0.07724544 0.77423483],neutral,0.07127429,2021-03-28 17:26:19
1,[0.02370147 0.8643905  0.11190813],negative,-0.840689,2021-03-28 13:05:53
2,[0.06661022 0.6091213  0.32426843],negative,-0.5425111,2021-03-27 20:44:58
3,[0.04920954 0.02502847 0.925762  ],neutral,0.024181068,2021-03-26 11:19:54
4,[0.15178673 0.00968277 0.8385305 ],neutral,0.14210397,2021-03-26 08:55:07
5,[0.49988428 0.00869223 0.4914235 ],positive,0.49119204,2021-03-25 09:57:07
6,[0.12526435 0.018448   0.8562876 ],neutral,0.106816344,2021-03-25 09:00:00
7,[0.8863745  0.08301087 0.03061469],positive,0.8033636,2021-03-23 18:56:17
8,[0.03781305 0.02744634 0.9347406 ],neutral,0.010366706,2021-03-22 12:08:44
9,[0.46754822 0.01150898 0.52094275],neutral,0.45603925,2021-03-22 09:50:26
10,[0.83473414 0.01169885 0.15356703],positive,0.8230353,2021-03-18 14:24:38
11,[0.03039913 0.0198346  0.9497662 ],neutral,0.01056453,2021-03-17 11:00:00
12,[0.0535161  0.01825943 0.9282245 ],neutral,0.03525667,2021-03-17 10:21:26
13,[0.95042783 0.01711803 0.03245411],positive,0.9333098,2021-03-16 10:58:28
14,[0.8802031  0.08784618 0.03195074],positive,0.79235697,2021-03-15 18:31:26
15,[0.00715757 0.97139364 0.02144882],negative,-0.9642361,2021-03-14 15:48:35
16,[0.16297925 0.01348933 0.82353145],neutral,0.14948992,2021-03-14 09:54:00
17,[0.07569423 0.02249172 0.901814  ],neutral,0.053202502,2021-03-12 12:31:49
18,[0.94696134 0.01410332 0.03893528],positive,0.93285805,2021-03-12 11:23:02
19,[0.61470336 0.07454686 0.31074983],positive,0.5401565,2021-03-10 13:22:32
20,[0.07448637 0.03447481 0.8910388 ],neutral,0.040011566,2021-03-10 07:48:00
21,[0.9351406  0.01407517 0.05078423],positive,0.92106545,2021-03-10 06:12:00
22,[0.02124638 0.03289251 0.94586116],neutral,-0.011646131,2021-03-09 02:43:46
23,[0.5484003  0.38615426 0.06544549],positive,0.16224602,2021-03-08 18:27:17
24,[0.9381816  0.0275182  0.03430022],positive,0.91066337,2021-03-08 13:43:21
25,[0.02021582 0.02937749 0.95040673],neutral,-0.009161668,2021-03-08 06:00:00
26,[0.81355125 0.11869102 0.0677578 ],positive,0.6948602,2021-03-06 07:00:00
27,[0.01821047 0.03137761 0.95041186],neutral,-0.013167141,2021-03-05 14:15:00
28,[0.03909089 0.02539851 0.9355106 ],neutral,0.013692385,2021-03-04 08:35:00
29,[0.8986217  0.07456396 0.02681443],positive,0.8240577,2021-03-02 18:55:16
