,logit,prediction,sentiment_score,Date
0,[0.04929755 0.02233925 0.9283632 ],neutral,0.0269583,2021-03-12 19:10:00
1,[0.7908487  0.00965455 0.19949669],positive,0.78119415,2021-03-08 17:06:31
2,[0.69471097 0.00719781 0.29809123],positive,0.6875132,2021-03-08 05:20:00
3,[0.799762   0.01526764 0.18497035],positive,0.78449434,2021-02-25 16:00:19
4,[0.047814   0.01996572 0.9322202 ],neutral,0.027848274,2021-02-17 15:14:12
5,[0.03190445 0.19360167 0.7744939 ],neutral,-0.16169721,2021-02-08 19:34:42
6,[0.9310101  0.00935126 0.05963861],positive,0.9216589,2021-02-07 09:28:08
7,[0.04110076 0.06455556 0.8943436 ],neutral,-0.0234548,2021-02-05 18:16:08
8,[0.68460035 0.06364148 0.2517582 ],positive,0.62095886,2021-02-05 08:20:11
9,[0.95631456 0.01989299 0.02379245],positive,0.9364216,2021-02-05 07:04:33
10,[0.07590929 0.01092318 0.91316754],neutral,0.06498612,2021-01-31 14:35:25
11,[0.05056971 0.02280758 0.92662275],neutral,0.027762132,2021-01-29 12:02:29
12,[0.10493239 0.853506   0.04156157],negative,-0.74857366,2021-01-29 09:13:38
13,[0.93752533 0.01508298 0.04739168],positive,0.9224424,2021-01-27 11:17:03
14,[0.7662677  0.0081856  0.22554666],positive,0.7580821,2021-01-26 15:17:11
15,[0.17879364 0.01047497 0.81073135],neutral,0.16831867,2021-01-26 12:30:06
16,[0.6482617  0.01296213 0.33877617],positive,0.6352996,2021-01-24 15:33:03
17,[0.3481545  0.00704263 0.64480287],neutral,0.34111184,2021-01-13 06:30:00
18,[0.1772559  0.00817887 0.81456524],neutral,0.16907704,2021-01-13 06:00:00
19,[0.04314804 0.01440413 0.9424479 ],neutral,0.028743917,2021-01-08 07:20:00
20,[0.8157487  0.01029895 0.17395239],positive,0.8054497,2020-12-28 09:02:10
21,[0.48818007 0.01218594 0.49963406],neutral,0.47599414,2020-11-30 19:04:19
22,[0.04663434 0.05688392 0.8964817 ],neutral,-0.010249577,2020-11-05 16:36:14
23,[0.9531686  0.02147931 0.02535217],positive,0.93168926,2020-11-05 08:25:08
24,[0.12532601 0.01158728 0.8630867 ],neutral,0.11373872,2020-10-26 00:09:13
25,[0.66810584 0.24470246 0.08719169],positive,0.42340338,2020-09-15 08:58:52
26,[0.03046962 0.04883689 0.9206935 ],neutral,-0.01836727,2020-09-12 14:41:38
27,[0.9320725  0.01203884 0.05588858],positive,0.9200337,2020-09-11 10:49:04
28,[0.01036002 0.96396714 0.02567277],negative,-0.95360714,2020-09-06 22:50:57
29,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-08-29 10:56:23
30,[0.8098771  0.02992174 0.16020118],positive,0.7799554,2020-08-29 09:44:00
31,[0.19024327 0.01031898 0.7994378 ],neutral,0.1799243,2020-08-18 20:51:11
32,[0.1013775  0.01266287 0.8859597 ],neutral,0.08871463,2020-08-17 10:20:00
33,[0.92947227 0.02201591 0.04851189],positive,0.90745634,2020-08-12 15:06:32
34,[0.92322916 0.02252739 0.05424351],positive,0.90070176,2020-08-10 21:46:00
35,[0.6790477  0.011861   0.30909127],positive,0.6671867,2020-08-06 13:15:01
36,[0.05061957 0.01217514 0.9372053 ],neutral,0.03844443,2020-08-04 10:20:00
37,[0.02645852 0.96291256 0.01062891],negative,-0.93645406,2020-07-31 01:03:50
38,[0.02487857 0.04031935 0.93480206],neutral,-0.015440775,2020-07-30 19:07:16
39,[0.07785658 0.01820928 0.9039341 ],neutral,0.0596473,2020-07-30 18:04:08
40,[0.02849647 0.02783733 0.94366616],neutral,0.00065913796,2020-07-30 12:02:31
41,[0.59446216 0.07794385 0.32759395],positive,0.5165183,2020-07-30 11:45:11
42,[0.9147926  0.01279453 0.07241289],positive,0.90199804,2020-07-30 10:30:00
43,[0.66273624 0.00747614 0.32978758],positive,0.6552601,2020-07-29 10:30:00
44,[0.5423243  0.00868965 0.44898605],positive,0.53363466,2020-07-28 10:30:00
45,[0.02455847 0.41099015 0.56445134],neutral,-0.3864317,2020-07-27 19:30:00
46,[0.27802303 0.01881376 0.7031632 ],neutral,0.25920928,2020-07-23 16:33:04
47,[0.67630434 0.00749074 0.3162049 ],positive,0.6688136,2020-07-23 10:10:00
48,[0.06658659 0.01176812 0.9216453 ],neutral,0.054818474,2020-07-22 14:55:00
49,[0.2870885  0.01520701 0.69770443],neutral,0.2718815,2020-07-21 11:25:21
50,[0.524937   0.03254063 0.4425224 ],positive,0.49239635,2020-07-16 15:34:14
51,[0.93112195 0.01545814 0.05341987],positive,0.9156638,2020-07-16 10:15:00
52,[0.04697312 0.01812996 0.93489695],neutral,0.028843166,2020-07-08 18:14:40
53,[0.37034443 0.00744182 0.6222138 ],neutral,0.3629026,2020-07-08 12:03:12
54,[0.5842615  0.00819284 0.40754566],positive,0.57606864,2020-07-07 10:10:00
55,[0.2443942  0.00936856 0.7462372 ],neutral,0.23502563,2020-07-06 17:00:00
