,logit,prediction,sentiment_score,Date
0,[0.8333797  0.08196855 0.08465172],positive,0.75141114,2021-03-29 09:44:12
1,[0.88611966 0.08452901 0.0293513 ],positive,0.8015907,2021-03-29 09:32:52
2,[0.19256489 0.01267849 0.79475665],neutral,0.1798864,2021-03-29 07:12:00
3,[0.0559387  0.01851233 0.92554903],neutral,0.037426367,2021-03-28 12:57:30
4,[0.02058649 0.8750676  0.10434595],negative,-0.8544811,2021-03-27 13:19:00
5,[0.62444544 0.00970367 0.36585084],positive,0.61474174,2021-03-26 14:49:00
6,[0.03074705 0.07606163 0.8931913 ],neutral,-0.045314573,2021-03-26 12:57:25
7,[0.5107789  0.21156237 0.27765873],positive,0.29921654,2021-03-26 00:07:15
8,[0.9013771  0.01307804 0.08554494],positive,0.88829905,2021-03-25 16:12:43
9,[0.12642394 0.02164991 0.8519262 ],neutral,0.10477403,2021-03-25 15:50:00
10,[0.8796227  0.08644396 0.03393336],positive,0.79317874,2021-03-23 18:56:08
11,[0.18722597 0.5092675  0.30350652],negative,-0.32204154,2021-03-22 13:09:35
12,[0.31940484 0.64505374 0.03554138],negative,-0.3256489,2021-03-20 09:52:31
13,[0.10263814 0.01497452 0.8823874 ],neutral,0.08766362,2021-03-19 11:34:08
14,[0.0803225 0.4958721 0.4238054],negative,-0.4155496,2021-03-18 08:38:33
15,[0.32923198 0.641557   0.02921103],negative,-0.312325,2021-03-18 08:05:37
16,[0.91538244 0.00968509 0.07493243],positive,0.90569735,2021-03-17 09:51:20
17,[0.13453828 0.01952581 0.84593594],neutral,0.11501247,2021-03-17 06:45:00
18,[0.01555186 0.9553521  0.02909609],negative,-0.93980026,2021-03-17 06:04:00
19,[0.09990557 0.0103389  0.88975555],neutral,0.08956667,2021-03-16 15:43:53
20,[0.02334417 0.9203107  0.05634518],negative,-0.8969665,2021-03-16 14:58:34
21,[0.7378483  0.08464495 0.17750679],positive,0.6532033,2021-03-16 12:27:44
22,[0.18553014 0.01663134 0.7978385 ],neutral,0.1688988,2021-03-16 12:07:21
23,[0.9338358  0.01553238 0.05063177],positive,0.91830343,2021-03-16 09:30:00
24,[0.25453454 0.02039781 0.7250677 ],neutral,0.23413673,2021-03-16 06:45:00
25,[0.05025216 0.01583997 0.93390787],neutral,0.034412194,2021-03-16 01:04:03
26,[0.11819966 0.02034841 0.8614519 ],neutral,0.09785125,2021-03-15 13:51:00
27,[0.01852311 0.952321   0.02915582],negative,-0.9337979,2021-03-15 11:24:00
28,[0.77715045 0.08279386 0.14005563],positive,0.69435656,2021-03-15 10:45:06
29,[0.01360739 0.9649221  0.02147051],negative,-0.9513147,2021-03-15 09:09:21
30,[0.9474772  0.01659426 0.0359286 ],positive,0.93088293,2021-03-15 08:32:00
31,[0.04701677 0.9265487  0.02643455],negative,-0.879532,2021-03-15 07:47:00
32,[0.8887775  0.01724328 0.09397932],positive,0.8715342,2021-03-13 08:32:00
33,[0.15359837 0.01761823 0.82878345],neutral,0.13598013,2021-03-13 06:30:00
34,[0.76577264 0.10481445 0.12941295],positive,0.6609582,2021-03-11 09:51:11
35,[0.02079809 0.73359215 0.2456097 ],negative,-0.71279407,2021-03-11 07:11:00
36,[0.6616286  0.02250906 0.3158623 ],positive,0.63911957,2021-03-10 16:30:00
37,[0.7710496  0.01104233 0.21790807],positive,0.76000726,2021-03-10 15:11:52
38,[0.9589507  0.01642165 0.02462767],positive,0.942529,2021-03-10 11:23:27
39,[0.05792711 0.06636925 0.8757037 ],neutral,-0.008442141,2021-03-10 09:29:00
40,[0.92183536 0.02262256 0.05554201],positive,0.8992128,2021-03-10 09:28:30
41,[0.02404186 0.55209094 0.42386723],negative,-0.5280491,2021-03-10 07:36:02
42,[0.7288166  0.00927385 0.26190948],positive,0.7195428,2021-03-10 07:00:00
43,[0.04896662 0.01671708 0.9343162 ],neutral,0.032249544,2021-03-09 15:53:04
