,logit,prediction,sentiment_score,Date
0,[0.30833834 0.6519747  0.03968695],negative,-0.34363633,2021-03-29 18:55:17
1,[0.02081859 0.03681404 0.94236743],neutral,-0.015995452,2021-03-29 10:46:22
2,[0.92399055 0.01358516 0.06242432],positive,0.9104054,2021-03-28 12:38:33
3,[0.20113961 0.64231914 0.15654123],negative,-0.4411795,2021-03-26 15:24:07
4,[0.21831997 0.01098971 0.7706903 ],neutral,0.20733026,2021-03-26 14:30:51
5,[0.05774912 0.36628532 0.5759656 ],neutral,-0.3085362,2021-03-26 10:55:00
6,[0.059067  0.2572102 0.6837228],neutral,-0.19814318,2021-03-25 08:08:27
7,[0.17390265 0.04055384 0.7855435 ],neutral,0.13334881,2021-03-24 20:06:00
8,[0.23004276 0.01319904 0.75675815],neutral,0.21684371,2021-03-24 10:13:00
9,[0.16140296 0.80780923 0.03078776],negative,-0.6464063,2021-03-23 18:56:16
10,[0.07565051 0.01444195 0.9099076 ],neutral,0.061208554,2021-03-23 16:29:17
11,[0.07246067 0.01189522 0.91564417],neutral,0.060565446,2021-03-23 07:07:55
12,[0.95157355 0.01533334 0.03309316],positive,0.9362402,2021-03-22 14:05:26
13,[0.14803703 0.01680533 0.83515763],neutral,0.1312317,2021-03-22 13:07:52
14,[0.87751395 0.00851053 0.11397542],positive,0.8690034,2021-03-22 11:39:41
15,[0.13780747 0.01241174 0.8497808 ],neutral,0.12539573,2021-03-20 09:05:00
16,[0.04734802 0.03013865 0.9225133 ],neutral,0.017209373,2021-03-19 13:13:00
17,[0.16407472 0.7866505  0.04927483],negative,-0.62257576,2021-03-19 10:11:26
18,[0.37431186 0.00984706 0.6158411 ],neutral,0.3644648,2021-03-18 15:31:09
19,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-03-18 13:46:04
20,[0.8271688  0.14109258 0.0317386 ],positive,0.6860762,2021-03-17 18:56:16
21,[0.69835407 0.01090886 0.29073712],positive,0.6874452,2021-03-17 13:20:46
22,[0.7782599  0.00954342 0.21219674],positive,0.76871645,2021-03-17 08:22:46
23,[0.69528854 0.01566261 0.2890489 ],positive,0.6796259,2021-03-16 14:57:00
24,[0.03165291 0.1095788  0.8587682 ],neutral,-0.0779259,2021-03-16 13:22:00
25,[0.26390505 0.6563875  0.07970741],negative,-0.39248246,2021-03-16 10:47:48
26,[0.7645206  0.0104197  0.22505972],positive,0.75410086,2021-03-16 05:01:29
27,[0.67475367 0.0118316  0.31341466],positive,0.6629221,2021-03-15 17:30:00
28,[0.21672797 0.52707297 0.2561991 ],negative,-0.310345,2021-03-15 15:23:27
29,[0.0908636  0.01494625 0.89419013],neutral,0.07591735,2021-03-15 06:01:00
30,[0.22622105 0.00864886 0.7651301 ],neutral,0.2175722,2021-03-14 09:24:00
31,[0.8039941  0.16420233 0.0318035 ],positive,0.6397918,2021-03-11 18:56:25
32,[0.22029607 0.00750699 0.7721969 ],neutral,0.21278909,2021-03-11 15:54:04
33,[0.85738635 0.00699792 0.13561578],positive,0.8503884,2021-03-10 16:22:06
34,[0.08968507 0.43728998 0.47302493],neutral,-0.3476049,2021-03-10 10:18:50
35,[0.11948831 0.01182716 0.8686845 ],neutral,0.10766115,2021-03-09 22:52:14
36,[0.9525513  0.0259472  0.02150147],positive,0.9266041,2021-03-09 17:51:26
37,[0.05380355 0.02465902 0.92153746],neutral,0.029144531,2021-03-09 15:05:21
38,[0.15481783 0.01045148 0.83473074],neutral,0.14436635,2021-03-09 14:22:05
39,[0.78991795 0.0072641  0.20281798],positive,0.78265387,2021-03-08 17:44:20
40,[0.83445233 0.01904557 0.14650214],positive,0.81540674,2021-03-08 15:58:00
41,[0.853786   0.00639282 0.13982117],positive,0.84739316,2021-03-08 12:14:54
42,[0.20589931 0.0243877  0.76971304],neutral,0.18151161,2021-03-08 11:45:00
43,[0.6637409  0.00755711 0.328702  ],positive,0.6561838,2021-03-05 06:00:00
44,[0.0516669  0.07159388 0.87673926],neutral,-0.019926976,2021-03-04 21:58:59
45,[0.17695935 0.01383482 0.80920583],neutral,0.16312453,2021-03-04 11:17:12
46,[0.9493293  0.02672794 0.02394276],positive,0.9226014,2021-03-04 07:01:00
47,[0.57973444 0.00790874 0.4123568 ],positive,0.5718257,2021-03-04 04:13:00
48,[0.8619384  0.00794613 0.13011542],positive,0.8539923,2021-03-03 07:00:00
49,[0.07778035 0.0128262  0.9093934 ],neutral,0.064954154,2021-03-01 17:14:00
50,[0.8858799  0.03312821 0.08099195],positive,0.8527517,2021-03-01 12:16:05
51,[0.94474286 0.03213241 0.02312469],positive,0.9126105,2021-03-01 11:23:11
52,[0.81129926 0.00661987 0.18208086],positive,0.8046794,2021-03-01 04:00:00
53,[0.07805713 0.02282952 0.89911336],neutral,0.055227615,2021-02-27 12:11:23
54,[0.2355497  0.01545185 0.7489985 ],neutral,0.22009785,2021-02-26 18:42:44
55,[0.04061678 0.01620405 0.94317913],neutral,0.024412723,2021-02-26 14:17:16
56,[0.9095373  0.02536409 0.06509869],positive,0.8841732,2021-02-26 08:39:34
57,[0.05872732 0.02870059 0.9125721 ],neutral,0.030026732,2021-02-25 16:46:00
58,[0.6303859  0.01165255 0.35796154],positive,0.61873335,2021-02-25 07:15:00
59,[0.9526368  0.02598533 0.02137787],positive,0.9266515,2021-02-25 06:30:00
60,[0.08633453 0.01093653 0.902729  ],neutral,0.075398,2021-02-25 04:39:00
61,[0.94879997 0.01491639 0.03628363],positive,0.93388355,2021-02-24 23:04:57
62,[0.2625404  0.70136344 0.03609609],negative,-0.43882304,2021-02-24 15:42:51
63,[0.82580775 0.00653292 0.1676593 ],positive,0.81927484,2021-02-24 13:59:05
64,[0.88019705 0.00763004 0.11217288],positive,0.872567,2021-02-24 04:34:00
65,[0.11710976 0.00880975 0.8740805 ],neutral,0.10830001,2021-02-23 13:38:29
66,[0.57619447 0.25266144 0.1711441 ],positive,0.32353303,2021-02-23 11:35:07
67,[0.697545   0.01174487 0.29071006],positive,0.68580014,2021-02-23 08:00:00
68,[0.06712422 0.24423653 0.6886392 ],neutral,-0.17711231,2021-02-23 05:01:03
69,[0.911515   0.01918589 0.06929913],positive,0.8923291,2021-02-22 18:39:23
70,[0.4858778  0.01363556 0.5004867 ],neutral,0.47224227,2021-02-21 12:00:00
71,[0.19516347 0.01107049 0.793766  ],neutral,0.18409298,2021-02-17 20:57:24
72,[0.9457274 0.0105396 0.043733 ],positive,0.9351878,2021-02-17 11:22:08
73,[0.9327436  0.0272294  0.04002703],positive,0.9055142,2021-02-17 10:30:44
74,[0.9391699  0.01357144 0.04725872],positive,0.92559844,2021-02-16 15:55:16
75,[0.94101524 0.02608678 0.03289794],positive,0.91492844,2021-02-16 13:39:07
76,[0.5774733  0.04275163 0.3797751 ],positive,0.5347217,2021-02-16 11:13:40
77,[0.3996584  0.00959679 0.5907448 ],neutral,0.39006162,2021-02-16 09:48:34
78,[0.03293386 0.14006728 0.82699883],neutral,-0.10713342,2021-02-16 02:13:00
79,[0.9484409  0.01131247 0.04024659],positive,0.9371284,2021-02-15 16:03:38
