,logit,prediction,sentiment_score,Date
0,[0.04996902 0.01244205 0.93758893],neutral,0.037526965,2021-03-29 17:35:00
1,[0.04749484 0.01755516 0.93495   ],neutral,0.029939672,2021-03-29 12:07:24
2,[0.01097484 0.9723856  0.01663961],negative,-0.96141076,2021-03-29 07:43:24
3,[0.88925725 0.0120097  0.09873305],positive,0.8772476,2021-03-28 16:47:50
4,[0.85728407 0.11821434 0.02450156],positive,0.7390697,2021-03-26 18:58:04
5,[0.02510359 0.9170492  0.05784721],negative,-0.89194566,2021-03-21 13:08:49
6,[0.05417373 0.02207957 0.92374665],neutral,0.032094162,2021-03-20 09:26:00
7,[0.87916565 0.08952551 0.03130879],positive,0.7896401,2021-03-18 18:33:02
8,[0.9350462  0.01606967 0.04888421],positive,0.91897655,2021-03-17 16:17:00
9,[0.9249561  0.01369325 0.06135068],positive,0.9112628,2021-03-17 14:29:00
10,[0.07437269 0.01213529 0.913492  ],neutral,0.062237397,2021-03-17 12:20:53
11,[0.6123566  0.01429435 0.373349  ],positive,0.5980623,2021-03-17 09:51:22
12,[0.00979068 0.97262245 0.01758686],negative,-0.9628318,2021-03-17 08:47:00
13,[0.3328905  0.03554105 0.6315685 ],neutral,0.29734945,2021-03-12 13:13:06
14,[0.6400748  0.05133521 0.30859   ],positive,0.5887396,2021-03-11 13:23:34
15,[0.8091698  0.01345303 0.17737712],positive,0.7957168,2021-03-09 08:15:00
16,[0.06258357 0.03767154 0.8997449 ],neutral,0.024912022,2021-03-08 12:13:43
17,[0.9413798  0.02527149 0.03334863],positive,0.9161083,2021-03-08 06:00:00
18,[0.55264807 0.40579036 0.04156162],positive,0.14685771,2021-03-05 18:59:05
19,[0.95181173 0.01904251 0.02914584],positive,0.93276924,2021-03-04 14:11:15
20,[0.05576684 0.03571396 0.90851927],neutral,0.02005288,2021-03-04 09:20:55
21,[0.06585492 0.01435381 0.9197913 ],neutral,0.051501114,2021-03-02 15:51:19
22,[0.7831311  0.01198432 0.20488447],positive,0.7711468,2021-03-02 14:00:28
23,[0.03613913 0.93556195 0.02829891],negative,-0.8994228,2021-03-02 05:01:13
24,[0.01972323 0.86246794 0.11780877],negative,-0.8427447,2021-03-01 12:36:27
25,[0.05131624 0.01373085 0.9349529 ],neutral,0.037585385,2021-03-01 11:09:49
26,[0.02086295 0.8095711  0.16956593],negative,-0.78870815,2021-03-01 10:28:44
27,[0.31102344 0.00833317 0.6806433 ],neutral,0.30269027,2021-03-01 09:00:00
28,[0.1436806  0.04468122 0.81163824],neutral,0.09899938,2021-02-28 19:54:50
29,[0.03019944 0.95987976 0.00992077],negative,-0.9296803,2021-02-28 18:22:18
30,[0.47619635 0.04879979 0.4750039 ],positive,0.42739657,2021-02-28 09:14:34
31,[0.05972219 0.0244333  0.9158445 ],neutral,0.03528889,2021-02-27 12:11:22
32,[0.92271054 0.01167209 0.0656174 ],positive,0.91103846,2021-02-26 15:52:37
33,[0.06291626 0.03692893 0.9001549 ],neutral,0.025987323,2021-02-26 14:44:06
34,[0.76321375 0.00842402 0.22836222],positive,0.7547897,2021-02-26 09:06:37
35,[0.1976304  0.01101087 0.7913587 ],neutral,0.18661954,2021-02-26 07:01:42
36,[0.90967655 0.00992993 0.08039349],positive,0.8997466,2021-02-26 03:26:48
37,[0.9008028  0.01128983 0.08790734],positive,0.88951296,2021-02-25 22:11:37
38,[0.1491702  0.4464499  0.40437993],negative,-0.29727972,2021-02-25 20:31:00
39,[0.5180445  0.01480746 0.46714807],positive,0.503237,2021-02-25 18:31:44
40,[0.9436273  0.01668597 0.03968676],positive,0.92694134,2021-02-25 16:43:00
41,[0.00818342 0.9727433  0.01907329],negative,-0.96455985,2021-02-25 16:22:08
