,logit,prediction,sentiment_score,Date
0,[0.05593871 0.01851233 0.9255489 ],neutral,0.037426382,2021-03-28 12:57:30
1,[0.5973657  0.01122652 0.39140785],positive,0.58613914,2021-03-26 13:34:00
2,[0.5134662  0.00793539 0.47859842],positive,0.5055308,2021-03-23 09:50:21
3,[0.03046962 0.04883689 0.9206935 ],neutral,-0.01836727,2021-03-21 12:25:53
4,[0.07334956 0.31556818 0.61108226],neutral,-0.24221861,2021-03-21 07:37:00
5,[0.332735   0.01101859 0.6562464 ],neutral,0.3217164,2021-03-19 09:39:18
6,[0.4545836  0.49547315 0.04994319],negative,-0.04088956,2021-03-19 08:03:53
7,[0.8068417  0.00732183 0.18583646],positive,0.79951984,2021-03-18 11:44:14
8,[0.92861444 0.03283924 0.03854631],positive,0.8957752,2021-03-18 09:00:00
9,[0.6451328  0.01031155 0.34455568],positive,0.63482124,2021-03-17 09:00:00
10,[0.05702661 0.01634185 0.9266315 ],neutral,0.04068476,2021-03-16 17:28:05
11,[0.02276952 0.04185451 0.935376  ],neutral,-0.019084986,2021-03-15 09:30:00
12,[0.10692763 0.01823108 0.8748413 ],neutral,0.088696554,2021-03-12 18:40:00
13,[0.9313339  0.0141413  0.05452485],positive,0.9171926,2021-03-08 06:45:00
14,[0.896788   0.04366921 0.05954286],positive,0.8531188,2021-03-07 15:53:46
15,[0.9441022  0.01206472 0.04383308],positive,0.93203753,2021-03-05 09:54:26
16,[0.8691762  0.01167803 0.11914578],positive,0.85749817,2021-03-04 07:57:24
17,[0.94079787 0.01904402 0.04015806],positive,0.9217538,2021-03-03 10:37:04
18,[0.01536412 0.95431125 0.03032462],negative,-0.93894714,2021-03-03 09:52:33
19,[0.05427038 0.01873691 0.92699265],neutral,0.035533465,2021-03-02 17:44:11
20,[0.01338584 0.9518257  0.03478844],negative,-0.93843985,2021-03-02 11:34:40
21,[0.92086643 0.01103285 0.06810076],positive,0.9098336,2021-03-01 12:08:31
22,[0.04719856 0.05964963 0.8931518 ],neutral,-0.012451071,2021-02-23 11:22:04
23,[0.02589699 0.9639755  0.01012753],negative,-0.9380785,2021-02-23 11:22:03
24,[0.94731534 0.02295783 0.02972685],positive,0.92435753,2021-02-23 10:27:59
25,[0.023664   0.9633603  0.01297571],negative,-0.9396963,2021-02-23 09:32:00
26,[0.684777   0.08001381 0.23520914],positive,0.6047632,2021-02-23 09:09:25
27,[0.01023663 0.97016495 0.01959834],negative,-0.95992833,2021-02-23 07:08:32
28,[0.00767817 0.9760523  0.01626958],negative,-0.96837413,2021-02-23 07:07:42
29,[0.9445459  0.03556288 0.01989116],positive,0.90898305,2021-02-22 09:00:00
30,[0.138811   0.01999797 0.841191  ],neutral,0.11881303,2021-02-21 06:15:30
31,[0.93216085 0.00926463 0.0585745 ],positive,0.9228962,2021-02-19 09:50:26
32,[0.11667927 0.02470874 0.85861194],neutral,0.091970526,2021-02-19 08:00:31
33,[0.5807667  0.00968619 0.40954706],positive,0.5710805,2021-02-18 09:30:39
34,[0.01059015 0.9301982  0.05921172],negative,-0.91960806,2021-02-17 12:40:00
35,[0.94613    0.01450422 0.03936572],positive,0.9316258,2021-02-17 11:22:13
36,[0.09879537 0.01365685 0.8875478 ],neutral,0.08513852,2021-02-17 11:00:00
37,[0.01614963 0.82277745 0.16107291],negative,-0.8066278,2021-02-17 06:57:20
38,[0.02638059 0.02830525 0.9453141 ],neutral,-0.0019246563,2021-02-16 11:00:00
39,[0.09572554 0.01013832 0.89413613],neutral,0.08558722,2021-02-11 15:46:26
40,[0.02601471 0.0326202  0.9413651 ],neutral,-0.006605489,2021-02-11 10:22:39
41,[0.8024561  0.00867065 0.18887323],positive,0.79378545,2021-02-10 18:14:37
42,[0.07912982 0.09320476 0.82766545],neutral,-0.0140749365,2021-02-10 17:19:15
43,[0.03996078 0.91948575 0.04055358],negative,-0.87952495,2021-01-21 06:32:00
44,[0.8451802  0.01027056 0.14454924],positive,0.8349097,2021-01-21 04:30:00
45,[0.49383807 0.00973401 0.49642795],neutral,0.48410407,2021-01-14 08:30:00
46,[0.8380343  0.00786817 0.15409762],positive,0.8301661,2021-01-11 19:14:08
47,[0.05647961 0.01605721 0.92746323],neutral,0.040422402,2021-01-11 14:02:08
48,[0.91100603 0.01444106 0.07455295],positive,0.89656496,2021-01-08 06:30:00
49,[0.94079787 0.01904402 0.04015806],positive,0.9217538,2021-01-05 14:17:03
50,[0.14043656 0.01141619 0.8481473 ],neutral,0.12902036,2021-01-04 11:00:00
51,[0.72913885 0.00813668 0.2627245 ],positive,0.72100216,2021-01-03 15:08:37
52,[0.03867742 0.02501882 0.9363038 ],neutral,0.013658596,2020-12-31 16:37:52
53,[0.73913    0.02369921 0.23717086],positive,0.7154308,2020-12-30 10:32:11
54,[0.0642156  0.02241813 0.91336626],neutral,0.041797467,2020-12-24 12:03:05
55,[0.9563256  0.01836731 0.02530704],positive,0.9379583,2020-12-24 07:08:00
56,[0.7882529  0.01033744 0.20140973],positive,0.7779154,2020-12-23 07:50:00
57,[0.93415207 0.00949732 0.05635068],positive,0.9246547,2020-12-22 10:32:03
58,[0.8985834  0.02956215 0.07185439],positive,0.86902124,2020-12-18 07:00:00
59,[0.9276703  0.00990927 0.06242042],positive,0.917761,2020-12-16 15:03:03
60,[0.52772284 0.01491272 0.45736447],positive,0.5128101,2020-12-15 07:00:00
61,[0.03444244 0.02354588 0.94201165],neutral,0.01089656,2020-12-14 16:30:00
62,[0.02866322 0.02827338 0.9430634 ],neutral,0.0003898386,2020-12-11 11:53:04
63,[0.11950804 0.02040704 0.86008495],neutral,0.099101,2020-12-05 09:06:00
64,[0.10034162 0.01295319 0.8867052 ],neutral,0.087388426,2020-12-02 15:09:05
65,[0.2825837  0.01042164 0.70699465],neutral,0.27216208,2020-12-01 14:32:00
66,[0.01158882 0.97150743 0.01690385],negative,-0.9599186,2020-12-01 08:30:00
67,[0.12319392 0.0121679  0.86463815],neutral,0.11102602,2020-11-30 17:26:00
68,[0.17262092 0.01347585 0.8139032 ],neutral,0.15914507,2020-11-24 17:38:06
69,[0.9569568  0.01887273 0.0241704 ],positive,0.93808407,2020-11-23 11:00:00
70,[0.01589004 0.9334289  0.05068106],negative,-0.9175388,2020-11-18 06:36:00
71,[0.0698011  0.01516847 0.9150304 ],neutral,0.054632626,2020-11-16 12:18:41
72,[0.09114493 0.01191246 0.8969426 ],neutral,0.07923247,2020-11-16 10:34:00
73,[0.8864889  0.00916156 0.10434958],positive,0.8773274,2020-11-16 08:56:00
74,[0.60987014 0.01156641 0.37856346],positive,0.59830374,2020-11-14 09:08:00
75,[0.91789985 0.01230073 0.06979941],positive,0.9055991,2020-11-13 17:56:00
76,[0.8433212  0.0093434  0.14733534],positive,0.8339778,2020-11-09 10:46:22
77,[0.03807802 0.16218118 0.79974085],neutral,-0.124103166,2020-10-28 09:53:12
78,[0.24082895 0.02546708 0.733704  ],neutral,0.21536186,2020-09-14 17:08:04
79,[0.9408562  0.02804714 0.03109666],positive,0.9128091,2020-09-12 03:14:53
80,[0.7260885  0.00731872 0.26659283],positive,0.7187698,2020-09-11 19:39:52
81,[0.0374336  0.02204307 0.94052327],neutral,0.015390525,2020-09-10 14:26:07
82,[0.95844984 0.01635596 0.02519414],positive,0.9420939,2020-09-07 06:59:02
83,[0.01036002 0.96396714 0.02567277],negative,-0.95360714,2020-09-06 22:50:57
84,[0.85391253 0.02564303 0.1204445 ],positive,0.8282695,2020-09-05 09:37:14
85,[0.3752209  0.02432308 0.600456  ],neutral,0.35089782,2020-09-05 09:17:00
86,[0.01128105 0.953474   0.03524493],negative,-0.9421929,2020-09-04 15:50:06
87,[0.06074061 0.91034794 0.02891145],negative,-0.84960735,2020-09-04 14:52:43
88,[0.01170123 0.96913254 0.01916624],negative,-0.9574313,2020-09-04 02:45:56
89,[0.8800328  0.01263763 0.10732955],positive,0.86739516,2020-09-03 07:13:34
90,[0.9585325  0.02023582 0.02123166],positive,0.9382967,2020-08-27 08:14:25
91,[0.7325406  0.12682244 0.14063695],positive,0.60571814,2020-08-25 16:31:14
92,[0.11094798 0.0203622  0.8686898 ],neutral,0.090585776,2020-08-25 15:12:07
93,[0.02589157 0.04262125 0.93148714],neutral,-0.01672968,2020-08-25 09:18:39
94,[0.93029606 0.00869936 0.06100466],positive,0.9215967,2020-08-21 13:30:20
95,[0.5919245  0.00913807 0.39893743],positive,0.58278644,2020-08-19 21:11:00
96,[0.94874406 0.01155594 0.03970004],positive,0.93718815,2020-08-19 14:29:02
97,[0.3101492  0.02153662 0.6683142 ],neutral,0.28861257,2020-08-18 16:31:04
98,[0.94539243 0.02095867 0.03364893],positive,0.92443377,2020-08-15 09:19:00
99,[0.80942196 0.00675902 0.18381912],positive,0.80266297,2020-08-13 14:35:02
100,[0.10647651 0.01041089 0.8831126 ],neutral,0.09606562,2020-08-13 12:17:04
101,[0.82236737 0.00686306 0.17076951],positive,0.8155043,2020-08-13 11:57:11
102,[0.02480989 0.23153464 0.7436555 ],neutral,-0.20672475,2020-08-11 15:00:00
103,[0.05190874 0.01731405 0.9307772 ],neutral,0.034594685,2020-08-11 13:00:00
104,[0.07590181 0.01267487 0.9114233 ],neutral,0.06322694,2020-08-05 11:00:00
105,[0.89021224 0.04756862 0.06221916],positive,0.8426436,2020-08-03 16:22:32
106,[0.08150622 0.01895321 0.89954054],neutral,0.06255302,2020-08-03 11:00:00
107,[0.25529814 0.00948773 0.7352141 ],neutral,0.2458104,2020-08-02 11:33:00
108,[0.36929983 0.50022787 0.13047227],negative,-0.13092804,2020-07-30 10:02:23
109,[0.89874357 0.07277782 0.02847861],positive,0.82596576,2020-07-27 21:50:09
110,[0.14121649 0.01020957 0.8485739 ],neutral,0.13100693,2020-07-27 10:40:19
111,[0.09869102 0.01368558 0.8876235 ],neutral,0.08500544,2020-07-23 14:47:40
112,[0.9566978  0.02063845 0.0226637 ],positive,0.93605936,2020-07-23 05:52:30
113,[0.7032931  0.00802372 0.28868315],positive,0.69526935,2020-07-22 13:00:00
114,[0.6142852  0.01525443 0.3704604 ],positive,0.59903073,2020-07-22 10:00:14
115,[0.07865931 0.02048206 0.9008586 ],neutral,0.058177248,2020-07-21 13:00:00
116,[0.03465185 0.03049709 0.93485105],neutral,0.004154755,2020-07-19 15:24:25
117,[0.7669157  0.00964267 0.2234416 ],positive,0.757273,2020-07-18 09:29:00
118,[0.92875046 0.03741245 0.03383703],positive,0.891338,2020-07-17 23:18:32
119,[0.01749672 0.9589541  0.02354929],negative,-0.9414574,2020-07-17 19:59:03
120,[0.87597674 0.00944111 0.11458211],positive,0.86653566,2020-07-15 15:01:03
121,[0.8184503  0.01513328 0.16641638],positive,0.803317,2020-07-15 14:34:44
122,[0.02060433 0.03050042 0.9488953 ],neutral,-0.00989609,2020-07-15 11:30:17
123,[0.6066356  0.0131568  0.38020763],positive,0.59347874,2020-07-15 10:21:31
124,[0.7119039  0.00747827 0.2806178 ],positive,0.70442563,2020-07-15 06:30:10
125,[0.1547163  0.00803054 0.8372532 ],neutral,0.14668576,2020-07-15 06:30:00
126,[0.05760304 0.01703994 0.925357  ],neutral,0.0405631,2020-07-14 13:29:01
127,[0.01253216 0.9727534  0.0147144 ],negative,-0.96022123,2020-07-14 01:49:11
128,[0.02514345 0.95439935 0.02045724],negative,-0.9292559,2020-07-13 23:00:15
129,[0.07938607 0.01432456 0.90628934],neutral,0.06506151,2020-07-13 17:32:05
130,[0.01070881 0.9683346  0.02095652],negative,-0.9576258,2020-07-11 11:13:00
131,[0.03046962 0.04883689 0.9206935 ],neutral,-0.01836727,2020-07-11 11:06:31
132,[0.2669248  0.00885021 0.724225  ],neutral,0.25807458,2020-07-09 14:05:02
133,[0.85496646 0.00869133 0.13634224],positive,0.84627515,2020-07-09 13:00:00
134,[0.811234   0.00678669 0.18197931],positive,0.8044473,2020-07-08 19:52:00
135,[0.02905931 0.14266315 0.8282776 ],neutral,-0.113603845,2020-07-08 17:17:54
136,[0.6049325  0.00839025 0.38667724],positive,0.59654224,2020-07-08 16:29:04
137,[0.04138159 0.947272   0.01134642],negative,-0.9058904,2020-07-08 15:30:00
138,[0.01896569 0.0449201  0.9361142 ],neutral,-0.025954412,2020-07-08 14:27:40
139,[0.8760344  0.00777393 0.1161918 ],positive,0.86826044,2020-07-07 13:15:10
140,[0.18317443 0.00969408 0.80713147],neutral,0.17348035,2020-07-07 13:00:10
141,[0.216721   0.00859851 0.77468055],neutral,0.20812248,2020-07-06 14:00:10
142,[0.4140753  0.02889356 0.55703115],neutral,0.38518173,2020-07-05 12:11:00
143,[0.17123349 0.01309814 0.8156684 ],neutral,0.15813535,2020-07-04 09:10:00
144,[0.79372656 0.0078642  0.19840921],positive,0.7858624,2020-07-02 20:47:15
145,[0.02899079 0.14175797 0.8292513 ],neutral,-0.112767175,2020-07-02 12:30:40
146,[0.8756808  0.0965538  0.02776534],positive,0.779127,2020-07-01 21:50:09
147,[0.5496286  0.00859398 0.44177744],positive,0.54103464,2020-06-29 11:47:00
148,[0.20044841 0.05290526 0.7466464 ],neutral,0.14754315,2020-06-29 03:03:28
149,[0.8190397  0.00763631 0.17332403],positive,0.8114034,2020-06-26 13:14:01
150,[0.62836516 0.31046838 0.06116651],positive,0.31789678,2020-06-25 21:50:09
151,[0.1207002  0.01250937 0.8667904 ],neutral,0.108190835,2020-06-25 15:05:00
152,[0.72445977 0.02070318 0.254837  ],positive,0.7037566,2020-06-25 15:00:10
153,[0.9385394  0.01486973 0.04659079],positive,0.92366964,2020-06-25 14:14:02
154,[0.84768    0.00773983 0.1445802 ],positive,0.83994013,2020-06-25 12:00:10
155,[0.07305145 0.01547743 0.9114711 ],neutral,0.05757401,2020-06-25 09:00:39
156,[0.00611206 0.97071856 0.02316941],negative,-0.9646065,2020-06-24 10:00:07
157,[0.25858316 0.07779051 0.6636264 ],neutral,0.18079266,2020-06-23 14:52:02
158,[0.839717   0.01174329 0.14853975],positive,0.82797366,2020-06-22 14:27:00
159,[0.5380362  0.00994707 0.45201674],positive,0.52808917,2020-06-22 13:00:10
160,[0.05254491 0.0311598  0.9162953 ],neutral,0.021385107,2020-06-21 16:22:40
161,[0.04272235 0.03023707 0.9270405 ],neutral,0.012485275,2020-06-20 15:30:03
162,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-06-20 13:24:46
163,[0.9038217  0.00902896 0.08714937],positive,0.89479274,2020-06-19 14:14:02
164,[0.9442043  0.0117488  0.04404698],positive,0.9324555,2020-06-19 13:00:35
165,[0.21125148 0.02785269 0.76089585],neutral,0.1833988,2020-06-18 19:15:57
166,[0.2103293  0.44801974 0.34165096],negative,-0.23769045,2020-06-18 16:22:00
167,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-06-18 12:44:50
168,[0.0448381  0.9430989  0.01206295],negative,-0.8982608,2020-06-18 12:41:00
169,[0.2498668  0.0072063  0.74292696],neutral,0.2426605,2020-06-18 12:30:10
170,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-06-18 11:50:44
171,[0.83274746 0.0068625  0.16039006],positive,0.82588494,2020-06-17 13:19:01
172,[0.7172253  0.01061342 0.2721612 ],positive,0.7066119,2020-06-16 16:00:10
173,[0.8414985  0.0077971  0.15070441],positive,0.8337014,2020-06-15 13:00:10
174,[0.18680742 0.02441696 0.7887756 ],neutral,0.16239047,2020-06-15 10:54:00
175,[0.01813393 0.9709905  0.01087563],negative,-0.95285654,2020-06-15 06:28:22
176,[0.01363326 0.96003574 0.02633095],negative,-0.9464025,2020-06-14 10:25:00
177,[0.05637063 0.93295074 0.01067866],negative,-0.8765801,2020-06-14 08:04:14
178,[0.70693904 0.01016777 0.28289312],positive,0.69677126,2020-06-13 15:00:10
179,[0.82228875 0.0069777  0.1707336 ],positive,0.8153111,2020-06-12 21:30:10
180,[0.80664116 0.01146582 0.18189308],positive,0.7951753,2020-06-12 21:00:10
181,[0.72228146 0.00737004 0.27034852],positive,0.7149114,2020-06-12 15:46:03
182,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-06-11 14:22:31
183,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-06-11 13:02:30
184,[0.78475887 0.00833305 0.20690805],positive,0.77642584,2020-06-11 13:00:10
185,[0.79327404 0.00819016 0.19853577],positive,0.7850839,2020-06-09 19:00:10
186,[0.49146408 0.01479963 0.4937362 ],neutral,0.47666445,2020-06-09 15:30:32
187,[0.01298945 0.91626716 0.07074336],negative,-0.9032777,2020-06-09 14:23:02
188,[0.20275937 0.01667589 0.7805647 ],neutral,0.18608348,2020-06-08 21:00:26
189,[0.9353496  0.01104172 0.05360872],positive,0.9243079,2020-06-08 16:00:04
190,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-06-05 13:02:53
191,[0.82628846 0.00800875 0.1657028 ],positive,0.8182797,2020-06-05 13:00:10
192,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-06-04 11:37:29
193,[0.49960595 0.01087945 0.48951456],positive,0.4887265,2020-06-03 15:00:10
194,[0.01655412 0.9260013  0.05744459],negative,-0.9094472,2020-06-02 17:00:00
195,[0.04905971 0.82356435 0.12737595],negative,-0.77450466,2020-06-02 15:21:03
196,[0.64981246 0.01091235 0.3392752 ],positive,0.6389001,2020-06-02 15:05:00
197,[0.32619655 0.01055398 0.66324943],neutral,0.31564257,2020-05-29 15:00:10
198,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-05-28 17:03:38
199,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-05-28 16:33:22
200,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-05-27 00:00:00
201,[0.07061143 0.016326   0.9130626 ],neutral,0.054285433,2020-05-26 19:21:02
202,[0.93355286 0.02747985 0.03896736],positive,0.90607303,2020-05-26 16:59:40
203,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-05-26 15:58:41
204,[0.8686294  0.00633244 0.12503815],positive,0.86229694,2020-05-26 13:02:01
205,[0.9423058  0.0202161  0.03747805],positive,0.9220897,2020-05-24 11:05:00
206,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-05-22 15:37:33
207,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-05-22 15:35:53
208,[0.6979716  0.00860078 0.29342765],positive,0.6893708,2020-05-22 15:00:10
209,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-05-22 13:58:30
210,[0.541514   0.01077383 0.44771215],positive,0.53074014,2020-05-22 13:00:10
211,[0.20044841 0.05290526 0.7466464 ],neutral,0.14754315,2020-05-22 02:29:57
212,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-05-22 00:00:00
213,[0.00814288 0.97409093 0.01776628],negative,-0.96594805,2020-05-21 20:16:51
214,[0.03182287 0.92722976 0.0409474 ],negative,-0.8954069,2020-05-21 18:00:00
215,[0.0077114  0.9719587  0.02032989],negative,-0.9642473,2020-05-21 16:18:00
216,[0.686398  0.0457294 0.2678726],positive,0.64066863,2020-05-21 12:05:12
217,[0.01305827 0.975296   0.01164571],negative,-0.9622378,2020-05-21 11:47:00
218,[0.02207002 0.9565635  0.0213665 ],negative,-0.9344934,2020-05-21 11:27:47
219,[0.10348159 0.03306097 0.86345744],neutral,0.07042062,2020-05-21 10:53:19
220,[0.948094   0.01570157 0.03620445],positive,0.9323924,2020-05-21 10:45:10
221,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2020-05-21 00:00:00
222,[0.77045107 0.00674243 0.22280653],positive,0.76370865,2020-05-20 11:43:11
223,[0.12684631 0.5696409  0.30351284],negative,-0.44279456,2020-05-20 00:00:00
