,logit,prediction,sentiment_score,Date
0,[0.8927717  0.07743645 0.02979185],positive,0.8153353,2021-03-29 18:55:28
1,[0.8543743  0.01452615 0.13109958],positive,0.83984816,2021-03-29 16:15:00
2,[0.03600935 0.02312152 0.94086915],neutral,0.012887826,2021-03-29 06:45:00
3,[0.0559387  0.01851233 0.92554903],neutral,0.037426367,2021-03-28 12:57:30
4,[0.03074704 0.0760616  0.8931913 ],neutral,-0.045314558,2021-03-26 12:57:25
5,[0.23703563 0.00896599 0.7539984 ],neutral,0.22806963,2021-03-26 12:53:18
6,[0.8167536  0.0092544  0.17399196],positive,0.80749923,2021-03-24 09:12:06
7,[0.02804036 0.02617917 0.9457804 ],neutral,0.0018611886,2021-03-24 07:29:00
8,[0.03568972 0.03279953 0.93151075],neutral,0.0028901957,2021-03-24 06:50:59
9,[0.0357917  0.03331819 0.9308901 ],neutral,0.0024735034,2021-03-24 06:45:00
10,[0.89041907 0.07873277 0.03084813],positive,0.8116863,2021-03-23 18:56:09
11,[0.91726595 0.00792586 0.07480821],positive,0.9093401,2021-03-23 10:30:00
12,[0.27382958 0.02078578 0.7053846 ],neutral,0.2530438,2021-03-23 07:21:49
13,[0.69212186 0.01136207 0.296516  ],positive,0.6807598,2021-03-23 06:45:00
14,[0.31550908 0.64434177 0.04014916],negative,-0.3288327,2021-03-22 07:00:00
15,[0.22032037 0.00962409 0.7700556 ],neutral,0.21069628,2021-03-21 07:52:00
16,[0.10702707 0.01763401 0.8753389 ],neutral,0.089393064,2021-03-19 09:16:00
17,[0.9515784  0.01467652 0.0337451 ],positive,0.93690187,2021-03-19 06:45:00
18,[0.8825827  0.01301057 0.10440677],positive,0.86957216,2021-03-18 10:54:48
19,[0.3389577  0.6099864  0.05105589],negative,-0.27102873,2021-03-17 18:56:15
20,[0.02895682 0.06884135 0.9022019 ],neutral,-0.03988453,2021-03-17 16:27:00
21,[0.7329207  0.00794562 0.25913373],positive,0.7249751,2021-03-17 14:24:05
22,[0.7411784  0.00701152 0.2518101 ],positive,0.73416686,2021-03-17 13:16:00
23,[0.725025   0.00751873 0.2674563 ],positive,0.7175063,2021-03-17 09:51:23
24,[0.01877675 0.43809605 0.54312724],neutral,-0.4193193,2021-03-17 08:34:00
25,[0.02481568 0.04973153 0.9254528 ],neutral,-0.024915844,2021-03-17 06:45:00
26,[0.01555186 0.9553521  0.02909609],negative,-0.93980026,2021-03-17 06:04:00
27,[0.8365214  0.00799648 0.15548216],positive,0.8285249,2021-03-16 12:24:23
