,logit,prediction,sentiment_score,Date
0,[0.32840893 0.63972324 0.03186785],negative,-0.3113143,2021-03-29 17:40:08
1,[0.3141529  0.6314548  0.05439229],negative,-0.31730193,2021-03-29 14:20:55
2,[0.32951647 0.02042149 0.65006196],neutral,0.30909497,2021-03-29 13:45:11
3,[0.78437865 0.00810964 0.20751172],positive,0.776269,2021-03-29 11:21:15
4,[0.94139445 0.01045866 0.04814696],positive,0.9309358,2021-03-29 10:36:05
5,[0.09841483 0.49060547 0.4109797 ],negative,-0.39219064,2021-03-29 09:57:40
6,[0.9073266  0.00835589 0.08431755],positive,0.89897066,2021-03-29 09:50:17
7,[0.1358782  0.01901962 0.84510213],neutral,0.11685858,2021-03-29 05:51:00
8,[0.8442649  0.00837448 0.1473606 ],positive,0.8358905,2021-03-28 14:42:02
9,[0.9379954  0.01030988 0.05169464],positive,0.9276855,2021-03-27 10:25:23
10,[0.14828958 0.0101347  0.84157574],neutral,0.13815488,2021-03-26 18:32:01
11,[0.52210194 0.01117879 0.46671924],positive,0.51092315,2021-03-26 16:55:41
12,[0.6118217  0.07718385 0.3109944 ],positive,0.53463787,2021-03-26 05:01:09
13,[0.8805916  0.088095   0.03131342],positive,0.79249656,2021-03-25 18:56:18
14,[0.41556576 0.00885297 0.5755813 ],neutral,0.4067128,2021-03-25 14:11:00
15,[0.7671932  0.00654674 0.22626005],positive,0.76064646,2021-03-25 09:06:14
16,[0.14783329 0.57580066 0.276366  ],negative,-0.42796737,2021-03-24 14:16:40
17,[0.67490584 0.28469834 0.04039576],positive,0.3902075,2021-03-24 12:13:27
18,[0.7558894  0.00738892 0.23672165],positive,0.74850047,2021-03-24 11:06:59
19,[0.32318383 0.01984261 0.6569736 ],neutral,0.3033412,2021-03-24 10:00:11
20,[0.4984614  0.01206614 0.48947245],positive,0.48639527,2021-03-24 05:14:58
21,[0.18904307 0.01713916 0.7938178 ],neutral,0.17190392,2021-03-23 17:52:22
22,[0.07092293 0.04201495 0.88706213],neutral,0.028907984,2021-03-23 16:57:34
23,[0.27601528 0.00814152 0.71584314],neutral,0.26787376,2021-03-23 16:53:13
24,[0.1613786 0.0110363 0.8275851],neutral,0.15034232,2021-03-23 16:42:03
25,[0.5111876  0.01960912 0.46920326],positive,0.4915785,2021-03-23 16:07:38
26,[0.24149574 0.35254928 0.40595496],neutral,-0.11105354,2021-03-23 15:43:54
27,[0.95094204 0.0179965  0.0310614 ],positive,0.93294555,2021-03-23 15:38:15
28,[0.8534678  0.02320305 0.12332914],positive,0.83026475,2021-03-23 11:53:16
29,[0.49692512 0.01791392 0.48516098],positive,0.4790112,2021-03-23 11:43:02
30,[0.19828492 0.03215252 0.7695626 ],neutral,0.1661324,2021-03-23 11:34:12
31,[0.8876816  0.00804041 0.10427798],positive,0.8796412,2021-03-23 10:36:03
32,[0.7126904  0.00834217 0.27896744],positive,0.70434827,2021-03-23 10:28:03
33,[0.9477578  0.02257419 0.02966802],positive,0.9251836,2021-03-23 10:17:57
34,[0.8902385  0.00999195 0.09976953],positive,0.8802466,2021-03-23 09:50:19
35,[0.28681996 0.01565106 0.697529  ],neutral,0.2711689,2021-03-23 09:38:21
36,[0.05675106 0.01372606 0.92952293],neutral,0.043024994,2021-03-23 07:23:02
37,[0.38160262 0.017838   0.60055935],neutral,0.3637646,2021-03-23 07:06:02
38,[0.10753134 0.01601285 0.87645584],neutral,0.09151849,2021-03-23 00:05:23
39,[0.07417678 0.01346588 0.9123574 ],neutral,0.060710903,2021-03-22 23:24:00
40,[0.0794811  0.01219803 0.9083209 ],neutral,0.067283064,2021-03-22 22:53:00
41,[0.10175954 0.01336241 0.8848781 ],neutral,0.08839712,2021-03-22 22:36:00
42,[0.23387192 0.03084595 0.7352821 ],neutral,0.20302597,2021-03-22 20:33:47
43,[0.07399119 0.01807488 0.90793395],neutral,0.055916313,2021-03-22 18:09:16
44,[0.30288798 0.0125648  0.68454725],neutral,0.29032317,2021-03-22 17:11:19
45,[0.11478935 0.01429511 0.87091553],neutral,0.10049424,2021-03-22 15:15:13
46,[0.14111215 0.01975413 0.8391337 ],neutral,0.121358015,2021-03-22 14:27:00
47,[0.13968062 0.175747   0.68457234],neutral,-0.036066383,2021-03-22 12:09:43
48,[0.882464   0.00673102 0.11080501],positive,0.87573296,2021-03-22 11:00:01
49,[0.94380236 0.01331839 0.04287926],positive,0.93048394,2021-03-22 10:56:11
50,[0.8075493  0.01494778 0.17750287],positive,0.7926015,2021-03-22 09:58:49
51,[0.1759287  0.2639447  0.56012666],neutral,-0.08801599,2021-03-21 20:52:00
52,[0.02510359 0.9170492  0.05784721],negative,-0.89194566,2021-03-21 13:08:49
53,[0.20995218 0.02429736 0.76575047],neutral,0.18565482,2021-03-21 11:45:00
54,[0.7997826  0.01263523 0.18758222],positive,0.78714734,2021-03-21 06:37:03
55,[0.5135946  0.01411235 0.47229296],positive,0.49948227,2021-03-20 07:00:00
56,[0.32269132 0.6378742  0.03943443],negative,-0.31518286,2021-03-19 18:44:15
57,[0.84266216 0.11673292 0.04060493],positive,0.72592926,2021-03-19 16:09:03
58,[0.1480992  0.01124787 0.8406529 ],neutral,0.13685133,2021-03-19 14:10:52
59,[0.83309716 0.00933551 0.1575673 ],positive,0.82376164,2021-03-19 12:16:51
60,[0.10497214 0.01063975 0.88438815],neutral,0.09433238,2021-03-19 09:16:50
61,[0.06122544 0.01700669 0.92176795],neutral,0.044218756,2021-03-19 04:14:55
62,[0.6151245  0.00986466 0.37501082],positive,0.60525984,2021-03-18 17:48:02
63,[0.05405774 0.8809034  0.06503889],negative,-0.8268457,2021-03-18 17:22:12
64,[0.41868678 0.00954409 0.5717691 ],neutral,0.4091427,2021-03-18 12:41:21
65,[0.7668767  0.00747748 0.22564584],positive,0.75939924,2021-03-18 12:20:16
66,[0.07296105 0.03607208 0.89096683],neutral,0.03688897,2021-03-17 14:24:03
67,[0.12471572 0.01925841 0.8560258 ],neutral,0.10545731,2021-03-17 14:21:55
68,[0.10035843 0.01335845 0.88628316],neutral,0.086999975,2021-03-17 08:58:24
69,[0.02908796 0.91800374 0.05290829],negative,-0.8889158,2021-03-16 13:49:59
70,[0.9314579  0.03140339 0.03713874],positive,0.9000545,2021-03-16 11:43:03
71,[0.8535007  0.09935857 0.04714065],positive,0.75414217,2021-03-16 09:16:30
72,[0.06439327 0.0115563  0.9240504 ],neutral,0.05283697,2021-03-16 08:56:00
73,[0.94184244 0.03299929 0.02515838],positive,0.90884316,2021-03-16 06:45:00
74,[0.3218318  0.04448824 0.63368   ],neutral,0.27734354,2021-03-16 04:25:14
75,[0.01993606 0.93511665 0.04494728],negative,-0.91518056,2021-03-15 15:48:27
76,[0.03234663 0.04678492 0.92086846],neutral,-0.014438283,2021-03-15 08:00:00
77,[0.68242556 0.24325852 0.07431597],positive,0.43916702,2021-03-15 06:07:00
78,[0.7929452  0.01095181 0.19610296],positive,0.7819934,2021-03-15 05:45:00
79,[0.8765265  0.01132503 0.11214848],positive,0.8652015,2021-03-15 05:11:31
80,[0.83958167 0.00628741 0.15413095],positive,0.8332943,2021-03-15 04:10:59
81,[0.8202345  0.01513095 0.16463462],positive,0.80510354,2021-03-13 11:45:50
82,[0.0532872  0.7697521  0.17696065],negative,-0.7164649,2021-03-13 08:00:00
83,[0.92384756 0.01180323 0.06434922],positive,0.91204435,2021-03-13 07:34:00
84,[0.84948087 0.12021179 0.03030741],positive,0.7292691,2021-03-12 18:35:13
85,[0.95416725 0.01744187 0.0283909 ],positive,0.9367254,2021-03-12 16:15:52
86,[0.30408108 0.46960855 0.22631037],negative,-0.16552746,2021-03-12 14:54:35
87,[0.01846684 0.8192906  0.1622425 ],negative,-0.80082375,2021-03-12 13:39:13
88,[0.84075505 0.00800321 0.1512417 ],positive,0.8327518,2021-03-12 11:46:02
89,[0.07816111 0.2716285  0.6502104 ],neutral,-0.1934674,2021-03-12 11:11:57
90,[0.17942251 0.01067871 0.8098988 ],neutral,0.1687438,2021-03-12 11:01:04
91,[0.00846294 0.97007185 0.02146529],negative,-0.9616089,2021-03-12 08:17:19
92,[0.01842287 0.94144106 0.04013608],negative,-0.9230182,2021-03-11 23:44:00
93,[0.7220489  0.03139161 0.2465595 ],positive,0.69065726,2021-03-11 15:00:00
94,[0.23195903 0.03300935 0.7350316 ],neutral,0.19894968,2021-03-11 14:19:45
95,[0.03425081 0.28960454 0.67614466],neutral,-0.25535375,2021-03-11 13:40:53
96,[0.0125436 0.9488737 0.0385827],negative,-0.9363301,2021-03-11 11:59:37
97,[0.01279702 0.90884423 0.07835872],negative,-0.89604723,2021-03-11 06:44:39
98,[0.05604408 0.01693257 0.9270233 ],neutral,0.03911151,2021-03-10 21:55:47
99,[0.01311268 0.93318594 0.05370139],negative,-0.9200733,2021-03-10 20:27:00
100,[0.8786848  0.00695367 0.1143615 ],positive,0.87173116,2021-03-10 11:23:04
101,[0.03124163 0.04606605 0.9226923 ],neutral,-0.01482442,2021-03-10 11:14:51
102,[0.953673   0.0176469  0.02868011],positive,0.9360261,2021-03-10 09:37:23
103,[0.8814339  0.01397397 0.10459217],positive,0.86745995,2021-03-10 09:33:35
104,[0.19369076 0.38904297 0.41726628],neutral,-0.19535221,2021-03-09 18:20:37
105,[0.37467876 0.00931495 0.61600626],neutral,0.3653638,2021-03-09 15:51:28
106,[0.80083567 0.00816556 0.19099872],positive,0.79267013,2021-03-09 15:08:53
107,[0.03507618 0.20464647 0.76027733],neutral,-0.16957028,2021-03-09 09:00:00
108,[0.03043959 0.02421279 0.9453476 ],neutral,0.0062268022,2021-03-09 07:42:29
109,[0.01389962 0.9327102  0.05339025],negative,-0.91881055,2021-03-09 06:46:38
110,[0.03510062 0.79962313 0.1652763 ],negative,-0.7645225,2021-03-09 05:01:37
111,[0.38258913 0.01235301 0.60505784],neutral,0.37023613,2021-03-08 22:16:47
112,[0.00974652 0.97016555 0.02008793],negative,-0.96041906,2021-03-08 15:25:13
113,[0.05499637 0.01802611 0.9269775 ],neutral,0.03697026,2021-03-08 14:50:00
114,[0.19086947 0.4083974  0.4007331 ],negative,-0.21752794,2021-03-08 14:11:13
115,[0.9279713  0.00977436 0.06225434],positive,0.9181969,2021-03-08 12:23:00
116,[0.67490584 0.28469834 0.04039576],positive,0.3902075,2021-03-08 12:07:10
117,[0.7626519  0.01165145 0.22569673],positive,0.75100046,2021-03-08 11:24:42
118,[0.00735844 0.96615267 0.02648884],negative,-0.95879424,2021-03-08 11:13:34
119,[0.56628555 0.30560583 0.12810859],positive,0.26067972,2021-03-08 10:07:31
120,[0.02924868 0.95716137 0.01358995],negative,-0.9279127,2021-03-08 09:02:00
121,[0.93976283 0.0230951  0.03714202],positive,0.91666776,2021-03-08 07:35:22
122,[0.5571896  0.00982494 0.43298554],positive,0.54736465,2021-03-08 07:03:21
123,[0.09454161 0.79491717 0.11054125],negative,-0.70037556,2021-03-07 15:38:00
124,[0.6678315  0.01678061 0.31538787],positive,0.65105087,2021-03-07 14:03:29
125,[0.01461949 0.89509994 0.09028062],negative,-0.88048047,2021-03-06 11:33:16
126,[0.05806411 0.01597607 0.9259598 ],neutral,0.042088047,2021-03-06 06:15:20
127,[0.03147994 0.71920055 0.24931948],negative,-0.6877206,2021-03-05 19:34:00
128,[0.01151168 0.9373023  0.05118597],negative,-0.9257906,2021-03-05 17:36:42
129,[0.8786848  0.00695367 0.1143615 ],positive,0.87173116,2021-03-05 17:28:19
130,[0.9435614  0.03143487 0.02500363],positive,0.9121265,2021-03-05 15:28:00
131,[0.01849633 0.93727267 0.04423098],negative,-0.91877633,2021-03-05 13:20:30
132,[0.45735988 0.46570715 0.07693293],negative,-0.008347273,2021-03-05 13:18:55
133,[0.30502874 0.13038695 0.5645843 ],neutral,0.17464179,2021-03-05 11:50:37
134,[0.9395884  0.01268428 0.04772721],positive,0.92690414,2021-03-05 07:38:18
135,[0.01628691 0.9067673  0.0769458 ],negative,-0.8904804,2021-03-05 06:19:21
136,[0.02489028 0.8048863  0.17022343],negative,-0.779996,2021-03-04 21:48:00
137,[0.47597486 0.03317768 0.49084753],neutral,0.44279718,2021-03-04 18:58:10
138,[0.04776248 0.31011194 0.6421256 ],neutral,-0.26234946,2021-03-04 15:40:18
139,[0.16818313 0.01212035 0.8196965 ],neutral,0.15606278,2021-03-04 14:44:05
140,[0.637122   0.01204074 0.35083726],positive,0.62508124,2021-03-04 14:25:17
141,[0.6379484  0.01016134 0.3518903 ],positive,0.62778705,2021-03-04 14:00:00
142,[0.8139907  0.00689485 0.17911443],positive,0.8070959,2021-03-04 11:24:21
143,[0.9143338  0.04095371 0.04471247],positive,0.8733801,2021-03-04 07:35:00
144,[0.01090534 0.9669524  0.02214223],negative,-0.95604706,2021-03-04 07:23:00
145,[0.3246309  0.01430405 0.6610651 ],neutral,0.31032684,2021-03-04 06:05:00
146,[0.11429107 0.01193624 0.87377274],neutral,0.10235483,2021-03-03 17:33:34
147,[0.02147602 0.90894777 0.06957616],negative,-0.88747174,2021-03-03 16:21:57
148,[0.04382972 0.02056216 0.9356081 ],neutral,0.023267556,2021-03-03 15:33:11
149,[0.08378153 0.01582163 0.9003968 ],neutral,0.0679599,2021-03-03 12:43:44
150,[0.06546087 0.38994366 0.5445954 ],neutral,-0.3244828,2021-03-03 11:49:37
151,[0.3222211  0.42225197 0.255527  ],negative,-0.10003087,2021-03-03 09:57:37
152,[0.15735108 0.00914494 0.833504  ],neutral,0.14820613,2021-03-03 09:35:00
153,[0.02848269 0.6022143  0.36930302],negative,-0.5737316,2021-03-03 08:09:51
154,[0.02355866 0.6770067  0.29943466],negative,-0.65344805,2021-03-03 07:47:58
155,[0.08091187 0.01238714 0.90670097],neutral,0.068524726,2021-03-02 19:39:26
156,[0.06136395 0.01598513 0.9226509 ],neutral,0.045378827,2021-03-02 15:57:34
157,[0.04422109 0.01356585 0.9422131 ],neutral,0.030655239,2021-03-02 13:48:00
158,[0.10999251 0.01406306 0.87594444],neutral,0.09592945,2021-03-02 13:46:33
159,[0.05242362 0.01936225 0.92821413],neutral,0.033061367,2021-03-02 13:01:38
160,[0.12115225 0.0093567  0.86949104],neutral,0.11179555,2021-03-02 11:40:02
161,[0.04121056 0.01925872 0.9395307 ],neutral,0.021951837,2021-03-02 09:22:03
162,[0.9407938  0.0231788  0.03602737],positive,0.917615,2021-03-02 06:00:00
163,[0.09255298 0.01141315 0.8960338 ],neutral,0.081139825,2021-03-01 10:14:49
164,[0.0116092  0.9541423  0.03424851],negative,-0.9425331,2021-03-01 10:06:15
165,[0.5407093  0.02085757 0.4384331 ],positive,0.51985174,2021-03-01 08:15:08
166,[0.03645781 0.03613023 0.927412  ],neutral,0.00032757968,2021-03-01 07:58:08
167,[0.13031642 0.43096685 0.43871674],neutral,-0.30065042,2021-03-01 07:36:04
168,[0.88324195 0.01763469 0.09912334],positive,0.86560726,2021-03-01 07:31:20
169,[0.12376987 0.01076369 0.8654665 ],neutral,0.11300618,2021-02-28 21:22:38
170,[0.9427255  0.0315975  0.02567705],positive,0.911128,2021-02-27 19:00:32
171,[0.85001254 0.00707353 0.14291395],positive,0.842939,2021-02-27 14:43:58
172,[0.6732481  0.01070117 0.31605074],positive,0.66254693,2021-02-27 08:02:00
173,[0.43298024 0.02465891 0.54236084],neutral,0.40832132,2021-02-26 18:57:03
174,[0.03296648 0.03804789 0.9289856 ],neutral,-0.005081404,2021-02-26 17:59:44
175,[0.04061678 0.01620405 0.94317913],neutral,0.024412723,2021-02-26 14:17:16
176,[0.1416522  0.01054455 0.84780324],neutral,0.13110764,2021-02-26 11:26:39
177,[0.16755258 0.06062767 0.7718198 ],neutral,0.10692491,2021-02-25 19:44:09
178,[0.03768852 0.7181819  0.24412954],negative,-0.68049335,2021-02-25 16:42:00
179,[0.09357307 0.6930671  0.21335989],negative,-0.599494,2021-02-25 15:02:46
180,[0.01349791 0.88118786 0.10531414],negative,-0.86768997,2021-02-25 10:09:19
181,[0.3220781  0.03217043 0.6457514 ],neutral,0.2899077,2021-02-25 07:37:20
182,[0.09457174 0.01388708 0.8915412 ],neutral,0.08068466,2021-02-24 21:58:15
183,[0.03440778 0.02788754 0.93770474],neutral,0.0065202415,2021-02-24 18:06:42
184,[0.08636302 0.01234141 0.9012956 ],neutral,0.07402161,2021-02-24 17:29:49
185,[0.03863205 0.03567822 0.92568976],neutral,0.0029538348,2021-02-24 16:01:46
186,[0.09288613 0.09781773 0.80929613],neutral,-0.004931599,2021-02-24 15:50:08
187,[0.08770387 0.04402331 0.86827284],neutral,0.04368056,2021-02-24 12:56:52
188,[0.12027644 0.02255891 0.8571646 ],neutral,0.09771754,2021-02-24 11:36:54
189,[0.07100907 0.793324   0.13566697],negative,-0.72231495,2021-02-24 05:00:31
190,[0.09406332 0.03259097 0.87334573],neutral,0.061472353,2021-02-23 16:41:00
191,[0.03540449 0.5853519  0.37924367],negative,-0.5499474,2021-02-23 14:57:00
192,[0.01360353 0.86477786 0.12161865],negative,-0.85117435,2021-02-23 14:40:19
193,[0.08235846 0.10182257 0.81581897],neutral,-0.019464105,2021-02-23 14:30:01
194,[0.08461003 0.26170373 0.6536863 ],neutral,-0.1770937,2021-02-23 14:07:39
195,[0.57619447 0.25266144 0.17114408],positive,0.32353303,2021-02-23 11:35:07
196,[0.10763467 0.5455432  0.3468221 ],negative,-0.43790853,2021-02-23 10:42:00
197,[0.93154    0.01094949 0.05751055],positive,0.9205905,2021-02-23 10:37:51
198,[0.8803751  0.04013669 0.07948823],positive,0.8402384,2021-02-23 09:05:39
199,[0.91616696 0.0141554  0.06967757],positive,0.9020116,2021-02-23 08:34:00
200,[0.8684449  0.04751461 0.08404048],positive,0.8209303,2021-02-23 05:41:43
201,[0.06712422 0.24423653 0.6886392 ],neutral,-0.17711231,2021-02-23 05:01:03
202,[0.06740378 0.02423437 0.90836185],neutral,0.04316941,2021-02-22 15:25:34
203,[0.01802634 0.95647925 0.02549442],negative,-0.9384529,2021-02-22 15:14:00
204,[0.0103102  0.96773785 0.02195188],negative,-0.9574277,2021-02-22 11:57:00
205,[0.64646214 0.05312812 0.3004097 ],positive,0.593334,2021-02-22 11:00:13
206,[0.05306495 0.72208416 0.22485082],negative,-0.6690192,2021-02-22 09:37:00
207,[0.9385694  0.02054714 0.04088343],positive,0.9180223,2021-02-21 22:04:34
208,[0.8388816  0.01244566 0.14867266],positive,0.8264359,2021-02-21 16:30:09
209,[0.9208903  0.01042525 0.06868442],positive,0.910465,2021-02-21 11:11:58
210,[0.7708282  0.00822296 0.22094883],positive,0.76260525,2021-02-19 15:52:14
211,[0.89039546 0.00923362 0.10037095],positive,0.88116187,2021-02-19 10:35:25
212,[0.03561605 0.02704607 0.9373379 ],neutral,0.008569984,2021-02-18 16:01:42
213,[0.27424213 0.03376263 0.69199526],neutral,0.2404795,2021-02-18 14:25:00
214,[0.67490584 0.28469834 0.04039576],positive,0.3902075,2021-02-18 12:07:41
215,[0.73333275 0.00721274 0.25945452],positive,0.72612,2021-02-18 08:05:00
216,[0.9508267  0.02125179 0.02792148],positive,0.9295749,2021-02-18 01:32:06
217,[0.9508267  0.02125179 0.02792148],positive,0.9295749,2021-02-18 01:32:03
218,[0.0631746 0.034157  0.9026685],neutral,0.029017601,2021-02-17 14:56:35
219,[0.00835637 0.9681916  0.02345207],negative,-0.95983523,2021-02-17 10:52:00
220,[0.609159   0.04809055 0.3427505 ],positive,0.5610684,2021-02-17 06:14:00
221,[0.0201869  0.04072602 0.93908715],neutral,-0.020539124,2021-02-16 17:23:40
222,[0.10706764 0.01082026 0.8821121 ],neutral,0.096247375,2021-02-16 16:14:00
223,[0.9471597  0.01882529 0.03401496],positive,0.9283344,2021-02-16 13:59:00
224,[0.9553931  0.0168962  0.02771075],positive,0.9384969,2021-02-16 09:10:43
225,[0.58786625 0.01707209 0.39506164],positive,0.57079417,2021-02-16 06:53:10
226,[0.95027393 0.01918695 0.03053908],positive,0.93108696,2021-02-16 06:12:09
227,[0.16383316 0.01161154 0.82455534],neutral,0.15222162,2021-02-16 05:14:56
228,[0.07026804 0.05893276 0.8707992 ],neutral,0.01133528,2021-02-15 13:15:42
229,[0.1083562  0.01391777 0.87772596],neutral,0.09443843,2021-02-15 06:02:00
230,[0.08542311 0.05035503 0.8642218 ],neutral,0.035068084,2021-02-14 20:48:00
231,[0.7157838  0.02518125 0.259035  ],positive,0.69060254,2021-02-14 14:00:34
232,[0.30118307 0.01373951 0.6850774 ],neutral,0.28744358,2021-02-14 07:00:00
233,[0.22872405 0.0590529  0.71222305],neutral,0.16967115,2021-02-12 16:05:22
234,[0.6439854  0.01943492 0.3365797 ],positive,0.62455046,2021-02-12 15:44:16
235,[0.16439468 0.02131112 0.8142942 ],neutral,0.14308356,2021-02-12 10:00:53
236,[0.35812384 0.01887673 0.62299937],neutral,0.3392471,2021-02-12 07:51:07
237,[0.46737728 0.4279694  0.10465333],positive,0.03940788,2021-02-12 06:42:42
238,[0.050235   0.02082975 0.92893517],neutral,0.029405251,2021-02-12 06:35:00
239,[0.0212202  0.8649879  0.11379194],negative,-0.8437677,2021-02-12 05:58:43
240,[0.6316013  0.01118585 0.35721284],positive,0.62041545,2021-02-12 05:43:46
241,[0.49925232 0.00985266 0.49089503],positive,0.48939967,2021-02-11 14:00:00
242,[0.18876028 0.01546687 0.7957729 ],neutral,0.17329341,2021-02-11 10:43:32
243,[0.87276965 0.00839183 0.11883849],positive,0.8643778,2021-02-11 09:15:51
244,[0.85585445 0.00652603 0.13761955],positive,0.8493284,2021-02-11 07:34:05
245,[0.39034164 0.01126585 0.59839255],neutral,0.3790758,2021-02-11 06:57:59
246,[0.9372402  0.02826299 0.03449681],positive,0.9089772,2021-02-11 06:48:07
247,[0.14593804 0.00844873 0.8456132 ],neutral,0.1374893,2021-02-11 06:30:25
248,[0.05456064 0.02361012 0.9218292 ],neutral,0.03095051,2021-02-11 05:39:37
249,[0.60972875 0.00859297 0.3816782 ],positive,0.6011358,2021-02-11 03:55:00
250,[0.9467526  0.01392819 0.03931916],positive,0.93282443,2021-02-11 01:31:08
251,[0.9467526  0.01392819 0.03931916],positive,0.93282443,2021-02-11 01:31:02
252,[0.2239229  0.01496646 0.7611106 ],neutral,0.20895644,2021-02-10 23:48:00
253,[0.02358276 0.04303468 0.9333826 ],neutral,-0.01945192,2021-02-10 22:54:58
254,[0.17428066 0.01775472 0.8079646 ],neutral,0.15652594,2021-02-10 20:46:03
255,[0.02792802 0.03197893 0.94009304],neutral,-0.0040509123,2021-02-10 16:34:44
256,[0.09090423 0.01229035 0.89680547],neutral,0.07861388,2021-02-10 14:15:28
257,[0.83152145 0.0101932  0.15828533],positive,0.8213282,2021-02-10 11:42:40
258,[0.20600162 0.53121376 0.26278463],negative,-0.32521212,2021-02-10 09:12:10
259,[0.16106728 0.05378841 0.78514427],neutral,0.10727887,2021-02-09 17:24:19
260,[0.04519917 0.03437537 0.9204254 ],neutral,0.010823805,2021-02-09 15:31:38
261,[0.9213068  0.03612907 0.04256413],positive,0.88517773,2021-02-09 15:30:46
262,[0.9349743  0.02520582 0.03981994],positive,0.9097685,2021-02-08 11:58:58
263,[0.8155015  0.00671148 0.17778704],positive,0.80879,2021-02-08 10:17:00
264,[0.11982954 0.23704161 0.6431289 ],neutral,-0.11721207,2021-02-08 08:21:15
265,[0.06743322 0.15654804 0.77601874],neutral,-0.08911482,2021-02-07 06:45:00
266,[0.54330283 0.07089194 0.38580525],positive,0.4724109,2021-02-07 06:01:52
267,[0.05620258 0.01874297 0.92505443],neutral,0.037459612,2021-02-06 11:28:02
268,[0.06367183 0.5872499  0.34907836],negative,-0.52357805,2021-02-06 10:18:00
269,[0.76537055 0.00995507 0.2246745 ],positive,0.7554155,2021-02-06 08:30:00
270,[0.14883925 0.01236252 0.8387982 ],neutral,0.13647673,2021-02-06 01:31:15
271,[0.8130135  0.00681908 0.1801674 ],positive,0.8061944,2021-02-05 17:24:30
272,[0.02401135 0.49431735 0.4816713 ],negative,-0.470306,2021-02-05 14:50:00
273,[0.04275542 0.605228   0.35201657],negative,-0.5624726,2021-02-05 14:20:37
274,[0.01780564 0.8720777  0.11011668],negative,-0.85427207,2021-02-05 10:08:44
275,[0.40049696 0.2593516  0.3401515 ],positive,0.14114535,2021-02-04 18:30:34
276,[0.59673804 0.01013964 0.39312238],positive,0.5865984,2021-02-04 15:52:07
277,[0.06306814 0.80370754 0.13322431],negative,-0.7406394,2021-02-04 15:07:04
278,[0.8427381  0.00768423 0.14957763],positive,0.83505386,2021-02-04 13:51:50
279,[0.27474102 0.03600711 0.68925184],neutral,0.23873392,2021-02-04 13:34:55
280,[0.6142007  0.00967966 0.37611973],positive,0.60452104,2021-02-04 12:59:37
281,[0.4840517  0.02238029 0.49356806],neutral,0.4616714,2021-02-04 12:07:10
282,[0.77236146 0.01694556 0.2106929 ],positive,0.7554159,2021-02-04 10:53:28
283,[0.48919827 0.01567643 0.49512523],neutral,0.47352183,2021-02-04 10:06:27
284,[0.8756657  0.00864552 0.11568885],positive,0.8670202,2021-02-04 01:31:03
285,[0.8756657  0.00864552 0.11568885],positive,0.8670202,2021-02-04 01:31:02
286,[0.8668438 0.046977  0.0861792],positive,0.81986684,2021-02-04 00:10:48
287,[0.05463917 0.591395   0.3539658 ],negative,-0.53675586,2021-02-03 11:37:36
288,[0.8591144  0.01183312 0.12905245],positive,0.8472813,2021-02-03 11:01:30
289,[0.72969055 0.00795598 0.26235348],positive,0.7217346,2021-02-03 08:21:19
290,[0.896762   0.01207355 0.09116438],positive,0.88468844,2021-02-03 06:54:51
291,[0.0357975  0.40329877 0.5609037 ],neutral,-0.36750126,2021-02-03 06:32:43
292,[0.17412083 0.01321686 0.81266236],neutral,0.16090396,2021-02-03 06:15:58
293,[0.41865546 0.36582765 0.21551688],positive,0.052827805,2021-02-03 01:36:30
294,[0.9079883  0.01730882 0.07470277],positive,0.8906795,2021-02-03 01:32:02
295,[0.7729332  0.02579225 0.2012746 ],positive,0.74714094,2021-02-02 21:06:00
296,[0.18344222 0.0226595  0.7938982 ],neutral,0.16078272,2021-02-02 13:14:01
297,[0.08908008 0.01522528 0.8956946 ],neutral,0.073854804,2021-02-02 11:22:56
298,[0.90422535 0.01455259 0.08122203],positive,0.88967276,2021-02-02 10:05:37
299,[0.7039809  0.26399052 0.03202859],positive,0.4399904,2021-02-02 09:11:00
300,[0.9362204  0.03559149 0.02818807],positive,0.9006289,2021-02-02 09:00:00
301,[0.8608671  0.0135256  0.12560742],positive,0.8473415,2021-02-02 08:20:13
302,[0.92422324 0.0153484  0.06042832],positive,0.90887487,2021-02-02 08:20:12
303,[0.8664478  0.0972773  0.03627491],positive,0.7691705,2021-02-02 06:41:18
304,[0.1822925  0.04452294 0.7731845 ],neutral,0.13776956,2021-02-01 18:11:09
305,[0.75798345 0.00896978 0.23304677],positive,0.74901366,2021-02-01 16:14:28
306,[0.78557974 0.01162052 0.20279974],positive,0.7739592,2021-02-01 15:50:35
307,[0.9392439  0.0183611  0.04239504],positive,0.9208828,2021-02-01 15:20:32
308,[0.03560181 0.03541357 0.92898464],neutral,0.00018824264,2021-02-01 13:40:02
309,[0.17844118 0.00812708 0.8134318 ],neutral,0.1703141,2021-02-01 13:38:43
