,logit,prediction,sentiment_score,Date
0,[0.90069115 0.01143622 0.08787254],positive,0.8892549,2021-03-29 15:06:28
1,[0.85218316 0.00740032 0.14041655],positive,0.8447828,2021-03-29 09:10:10
2,[0.07961258 0.04642389 0.87396353],neutral,0.033188697,2021-03-28 10:31:00
3,[0.17395988 0.02400487 0.8020353 ],neutral,0.149955,2021-03-27 14:06:00
4,[0.28126764 0.00998874 0.70874363],neutral,0.27127892,2021-03-27 12:02:00
5,[0.2753526  0.01648025 0.70816714],neutral,0.25887233,2021-03-25 16:18:53
6,[0.40833884 0.5097943  0.08186678],negative,-0.10145545,2021-03-24 18:17:03
7,[0.11217658 0.03503428 0.85278916],neutral,0.0771423,2021-03-24 08:35:00
8,[0.17303815 0.01394123 0.81302065],neutral,0.15909693,2021-03-23 14:25:43
9,[0.9089193  0.01012116 0.0809596 ],positive,0.8987981,2021-03-23 07:23:00
10,[0.8857328  0.00857248 0.10569471],positive,0.8771604,2021-03-19 17:20:08
11,[0.7355568  0.00910719 0.25533608],positive,0.7264496,2021-03-18 14:21:07
12,[0.074774   0.01401797 0.9112081 ],neutral,0.060756035,2021-03-17 08:00:00
13,[0.9002278  0.07173738 0.0280348 ],positive,0.8284904,2021-03-16 18:56:17
14,[0.07880395 0.01345728 0.90773875],neutral,0.065346666,2021-03-16 08:45:00
15,[0.7645205  0.0104197  0.22505973],positive,0.7541008,2021-03-16 05:01:29
16,[0.4756845  0.00906317 0.51525235],neutral,0.4666213,2021-03-15 07:31:00
17,[0.01380127 0.9459456  0.04025311],negative,-0.93214434,2021-03-14 07:39:00
18,[0.36565453 0.07371332 0.56063217],neutral,0.29194123,2021-03-12 13:17:17
19,[0.43142462 0.01016364 0.5584117 ],neutral,0.42126098,2021-03-12 11:00:00
20,[0.7176628  0.01148547 0.2708517 ],positive,0.70617735,2021-03-12 08:45:00
21,[0.25081453 0.00924169 0.7399438 ],neutral,0.24157284,2021-03-10 07:10:14
22,[0.06512425 0.02179487 0.9130809 ],neutral,0.04332938,2021-03-09 14:14:24
23,[0.9317073  0.02509862 0.0431941 ],positive,0.9066087,2021-03-08 12:20:47
24,[0.06394618 0.1201773  0.8158766 ],neutral,-0.05623112,2021-03-07 07:00:00
25,[0.89249855 0.07855187 0.02894963],positive,0.81394666,2021-03-04 18:58:14
26,[0.826779   0.01546553 0.15775554],positive,0.81131345,2021-03-03 04:51:14
27,[0.5864106  0.03391154 0.37967783],positive,0.55249906,2021-03-02 13:44:09
28,[0.2344082  0.73795176 0.02764002],negative,-0.50354356,2021-02-27 09:45:00
29,[0.9441845  0.03414246 0.02167303],positive,0.91004205,2021-02-25 14:26:04
30,[0.6707764  0.00910178 0.32012185],positive,0.6616746,2021-02-24 12:40:50
31,[0.88604194 0.01728516 0.09667294],positive,0.8687568,2021-02-23 17:02:46
32,[0.05025913 0.0432361  0.90650475],neutral,0.007023029,2021-02-23 14:22:00
33,[0.8115868  0.01009111 0.17832214],positive,0.8014957,2021-02-23 13:59:00
34,[0.84700084 0.02291443 0.1300848 ],positive,0.8240864,2021-02-22 14:14:00
35,[0.4415439  0.01052853 0.54792756],neutral,0.43101537,2021-02-20 09:31:00
36,[0.9061476  0.00826909 0.08558329],positive,0.8978785,2021-02-19 17:21:55
37,[0.5245909  0.32262772 0.15278143],positive,0.20196319,2021-02-19 13:57:39
38,[0.12787808 0.01576209 0.85635984],neutral,0.112115994,2021-02-19 13:05:34
39,[0.2384384  0.01027841 0.75128317],neutral,0.22815998,2021-02-19 09:16:09
40,[0.19567129 0.0075863  0.7967424 ],neutral,0.18808499,2021-02-18 14:01:26
41,[0.5188261  0.01024729 0.47092652],positive,0.50857884,2021-02-18 08:50:00
42,[0.71332306 0.12435072 0.16232619],positive,0.58897233,2021-02-17 18:11:50
43,[0.3977801  0.00997245 0.5922475 ],neutral,0.38780764,2021-02-17 16:08:07
44,[0.8761336  0.01297229 0.11089415],positive,0.8631613,2021-02-16 09:53:43
45,[0.09427802 0.01789802 0.88782394],neutral,0.07638,2021-02-16 08:08:43
46,[0.20113628 0.01212597 0.7867377 ],neutral,0.1890103,2021-02-15 09:00:00
47,[0.09551269 0.08273382 0.82175356],neutral,0.012778871,2021-02-14 08:35:00
48,[0.26964977 0.01328927 0.717061  ],neutral,0.2563605,2021-02-14 06:06:00
49,[0.9351738  0.02718903 0.03763713],positive,0.9079848,2021-02-12 07:30:00
50,[0.03176787 0.9444313  0.02380084],negative,-0.91266346,2021-02-09 10:49:00
51,[0.487471   0.01471599 0.49781293],neutral,0.472755,2021-02-08 13:31:28
52,[0.9390473  0.01415151 0.04680114],positive,0.92489576,2021-02-06 10:15:00
53,[0.09281112 0.01060283 0.89658606],neutral,0.08220829,2021-02-06 06:35:00
54,[0.07351345 0.01085061 0.91563594],neutral,0.06266283,2021-02-05 08:15:00
55,[0.05587311 0.01953797 0.92458886],neutral,0.036335144,2021-02-04 22:05:00
56,[0.946533   0.01206944 0.0413976 ],positive,0.93446356,2021-02-03 09:06:16
57,[0.8259391  0.01325426 0.16080663],positive,0.81268483,2021-02-03 06:42:36
58,[0.41368404 0.00937262 0.5769434 ],neutral,0.40431142,2021-01-31 11:19:00
59,[0.15281542 0.01017527 0.8370093 ],neutral,0.14264014,2021-01-31 09:02:00
60,[0.8892419  0.00951675 0.1012413 ],positive,0.8797251,2021-01-30 08:45:00
61,[0.8023338  0.00803913 0.18962711],positive,0.79429466,2021-01-30 02:28:25
62,[0.7552747  0.00785115 0.23687413],positive,0.7474236,2021-01-28 06:50:00
63,[0.6491293  0.0103702  0.34050047],positive,0.6387591,2021-01-27 08:27:00
64,[0.03439832 0.0635478  0.9020539 ],neutral,-0.02914948,2021-01-26 17:03:04
65,[0.94626766 0.02932419 0.02440822],positive,0.9169435,2021-01-26 13:33:36
66,[0.17412369 0.12665753 0.69921875],neutral,0.04746616,2021-01-26 13:00:00
67,[0.95697105 0.02161862 0.02141036],positive,0.93535244,2021-01-26 12:48:30
68,[0.8741338  0.01054856 0.11531764],positive,0.8635853,2021-01-26 11:49:00
69,[0.7242733  0.05394718 0.22177953],positive,0.6703262,2021-01-26 09:47:16
70,[0.55002975 0.00955322 0.44041705],positive,0.54047656,2021-01-25 10:33:00
71,[0.91133773 0.00903052 0.07963176],positive,0.9023072,2021-01-25 10:32:07
72,[0.60085607 0.01094352 0.3882004 ],positive,0.58991253,2021-01-24 11:12:00
73,[0.0743563  0.01537135 0.9102724 ],neutral,0.05898495,2021-01-24 10:43:00
74,[0.07363001 0.01314775 0.9132223 ],neutral,0.060482256,2021-01-23 08:25:00
75,[0.0892053  0.01254114 0.8982535 ],neutral,0.07666416,2021-01-23 08:00:00
76,[0.89407533 0.01068119 0.09524346],positive,0.8833941,2021-01-22 11:58:58
77,[0.95010155 0.01934416 0.03055429],positive,0.9307574,2021-01-22 09:47:34
78,[0.9534113  0.01968736 0.02690134],positive,0.9337239,2021-01-22 09:47:21
79,[0.12963001 0.01713191 0.8532381 ],neutral,0.112498105,2021-01-20 15:00:38
80,[0.2779739  0.01545687 0.70656925],neutral,0.26251704,2021-01-20 11:03:11
81,[0.8624731  0.10716666 0.03036029],positive,0.7553064,2021-01-15 18:48:10
82,[0.74512285 0.00766278 0.24721436],positive,0.7374601,2021-01-13 05:51:00
83,[0.03003684 0.0232358  0.94672734],neutral,0.006801041,2021-01-12 06:30:00
84,[0.04229018 0.02549918 0.9322106 ],neutral,0.016791005,2021-01-11 16:30:00
85,[0.9089108  0.00835675 0.08273237],positive,0.90055406,2021-01-11 10:33:46
86,[0.67420864 0.01038001 0.31541133],positive,0.6638286,2021-01-09 08:24:00
87,[0.05984986 0.08962284 0.8505273 ],neutral,-0.029772978,2021-01-08 12:59:00
88,[0.8777208  0.09179842 0.03048085],positive,0.78592235,2021-01-07 18:48:08
89,[0.6715406  0.01066903 0.31779036],positive,0.66087157,2021-01-06 11:24:53
90,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-01-05 14:04:16
91,[0.08407523 0.10241015 0.8135146 ],neutral,-0.018334918,2021-01-05 06:00:42
92,[0.09988118 0.01155406 0.8885648 ],neutral,0.08832712,2021-01-05 05:51:00
93,[0.816594   0.01508008 0.16832587],positive,0.8015139,2021-01-04 10:48:38
94,[0.6584988  0.04908948 0.29241168],positive,0.60940933,2021-01-03 10:16:00
95,[0.7715026  0.00816745 0.22032993],positive,0.76333517,2021-01-02 11:34:00
96,[0.44185743 0.02090818 0.53723437],neutral,0.42094925,2021-01-02 08:32:00
97,[0.7800207  0.00901749 0.21096176],positive,0.77100325,2021-01-01 06:36:00
98,[0.8111107  0.00721029 0.18167904],positive,0.80390036,2020-12-31 11:00:00
99,[0.4883872  0.45419428 0.05741844],positive,0.03419292,2020-12-30 18:48:05
100,[0.20796935 0.01315215 0.77887845],neutral,0.1948172,2020-12-30 09:25:38
101,[0.7272971  0.00905273 0.26365012],positive,0.7182444,2020-12-29 10:07:00
102,[0.14394042 0.02427542 0.8317841 ],neutral,0.119665,2020-12-29 06:30:00
103,[0.8811133  0.00898795 0.10989884],positive,0.8721253,2020-12-27 11:19:00
104,[0.22164914 0.00935146 0.76899934],neutral,0.21229768,2020-12-25 05:51:00
105,[0.03705129 0.02237138 0.94057727],neutral,0.014679914,2020-12-23 16:43:15
106,[0.78822136 0.00820555 0.20357312],positive,0.7800158,2020-12-23 14:10:09
107,[0.10275853 0.01020978 0.8870317 ],neutral,0.09254876,2020-12-23 11:24:00
108,[0.9202393  0.01063944 0.0691212 ],positive,0.9095999,2020-12-22 08:15:00
109,[0.33950254 0.61821735 0.04228013],negative,-0.2787148,2020-12-21 18:49:22
110,[0.7421277  0.00776001 0.25011227],positive,0.7343677,2020-12-20 11:21:00
111,[0.06115509 0.0182017  0.9206432 ],neutral,0.042953394,2020-12-19 07:17:00
112,[0.17366621 0.0247508  0.80158293],neutral,0.14891541,2020-12-19 07:07:00
113,[0.11842386 0.02894626 0.8526299 ],neutral,0.089477606,2020-12-18 10:31:00
114,[0.18367028 0.01042649 0.80590326],neutral,0.17324379,2020-12-18 05:16:08
115,[0.10046673 0.0165061  0.8830272 ],neutral,0.08396063,2020-12-17 14:43:14
116,[0.90972275 0.0145983  0.07567897],positive,0.89512444,2020-12-17 14:28:56
117,[0.03229879 0.33335057 0.6343506 ],neutral,-0.3010518,2020-12-17 12:17:03
118,[0.6120257  0.01281233 0.37516198],positive,0.59921336,2020-12-17 10:36:00
119,[0.16687468 0.02191113 0.8112142 ],neutral,0.14496355,2020-12-17 09:48:00
120,[0.63157976 0.18642302 0.18199731],positive,0.44515675,2020-12-15 16:35:21
121,[0.4949083  0.00930988 0.4957819 ],neutral,0.48559842,2020-12-14 10:03:52
122,[0.07256323 0.03675888 0.89067787],neutral,0.03580435,2020-12-13 09:12:00
123,[0.8762934  0.01101246 0.11269417],positive,0.865281,2020-12-11 12:35:00
124,[0.7298085  0.00862112 0.2615704 ],positive,0.7211874,2020-12-11 09:33:11
125,[0.845428   0.0254997  0.12907234],positive,0.8199283,2020-12-11 09:27:30
126,[0.8717347  0.01133445 0.11693086],positive,0.8604002,2020-12-11 07:30:00
127,[0.91969025 0.01262753 0.06768226],positive,0.9070627,2020-12-10 13:52:47
128,[0.09144247 0.01744014 0.89111733],neutral,0.07400233,2020-12-10 09:30:00
129,[0.6754403  0.00958409 0.31497565],positive,0.66585624,2020-12-09 05:51:00
130,[0.5256697  0.01202598 0.46230426],positive,0.51364374,2020-12-06 08:15:00
131,[0.11950804 0.02040704 0.86008495],neutral,0.099101,2020-12-05 09:06:00
132,[0.4404571  0.02401589 0.53552705],neutral,0.4164412,2020-12-04 15:38:06
133,[0.15995984 0.03429133 0.8057489 ],neutral,0.1256685,2020-12-04 05:51:00
134,[0.57690036 0.01151173 0.4115879 ],positive,0.5653886,2020-12-02 14:35:46
135,[0.8879699  0.08113614 0.03089396],positive,0.80683374,2020-12-02 10:23:53
136,[0.10281077 0.01657835 0.88061094],neutral,0.08623242,2020-12-02 10:10:12
137,[0.78018475 0.01397147 0.20584384],positive,0.7662133,2020-12-01 09:44:00
138,[0.94340825 0.01211221 0.04447942],positive,0.93129605,2020-11-30 12:25:31
139,[0.7309684  0.0078848  0.26114684],positive,0.7230836,2020-11-30 05:46:26
140,[0.05083223 0.92314494 0.02602278],negative,-0.8723127,2020-11-29 08:26:00
141,[0.89335066 0.00853228 0.09811705],positive,0.8848184,2020-11-26 09:51:20
142,[0.71212953 0.23056294 0.05730747],positive,0.4815666,2020-11-25 13:47:37
143,[0.10538188 0.01177528 0.8828428 ],neutral,0.09360659,2020-11-23 17:00:16
