,logit,prediction,sentiment_score,Date
0,[0.8610582  0.00844467 0.13049716],positive,0.8526135,2021-03-29 09:50:23
1,[0.69599605 0.01854375 0.2854602 ],positive,0.6774523,2021-03-29 08:45:00
2,[0.67292786 0.01127195 0.31580025],positive,0.6616559,2021-03-29 04:25:55
3,[0.78577834 0.01031076 0.20391093],positive,0.7754676,2021-03-28 07:07:00
4,[0.04319265 0.01933089 0.93747646],neutral,0.023861758,2021-03-27 07:08:45
5,[0.71390927 0.00984455 0.27624613],positive,0.7040647,2021-03-27 06:06:00
6,[0.8578441  0.10982021 0.03233567],positive,0.7480239,2021-03-26 18:58:09
7,[0.6965758  0.01876008 0.28466403],positive,0.67781574,2021-03-26 17:27:15
8,[0.00991878 0.9284764  0.06160479],negative,-0.91855764,2021-03-26 07:30:00
9,[0.01863763 0.95227015 0.0290922 ],negative,-0.9336325,2021-03-25 19:13:00
10,[0.02733335 0.91909766 0.05356899],negative,-0.89176434,2021-03-25 15:31:00
11,[0.02887709 0.9292403  0.04188254],negative,-0.9003632,2021-03-25 12:21:14
12,[0.04177024 0.02508116 0.93314856],neutral,0.016689077,2021-03-25 09:51:21
13,[0.05692148 0.41720638 0.5258721 ],neutral,-0.3602849,2021-03-24 15:44:00
14,[0.07614142 0.01592243 0.90793616],neutral,0.060218982,2021-03-24 15:35:00
15,[0.02336656 0.67971253 0.2969209 ],negative,-0.65634596,2021-03-24 00:50:43
16,[0.93930364 0.02114217 0.03955412],positive,0.91816145,2021-03-23 16:23:56
17,[0.9401867  0.01301306 0.04680021],positive,0.9271736,2021-03-23 15:28:38
18,[0.8534678  0.02320305 0.12332914],positive,0.83026475,2021-03-23 11:53:16
19,[0.19052278 0.7621359  0.04734131],negative,-0.57161313,2021-03-23 11:48:41
20,[0.06408373 0.7267492  0.20916703],negative,-0.6626654,2021-03-23 11:00:00
21,[0.94087845 0.02045705 0.03866456],positive,0.9204214,2021-03-23 10:40:32
22,[0.949248   0.01478325 0.03596881],positive,0.93446475,2021-03-23 07:34:04
23,[0.03594304 0.83784884 0.12620819],negative,-0.8019058,2021-03-23 05:36:00
24,[0.84361166 0.00964888 0.1467395 ],positive,0.8339628,2021-03-22 12:04:49
25,[0.12463998 0.03595614 0.83940387],neutral,0.08868384,2021-03-20 08:34:00
26,[0.13273901 0.02513633 0.84212464],neutral,0.10760267,2021-03-20 06:52:00
27,[0.33381218 0.00946397 0.65672386],neutral,0.3243482,2021-03-19 15:49:00
28,[0.6564745  0.0178616  0.32566395],positive,0.63861287,2021-03-19 08:45:00
29,[0.14445198 0.01366798 0.84188   ],neutral,0.13078399,2021-03-19 08:07:00
30,[0.92035055 0.01301811 0.06663131],positive,0.9073324,2021-03-18 16:31:00
31,[0.08649837 0.01389469 0.89960694],neutral,0.07260368,2021-03-18 13:33:25
32,[0.06727341 0.02462896 0.9080976 ],neutral,0.04264445,2021-03-17 09:06:07
33,[0.6253157  0.01117476 0.36350957],positive,0.614141,2021-03-16 20:24:17
34,[0.8785818  0.09354201 0.02787619],positive,0.7850398,2021-03-16 18:56:16
35,[0.68223596 0.01526668 0.3024974 ],positive,0.6669693,2021-03-16 12:53:18
36,[0.7806727  0.0090606  0.21026665],positive,0.7716121,2021-03-16 11:26:48
37,[0.8900405  0.01041959 0.09953988],positive,0.8796209,2021-03-16 10:05:00
38,[0.6640785  0.02601888 0.30990267],positive,0.6380596,2021-03-16 07:29:00
39,[0.93989617 0.03196741 0.02813646],positive,0.90792876,2021-03-15 19:05:00
40,[0.13703755 0.03990289 0.82305956],neutral,0.09713466,2021-03-15 14:00:00
41,[0.02693913 0.03066713 0.9423938 ],neutral,-0.0037279967,2021-03-15 12:00:00
42,[0.07078201 0.02641304 0.9028049 ],neutral,0.044368975,2021-03-15 11:43:05
