,logit,prediction,sentiment_score,Date
0,[0.04128259 0.6600279  0.2986895 ],negative,-0.6187453,2021-03-29 19:47:00
1,[0.01967256 0.4690679  0.51125956],neutral,-0.44939536,2021-03-29 19:00:56
2,[0.3705496  0.02115339 0.608297  ],neutral,0.3493962,2021-03-29 17:24:02
3,[0.32951647 0.0204215  0.65006196],neutral,0.30909497,2021-03-29 13:45:11
4,[0.16148351 0.05717595 0.78134054],neutral,0.10430756,2021-03-29 07:39:00
5,[0.7280126  0.19023825 0.0817491 ],positive,0.5377744,2021-03-29 07:30:41
6,[0.0559387  0.01851233 0.92554903],neutral,0.037426367,2021-03-28 12:57:30
7,[0.06454335 0.02551352 0.9099431 ],neutral,0.03902983,2021-03-28 12:00:00
8,[0.9446549  0.03217201 0.02317306],positive,0.91248286,2021-03-28 06:49:18
9,[0.75923985 0.00911821 0.231642  ],positive,0.75012165,2021-03-27 10:00:00
10,[0.95262283 0.01851132 0.02886585],positive,0.93411154,2021-03-26 16:42:03
11,[0.04311253 0.9348754  0.02201214],negative,-0.8917629,2021-03-26 11:08:13
12,[0.9421004  0.02765225 0.0302473 ],positive,0.91444814,2021-03-26 10:21:31
13,[0.15230705 0.81882256 0.02887034],negative,-0.6665155,2021-03-26 08:41:00
14,[0.9326006  0.04315792 0.02424152],positive,0.8894427,2021-03-26 08:37:00
15,[0.04284886 0.04966671 0.9074844 ],neutral,-0.006817855,2021-03-26 05:10:26
16,[0.01239299 0.9515986  0.03600841],negative,-0.9392056,2021-03-26 00:34:15
17,[0.06227674 0.20258504 0.73513824],neutral,-0.14030829,2021-03-25 16:42:00
18,[0.01599402 0.9616624  0.02234365],negative,-0.9456684,2021-03-25 15:25:35
19,[0.27754477 0.47942552 0.24302971],negative,-0.20188075,2021-03-25 14:37:00
20,[0.02022458 0.92085904 0.05891633],negative,-0.90063447,2021-03-25 12:20:00
21,[0.01851797 0.91820097 0.06328101],negative,-0.899683,2021-03-25 12:15:41
22,[0.01604844 0.93500954 0.04894203],negative,-0.9189611,2021-03-25 11:52:46
23,[0.01503979 0.89502144 0.08993879],negative,-0.87998164,2021-03-25 10:38:41
24,[0.00920028 0.9627344  0.02806529],negative,-0.9535341,2021-03-25 09:39:44
25,[0.00783837 0.9678008  0.02436077],negative,-0.9599624,2021-03-25 09:28:21
26,[0.02617048 0.91369766 0.06013181],negative,-0.88752717,2021-03-25 06:14:11
27,[0.01905326 0.9481293  0.03281747],negative,-0.929076,2021-03-25 06:08:04
28,[0.0169768  0.94642985 0.0365933 ],negative,-0.9294531,2021-03-25 05:41:35
29,[0.02039633 0.95022726 0.02937645],negative,-0.9298309,2021-03-24 22:37:00
30,[0.67448264 0.29424196 0.0312754 ],positive,0.38024068,2021-03-24 07:10:00
31,[0.8534678  0.02320305 0.12332914],positive,0.83026475,2021-03-23 11:53:16
32,[0.5388993  0.0950724  0.36602828],positive,0.4438269,2021-03-22 14:44:58
33,[0.03031174 0.91197604 0.05771227],negative,-0.8816643,2021-03-22 14:04:19
34,[0.92929137 0.01413543 0.05657325],positive,0.91515595,2021-03-22 10:22:00
35,[0.74956805 0.01607522 0.23435672],positive,0.73349285,2021-03-19 15:50:15
36,[0.0359516  0.02907961 0.93496877],neutral,0.0068719946,2021-03-19 15:42:04
37,[0.01709987 0.7455871  0.237313  ],negative,-0.72848725,2021-03-19 15:14:49
38,[0.89145833 0.0086871  0.09985455],positive,0.88277125,2021-03-19 14:26:00
39,[0.8068696  0.16133158 0.03179883],positive,0.64553803,2021-03-19 13:26:10
40,[0.08146711 0.01491301 0.9036199 ],neutral,0.06655409,2021-03-19 13:25:07
41,[0.01790202 0.11219477 0.8699032 ],neutral,-0.094292745,2021-03-19 12:52:18
42,[0.00887104 0.9708709  0.02025807],negative,-0.9619999,2021-03-19 12:51:00
43,[0.710914   0.05264049 0.23644541],positive,0.6582735,2021-03-19 11:57:42
44,[0.00770805 0.974495   0.01779694],negative,-0.9667869,2021-03-19 11:38:42
45,[0.95099586 0.0288715  0.02013264],positive,0.9221244,2021-03-19 11:21:41
46,[0.6958514 0.0225627 0.2815859],positive,0.6732887,2021-03-19 10:59:58
47,[0.00701463 0.9703537  0.02263164],negative,-0.9633391,2021-03-19 09:50:41
48,[0.01830713 0.95663804 0.02505481],negative,-0.9383309,2021-03-19 09:48:00
49,[0.06544858 0.01642727 0.9181241 ],neutral,0.04902131,2021-03-19 09:43:04
