,logit,prediction,sentiment_score,Date
0,[0.23937866 0.70693284 0.05368844],negative,-0.46755418,2021-03-29 18:55:27
1,[0.68134296 0.03818097 0.28047612],positive,0.643162,2021-03-29 12:12:49
2,[0.26221234 0.00884764 0.72894   ],neutral,0.25336468,2021-03-29 10:00:00
3,[0.9073266  0.00835589 0.08431755],positive,0.89897066,2021-03-29 09:50:17
4,[0.02579424 0.8653866  0.10881917],negative,-0.83959234,2021-03-28 07:30:00
5,[0.06857526 0.01492831 0.9164964 ],neutral,0.05364696,2021-03-27 18:01:00
6,[0.6965759  0.01876009 0.28466398],positive,0.6778158,2021-03-26 17:27:15
7,[0.17558573 0.01015573 0.8142586 ],neutral,0.16543,2021-03-25 15:22:17
8,[0.07391993 0.01117377 0.91490626],neutral,0.06274616,2021-03-25 11:00:00
9,[0.7671932  0.00654674 0.22626005],positive,0.76064646,2021-03-25 09:06:14
10,[0.91476536 0.01790691 0.06732775],positive,0.89685845,2021-03-24 13:55:35
11,[0.90900123 0.00774449 0.08325429],positive,0.90125674,2021-03-23 17:49:00
12,[0.11421908 0.01624215 0.8695387 ],neutral,0.09797693,2021-03-22 12:55:26
13,[0.6705252  0.01268179 0.31679302],positive,0.6578434,2021-03-18 16:57:33
14,[0.00794945 0.9731035  0.01894694],negative,-0.96515405,2021-03-17 10:37:14
15,[0.89887434 0.05825083 0.04287482],positive,0.8406235,2021-03-17 07:00:00
16,[0.7787259  0.01008106 0.21119303],positive,0.76864487,2021-03-16 14:41:28
17,[0.25094363 0.572378   0.1766784 ],negative,-0.32143435,2021-03-16 10:10:41
18,[0.9531874  0.01676082 0.0300517 ],positive,0.9364266,2021-03-15 10:13:45
19,[0.9242914  0.01032472 0.06538391],positive,0.91396666,2021-03-14 07:45:00
20,[0.8699758  0.04622551 0.08379871],positive,0.8237503,2021-03-14 07:00:00
21,[0.23483367 0.01183659 0.7533297 ],neutral,0.22299708,2021-03-13 07:45:00
22,[0.80490273 0.00821562 0.18688163],positive,0.7966871,2021-03-12 11:45:12
23,[0.17216459 0.10093307 0.7269023 ],neutral,0.071231514,2021-03-12 08:30:00
24,[0.8376222  0.03149389 0.13088383],positive,0.8061283,2021-03-11 19:41:15
25,[0.03527202 0.02128807 0.9434399 ],neutral,0.013983944,2021-03-10 17:53:55
26,[0.1253331  0.01465062 0.86001635],neutral,0.11068248,2021-03-10 17:07:43
27,[0.0581674  0.8658396  0.07599301],negative,-0.8076722,2021-03-10 13:36:36
28,[0.08968506 0.43729    0.473025  ],neutral,-0.34760496,2021-03-10 10:18:50
29,[0.91732806 0.00869838 0.07397366],positive,0.90862966,2021-03-10 09:06:07
30,[0.18557541 0.7961624  0.01826213],negative,-0.610587,2021-03-10 07:42:08
31,[0.93728155 0.01663889 0.0460796 ],positive,0.9206427,2021-03-09 20:04:00
32,[0.8690556  0.09523522 0.03570919],positive,0.7738204,2021-03-09 16:08:00
33,[0.06864637 0.01364629 0.9177074 ],neutral,0.055000085,2021-03-09 09:00:00
34,[0.94727606 0.01541901 0.03730498],positive,0.93185705,2021-03-09 06:50:04
35,[0.00768968 0.96651477 0.0257956 ],negative,-0.9588251,2021-03-08 08:03:27
36,[0.0620201  0.05365513 0.8843247 ],neutral,0.008364975,2021-03-06 08:30:00
37,[0.879373   0.07263325 0.04799369],positive,0.80673975,2021-03-05 15:27:14
38,[0.45735985 0.46570715 0.07693294],negative,-0.008347303,2021-03-05 13:18:55
39,[0.24446571 0.02657525 0.7289591 ],neutral,0.21789046,2021-03-05 08:42:00
40,[0.9395884  0.01268428 0.04772721],positive,0.92690414,2021-03-05 07:38:18
41,[0.04974518 0.09478325 0.85547155],neutral,-0.045038078,2021-03-04 17:27:03
42,[0.8139907  0.00689485 0.17911443],positive,0.8070959,2021-03-04 11:24:21
43,[0.949355   0.0129485  0.03769658],positive,0.9364065,2021-03-04 09:08:13
44,[0.05558947 0.01460734 0.9298032 ],neutral,0.040982127,2021-03-03 20:24:06
45,[0.11429109 0.01193624 0.8737726 ],neutral,0.102354854,2021-03-03 17:33:34
46,[0.06115001 0.01410475 0.9247452 ],neutral,0.04704526,2021-03-03 15:25:38
47,[0.02145323 0.94817096 0.0303758 ],negative,-0.92671776,2021-03-03 08:44:51
48,[0.94361734 0.03078577 0.02559688],positive,0.91283154,2021-03-02 11:45:47
49,[0.4022814  0.00846391 0.5892547 ],neutral,0.39381748,2021-03-02 11:22:56
