,logit,prediction,sentiment_score,Date
0,[0.6906942  0.00876577 0.30054006],positive,0.68192846,2021-03-26 10:50:12
1,[0.7614302  0.00996278 0.22860707],positive,0.7514674,2021-03-25 11:00:00
2,[0.2328834  0.00936607 0.7577505 ],neutral,0.22351733,2021-03-25 09:00:00
3,[0.7909997  0.01459702 0.19440334],positive,0.7764027,2021-03-24 08:45:00
4,[0.8802097  0.08872429 0.03106592],positive,0.7914854,2021-03-23 18:56:16
5,[0.14803797 0.01452393 0.83743817],neutral,0.13351405,2021-03-23 08:04:18
6,[0.02681208 0.03725943 0.93592846],neutral,-0.010447353,2021-03-23 01:48:19
7,[0.03781306 0.02744634 0.9347406 ],neutral,0.010366721,2021-03-22 12:08:44
8,[0.7555956  0.00989721 0.23450717],positive,0.7456984,2021-03-22 11:00:00
9,[0.94536924 0.02086657 0.03376416],positive,0.9245027,2021-03-22 10:21:52
10,[0.2881035  0.00987921 0.70201725],neutral,0.2782243,2021-03-19 10:25:21
11,[0.03910547 0.02410016 0.9367944 ],neutral,0.015005309,2021-03-19 07:03:00
12,[0.3682757  0.01733015 0.6143942 ],neutral,0.35094556,2021-03-18 12:00:00
13,[0.1868395  0.00904341 0.8041171 ],neutral,0.1777961,2021-03-18 09:40:01
14,[0.87053376 0.00772742 0.12173882],positive,0.8628063,2021-03-18 08:00:00
15,[0.9404824  0.02954145 0.02997621],positive,0.91094095,2021-03-15 09:58:39
16,[0.8022951  0.00767998 0.19002494],positive,0.7946151,2021-03-15 09:06:23
17,[0.06277443 0.02204523 0.9151803 ],neutral,0.040729195,2021-03-13 12:08:07
18,[0.12884833 0.01203473 0.8591169 ],neutral,0.1168136,2021-03-11 07:00:00
19,[0.8336916  0.13659692 0.02971145],positive,0.6970947,2021-03-08 18:27:15
20,[0.9263197  0.04323028 0.0304499 ],positive,0.8830894,2021-03-08 09:06:10
21,[0.01495328 0.96351564 0.02153105],negative,-0.9485624,2021-03-07 05:53:31
22,[0.47597486 0.03317768 0.49084753],neutral,0.44279718,2021-03-04 18:58:10
23,[0.09107596 0.0178868  0.8910373 ],neutral,0.073189154,2021-03-03 16:17:59
24,[0.20679355 0.02705184 0.7661546 ],neutral,0.17974171,2021-03-03 11:18:10
25,[0.8646549  0.10351165 0.03183347],positive,0.76114327,2021-03-01 18:57:13
26,[0.17533444 0.03521392 0.7894516 ],neutral,0.14012052,2021-03-01 11:52:26
27,[0.02156578 0.03355594 0.94487834],neutral,-0.01199016,2021-03-01 10:30:00
28,[0.8243496  0.00801247 0.16763791],positive,0.8163371,2021-03-01 08:01:45
29,[0.0247997  0.0651981  0.91000223],neutral,-0.040398397,2021-03-01 06:00:00
30,[0.02210478 0.95673877 0.02115643],negative,-0.934634,2021-02-28 10:02:19
31,[0.43258557 0.00990401 0.55751044],neutral,0.42268157,2021-02-27 21:06:31
32,[0.40094268 0.00969023 0.5893671 ],neutral,0.39125246,2021-02-26 11:49:21
33,[0.46065956 0.00918318 0.53015727],neutral,0.4514764,2021-02-25 15:20:43
34,[0.22174415 0.00996455 0.7682913 ],neutral,0.2117796,2021-02-25 12:02:00
35,[0.15243015 0.00911594 0.8384539 ],neutral,0.14331421,2021-02-25 09:14:26
36,[0.23823847 0.00866839 0.7530931 ],neutral,0.22957008,2021-02-25 09:00:01
37,[0.02397836 0.03538829 0.94063336],neutral,-0.011409935,2021-02-24 10:32:59
38,[0.05025913 0.0432361  0.90650475],neutral,0.0070230328,2021-02-23 14:22:00
39,[0.07805793 0.01910441 0.9028377 ],neutral,0.05895352,2021-02-23 05:11:49
40,[0.35494584 0.01370394 0.6313502 ],neutral,0.3412419,2021-02-23 00:00:00
41,[0.0201261  0.04100253 0.9388713 ],neutral,-0.020876436,2021-02-22 09:00:09
42,[0.9474827  0.02479095 0.02772632],positive,0.92269176,2021-02-17 14:28:23
43,[0.3350367  0.02218518 0.6427781 ],neutral,0.31285152,2021-02-17 11:48:03
44,[0.10720409 0.01657276 0.87622315],neutral,0.090631336,2021-02-17 08:08:00
45,[0.05577588 0.91511667 0.02910747],negative,-0.8593408,2021-02-15 16:07:01
46,[0.13187265 0.06355827 0.8045691 ],neutral,0.06831438,2021-02-14 11:25:56
47,[0.33665618 0.02893747 0.6344063 ],neutral,0.30771872,2021-02-13 07:30:00
48,[0.01046357 0.9725451  0.01699135],negative,-0.9620815,2021-02-12 13:06:10
49,[0.8513407  0.01158951 0.13706985],positive,0.8397512,2021-02-12 12:09:46
50,[0.03107581 0.9158759  0.05304831],negative,-0.8848001,2021-02-12 11:00:44
51,[0.6924461  0.2726309  0.03492302],positive,0.4198152,2021-02-12 06:52:14
52,[0.9502579  0.01717743 0.03256459],positive,0.93308043,2021-02-11 14:22:11
53,[0.7564261  0.0079834  0.23559058],positive,0.7484427,2021-02-11 13:35:09
54,[0.03485932 0.05029685 0.9148439 ],neutral,-0.0154375285,2021-02-11 11:56:00
55,[0.00923159 0.9731848  0.01758359],negative,-0.96395326,2021-02-11 10:53:29
