,logit,prediction,sentiment_score,Date
0,[0.8407263  0.12886968 0.03040407],positive,0.7118566,2021-03-29 18:55:20
1,[0.18356362 0.01229251 0.80414385],neutral,0.1712711,2021-03-29 13:28:00
2,[0.38756773 0.04385312 0.5685791 ],neutral,0.3437146,2021-03-29 11:49:05
3,[0.10348158 0.03306096 0.86345744],neutral,0.07042061,2021-03-29 11:00:01
4,[0.19256489 0.01267849 0.79475665],neutral,0.1798864,2021-03-29 07:12:00
5,[0.14655173 0.01520118 0.8382471 ],neutral,0.13135055,2021-03-28 06:08:00
6,[0.09917604 0.01630701 0.8845169 ],neutral,0.08286903,2021-03-27 06:00:00
7,[0.3195489  0.02832306 0.652128  ],neutral,0.29122585,2021-03-26 10:36:42
8,[0.18886605 0.01127847 0.7998555 ],neutral,0.17758758,2021-03-26 07:31:00
9,[0.5107789  0.21156237 0.27765873],positive,0.29921654,2021-03-26 00:07:15
10,[0.22620337 0.01126449 0.7625322 ],neutral,0.21493888,2021-03-25 22:10:56
11,[0.9013771  0.01307804 0.08554494],positive,0.88829905,2021-03-25 16:12:43
12,[0.12642394 0.02164991 0.8519262 ],neutral,0.10477403,2021-03-25 15:50:00
13,[0.11730257 0.01646826 0.8662291 ],neutral,0.10083431,2021-03-25 13:40:56
14,[0.83983254 0.01051798 0.14964944],positive,0.8293146,2021-03-25 13:06:00
15,[0.24644728 0.02627511 0.72727764],neutral,0.22017217,2021-03-25 12:30:01
16,[0.7773794  0.00907622 0.21354443],positive,0.76830316,2021-03-25 10:37:25
17,[0.94813794 0.02985808 0.02200397],positive,0.9182799,2021-03-25 07:32:39
18,[0.63808113 0.04728021 0.31463864],positive,0.59080094,2021-03-25 06:45:00
19,[0.37825197 0.00998878 0.61175925],neutral,0.36826319,2021-03-24 09:12:06
20,[0.00977628 0.9589822  0.03124149],negative,-0.94920594,2021-03-24 06:41:35
21,[0.06146399 0.04901017 0.8895259 ],neutral,0.012453821,2021-03-24 06:05:00
22,[0.06095627 0.6891262  0.24991752],negative,-0.6281699,2021-03-24 02:13:58
23,[0.23934697 0.01132689 0.74932617],neutral,0.22802009,2021-03-23 17:48:56
24,[0.41480127 0.01515571 0.570043  ],neutral,0.39964557,2021-03-23 14:02:00
25,[0.7109349  0.00777173 0.2812934 ],positive,0.70316315,2021-03-23 13:05:42
26,[0.00921131 0.9630276  0.02776109],negative,-0.9538163,2021-03-23 12:30:22
27,[0.83876586 0.00833423 0.15289992],positive,0.83043164,2021-03-23 12:28:16
28,[0.2400329  0.00907023 0.7508968 ],neutral,0.23096266,2021-03-23 11:51:19
29,[0.6436751  0.01171048 0.3446145 ],positive,0.6319646,2021-03-23 11:42:44
30,[0.06525505 0.02361537 0.9111296 ],neutral,0.04163967,2021-03-23 11:00:01
31,[0.10287459 0.01428025 0.8828452 ],neutral,0.08859434,2021-03-23 11:00:00
