,logit,prediction,sentiment_score,Date
0,[0.8676827  0.09361526 0.03870203],positive,0.7740674,2021-03-29 18:55:13
1,[0.5780725  0.00979279 0.41213477],positive,0.5682797,2021-03-29 14:01:00
2,[0.92052895 0.0421191  0.03735206],positive,0.87840986,2021-03-28 17:23:19
3,[0.8442649  0.00837448 0.1473606 ],positive,0.8358905,2021-03-28 14:42:02
4,[0.05593871 0.01851233 0.9255489 ],neutral,0.037426382,2021-03-28 12:57:30
5,[0.14893612 0.09263843 0.7584255 ],neutral,0.056297697,2021-03-28 12:01:00
6,[0.78577834 0.01031076 0.20391093],positive,0.7754676,2021-03-28 07:07:00
7,[0.21831997 0.01098971 0.7706903 ],neutral,0.20733026,2021-03-26 14:30:51
8,[0.21284544 0.0090851  0.77806944],neutral,0.20376034,2021-03-24 12:59:15
9,[0.9469761  0.01413005 0.03889392],positive,0.93284607,2021-03-24 11:28:04
10,[0.87076575 0.09749956 0.03173463],positive,0.7732662,2021-03-22 18:55:09
11,[0.03781305 0.02744634 0.9347406 ],neutral,0.010366706,2021-03-22 12:08:44
12,[0.02510359 0.9170492  0.05784721],negative,-0.89194566,2021-03-21 13:08:49
13,[0.05480304 0.02812579 0.9170712 ],neutral,0.026677243,2021-03-20 09:00:00
14,[0.43784988 0.00843019 0.55371994],neutral,0.4294197,2021-03-18 18:35:00
15,[0.01320289 0.9730594  0.01373777],negative,-0.9598565,2021-03-18 15:31:07
16,[0.25226498 0.0088263  0.7389087 ],neutral,0.24343868,2021-03-18 11:16:48
17,[0.78428787 0.01223067 0.20348151],positive,0.7720572,2021-03-17 11:37:36
18,[0.11561903 0.36546135 0.5189196 ],neutral,-0.24984232,2021-03-16 09:15:26
19,[0.921273   0.05182269 0.02690426],positive,0.86945033,2021-03-14 14:16:18
20,[0.95251447 0.02309397 0.02439155],positive,0.9294205,2021-03-14 01:56:06
21,[0.8477119  0.01316793 0.13912018],positive,0.834544,2021-03-12 10:30:00
22,[0.1793167  0.02812825 0.79255503],neutral,0.15118845,2021-03-12 05:01:15
23,[0.23195903 0.03300935 0.7350316 ],neutral,0.19894968,2021-03-11 14:19:45
24,[0.79592615 0.00825093 0.19582297],positive,0.7876752,2021-03-11 03:45:00
25,[0.8657622  0.1012705  0.03296727],positive,0.7644917,2021-03-08 18:27:08
26,[0.21284544 0.0090851  0.77806944],neutral,0.20376034,2021-03-08 12:53:50
27,[0.05492733 0.01525604 0.92981666],neutral,0.039671294,2021-03-08 08:59:02
28,[0.9502417  0.0288002  0.02095822],positive,0.9214415,2021-03-05 06:30:00
29,[0.5714809  0.00816591 0.42035323],positive,0.563315,2021-03-04 14:33:00
30,[0.20679355 0.02705184 0.7661546 ],neutral,0.17974171,2021-03-03 11:18:10
31,[0.04846092 0.02082583 0.93071324],neutral,0.027635098,2021-03-03 02:18:00
32,[0.30511722 0.6281491  0.06673367],negative,-0.32303187,2021-03-01 18:57:10
33,[0.0931967  0.01423267 0.8925706 ],neutral,0.07896403,2021-02-28 07:00:00
34,[0.04061678 0.01620405 0.94317913],neutral,0.024412723,2021-02-26 14:17:16
35,[0.55255175 0.01089644 0.4365518 ],positive,0.5416553,2021-02-25 14:51:35
36,[0.02855043 0.02206055 0.94938904],neutral,0.0064898804,2021-02-24 16:11:27
37,[0.09969961 0.02207356 0.8782268 ],neutral,0.07762605,2021-02-23 18:23:16
38,[0.09920119 0.0239687  0.8768301 ],neutral,0.0752325,2021-02-23 16:51:20
39,[0.07805793 0.01910441 0.9028377 ],neutral,0.05895352,2021-02-23 05:11:49
40,[0.84535223 0.12271194 0.03193583],positive,0.7226403,2021-02-22 18:57:19
41,[0.05674428 0.04100776 0.90224797],neutral,0.01573652,2021-02-22 14:23:01
42,[0.03370279 0.01830798 0.9479892 ],neutral,0.015394811,2021-02-22 12:58:30
43,[0.7748209  0.14225504 0.08292406],positive,0.63256586,2021-02-22 09:00:35
44,[0.20090987 0.01033082 0.7887593 ],neutral,0.19057904,2021-02-20 07:54:00
45,[0.07214406 0.02250659 0.9053494 ],neutral,0.049637474,2021-02-20 07:34:00
46,[0.9227738  0.01059958 0.06662665],positive,0.9121742,2021-02-19 13:50:42
