,logit,prediction,sentiment_score,Date
0,[0.01470072 0.9554254  0.02987389],negative,-0.9407247,2021-03-29 11:46:42
1,[0.4446558  0.521295   0.03404917],negative,-0.076639205,2021-03-29 11:24:36
2,[0.8536947  0.12138384 0.0249214 ],positive,0.73231083,2021-03-26 14:09:14
3,[0.15527281 0.02172562 0.82300156],neutral,0.1335472,2021-03-25 06:22:00
4,[0.6436751  0.01171048 0.3446145 ],positive,0.6319646,2021-03-23 11:42:44
5,[0.38716874 0.02392896 0.58890235],neutral,0.36323977,2021-03-20 06:05:00
6,[0.71252644 0.0094135  0.27806005],positive,0.70311296,2021-03-17 08:15:00
7,[0.5450346  0.01382326 0.4411422 ],positive,0.5312113,2021-03-16 18:27:00
8,[0.7240829  0.0098032  0.26611388],positive,0.7142797,2021-03-15 12:29:24
9,[0.442648   0.01642408 0.54092795],neutral,0.4262239,2021-03-15 07:40:00
10,[0.6429814  0.3207588  0.03625982],positive,0.32222262,2021-03-11 13:40:19
11,[0.0125436 0.9488737 0.0385827],negative,-0.9363301,2021-03-11 11:59:37
12,[0.37467876 0.00931495 0.61600626],neutral,0.3653638,2021-03-09 15:51:28
13,[0.12929921 0.02892386 0.84177697],neutral,0.10037535,2021-03-08 03:03:00
14,[0.05902806 0.01480115 0.9261707 ],neutral,0.04422691,2021-03-04 08:36:00
15,[0.13484462 0.04610807 0.81904733],neutral,0.08873655,2021-03-04 06:06:00
16,[0.04941071 0.01734345 0.93324584],neutral,0.03206726,2021-03-03 05:31:49
17,[0.21076314 0.4726014  0.31663543],negative,-0.26183826,2021-03-02 15:49:33
18,[0.65523785 0.01061346 0.33414862],positive,0.6446244,2021-03-02 04:02:00
19,[0.07196541 0.3603648  0.5676698 ],neutral,-0.2883994,2021-03-01 11:51:16
20,[0.22533515 0.02500186 0.749663  ],neutral,0.2003333,2021-02-26 18:45:35
21,[0.00937187 0.97314936 0.01747873],negative,-0.9637775,2021-02-26 12:12:45
22,[0.0479476  0.03592634 0.9161261 ],neutral,0.012021266,2021-02-26 07:00:00
23,[0.03863207 0.03567822 0.92568976],neutral,0.0029538423,2021-02-24 16:01:46
24,[0.94934595 0.02172937 0.02892468],positive,0.9276166,2021-02-22 14:47:06
25,[0.6993445  0.23320049 0.06745496],positive,0.46614403,2021-02-19 08:14:36
26,[0.03561606 0.02704608 0.9373379 ],neutral,0.008569974,2021-02-18 16:01:42
27,[0.06771814 0.02631605 0.9059658 ],neutral,0.041402094,2021-02-14 07:45:00
