,logit,prediction,sentiment_score,Date
0,[0.08150573 0.01122299 0.9072712 ],neutral,0.07028274,2021-03-29 15:37:17
1,[0.8693412  0.01303725 0.11762158],positive,0.85630393,2021-03-29 13:23:55
2,[0.9220261  0.01212137 0.06585257],positive,0.9099047,2021-03-28 06:11:00
3,[0.838      0.13556735 0.02643261],positive,0.70243263,2021-03-25 18:56:20
4,[0.15184353 0.01215559 0.83600086],neutral,0.13968794,2021-03-23 15:57:38
5,[0.30288798 0.0125648  0.68454725],neutral,0.29032317,2021-03-22 17:11:19
6,[0.95157355 0.01533335 0.03309318],positive,0.9362402,2021-03-22 14:05:26
7,[0.14803706 0.01680533 0.83515763],neutral,0.13123173,2021-03-22 13:07:52
8,[0.87751395 0.00851053 0.11397542],positive,0.8690034,2021-03-22 11:39:41
9,[0.8589937  0.00730872 0.13369761],positive,0.851685,2021-03-22 02:56:08
10,[0.74264014 0.01391856 0.24344136],positive,0.72872156,2021-03-21 07:00:00
11,[0.7593559  0.009254   0.23139003],positive,0.7501019,2021-03-20 06:15:00
12,[0.2669458  0.69134295 0.04171124],negative,-0.42439714,2021-03-19 18:44:14
13,[0.1480992  0.01124787 0.8406529 ],neutral,0.13685133,2021-03-19 14:10:52
14,[0.08177241 0.01925873 0.89896894],neutral,0.06251368,2021-03-19 11:28:00
15,[0.12183424 0.30618265 0.5719831 ],neutral,-0.1843484,2021-03-18 09:40:34
16,[0.7394395  0.01003873 0.25052175],positive,0.72940075,2021-03-18 06:04:00
17,[0.698354   0.01090886 0.29073712],positive,0.68744516,2021-03-17 13:20:46
18,[0.7782598  0.00954342 0.21219681],positive,0.7687164,2021-03-17 08:22:46
19,[0.79592794 0.00630711 0.19776492],positive,0.7896208,2021-03-16 14:03:03
20,[0.02335522 0.84588224 0.13076252],negative,-0.822527,2021-03-16 02:30:43
21,[0.25952676 0.01297959 0.72749364],neutral,0.24654716,2021-03-15 15:29:14
22,[0.21672796 0.5270729  0.25619912],negative,-0.31034493,2021-03-15 15:23:27
23,[0.1307736  0.69919294 0.17003344],negative,-0.56841934,2021-03-15 11:14:20
24,[0.9051093  0.02909794 0.06579274],positive,0.8760114,2021-03-15 09:27:37
25,[0.8309093  0.01995821 0.14913248],positive,0.8109511,2021-03-15 09:27:35
26,[0.9116577  0.02743371 0.06090861],positive,0.884224,2021-03-15 09:27:33
27,[0.1304614  0.01378069 0.8557579 ],neutral,0.116680704,2021-03-14 07:39:00
28,[0.8719299  0.10119839 0.02687175],positive,0.7707315,2021-03-12 18:35:16
29,[0.25861558 0.64841354 0.09297088],negative,-0.38979796,2021-03-12 12:02:26
