,logit,prediction,sentiment_score,Date
0,[0.82869273 0.14254145 0.02876583],positive,0.68615127,2021-03-29 18:55:19
1,[0.642989   0.01937755 0.3376334 ],positive,0.62361145,2021-03-29 09:59:11
2,[0.8610582  0.00844467 0.13049716],positive,0.8526135,2021-03-29 09:50:23
3,[0.9416237  0.01881981 0.03955659],positive,0.9228039,2021-03-29 09:41:57
4,[0.89349234 0.05735952 0.04914824],positive,0.8361328,2021-03-29 09:20:00
5,[0.89002275 0.00862142 0.10135582],positive,0.88140136,2021-03-29 09:19:00
6,[0.9490576  0.02982623 0.02111609],positive,0.91923136,2021-03-29 06:00:00
7,[0.1358782  0.01901962 0.84510213],neutral,0.11685858,2021-03-29 05:51:00
8,[0.07857867 0.02145479 0.89996654],neutral,0.057123885,2021-03-27 17:02:10
9,[0.02251435 0.02663038 0.9508553 ],neutral,-0.0041160323,2021-03-26 14:20:00
10,[0.87218034 0.02531192 0.10250773],positive,0.8468684,2021-03-26 10:15:00
11,[0.12198103 0.27779207 0.6002269 ],neutral,-0.15581104,2021-03-26 07:46:42
12,[0.7889834  0.03243465 0.1785819 ],positive,0.75654876,2021-03-24 14:44:14
13,[0.9157233  0.01180264 0.07247397],positive,0.9039207,2021-03-24 10:56:42
14,[0.24149574 0.35254928 0.40595496],neutral,-0.11105354,2021-03-23 15:43:54
15,[0.15029888 0.01097189 0.8387292 ],neutral,0.13932699,2021-03-23 15:35:34
16,[0.42783374 0.04867084 0.52349544],neutral,0.3791629,2021-03-23 03:00:00
17,[0.79485923 0.17315097 0.03198978],positive,0.6217083,2021-03-22 18:55:16
18,[0.46754822 0.01150899 0.52094275],neutral,0.45603925,2021-03-22 09:50:26
19,[0.9236778  0.01126328 0.06505892],positive,0.9124145,2021-03-21 07:30:00
20,[0.04067691 0.02810267 0.9312205 ],neutral,0.012574233,2021-03-20 11:00:00
21,[0.38716874 0.02392896 0.5889023 ],neutral,0.36323977,2021-03-20 06:05:00
22,[0.3821893  0.02425172 0.59355897],neutral,0.35793757,2021-03-19 15:38:37
23,[0.6061227  0.0081829  0.38569444],positive,0.5979398,2021-03-19 09:39:21
24,[0.8796247  0.00812961 0.11224558],positive,0.8714951,2021-03-19 08:50:00
25,[0.03442298 0.0235051  0.9420719 ],neutral,0.010917885,2021-03-19 08:35:00
26,[0.01883151 0.05920075 0.9219677 ],neutral,-0.040369242,2021-03-19 04:55:25
27,[0.08649837 0.01389469 0.89960694],neutral,0.07260368,2021-03-18 13:33:25
28,[0.90162003 0.0082517  0.09012827],positive,0.8933683,2021-03-18 12:05:11
29,[0.92455465 0.01108268 0.06436265],positive,0.91347194,2021-03-18 07:54:00
30,[0.05655014 0.920298   0.0231519 ],negative,-0.86374784,2021-03-18 05:00:40
31,[0.07297704 0.02238774 0.9046352 ],neutral,0.0505893,2021-03-17 17:42:03
32,[0.87572294 0.00756354 0.11671349],positive,0.8681594,2021-03-17 09:31:21
33,[0.11402962 0.04068379 0.8452866 ],neutral,0.073345825,2021-03-17 02:26:25
34,[0.7645205  0.0104197  0.22505973],positive,0.7541008,2021-03-16 05:01:29
35,[0.27855128 0.02345929 0.6979894 ],neutral,0.255092,2021-03-15 19:19:33
36,[0.8312972  0.14038092 0.02832185],positive,0.6909163,2021-03-15 18:31:28
37,[0.1085808  0.83266693 0.05875225],negative,-0.72408617,2021-03-15 17:12:06
38,[0.7240829  0.0098032  0.26611388],positive,0.7142797,2021-03-15 12:29:24
39,[0.11254195 0.08185858 0.80559945],neutral,0.030683368,2021-03-15 12:00:00
40,[0.7945403  0.00791962 0.19754006],positive,0.7866207,2021-03-15 10:13:51
41,[0.9404824  0.02954145 0.0299762 ],positive,0.91094095,2021-03-15 09:58:39
42,[0.8300958  0.00916772 0.16073652],positive,0.8209281,2021-03-15 07:07:00
43,[0.13394336 0.01613059 0.84992605],neutral,0.11781277,2021-03-15 06:12:00
44,[0.7630817  0.11493999 0.12197821],positive,0.64814174,2021-03-14 16:28:16
45,[0.5870415  0.02393932 0.38901922],positive,0.5631022,2021-03-14 08:07:55
46,[0.9464115  0.01815992 0.03542866],positive,0.92825156,2021-03-13 14:34:01
47,[0.21086636 0.00997754 0.7791561 ],neutral,0.20088881,2021-03-12 16:32:00
48,[0.8973765  0.00686459 0.09575891],positive,0.8905119,2021-03-12 14:34:55
49,[0.7998414  0.00941229 0.19074629],positive,0.7904291,2021-03-12 14:29:41
50,[0.08146711 0.01491301 0.9036199 ],neutral,0.06655409,2021-03-12 12:46:40
51,[0.81289405 0.00716874 0.17993724],positive,0.8057253,2021-03-12 12:45:00
52,[0.53315204 0.04560122 0.42124674],positive,0.48755082,2021-03-12 12:32:53
53,[0.55223954 0.00827532 0.43948522],positive,0.5439642,2021-03-12 12:00:00
54,[0.20304056 0.01987864 0.77708083],neutral,0.18316191,2021-03-12 11:37:12
55,[0.08883626 0.01789469 0.893269  ],neutral,0.07094157,2021-03-12 11:28:17
56,[0.9409227  0.0134572  0.04562016],positive,0.9274655,2021-03-12 09:00:00
57,[0.9238775  0.0169989  0.05912367],positive,0.9068786,2021-03-12 08:47:04
58,[0.8855815  0.02282079 0.09159777],positive,0.8627607,2021-03-12 08:47:00
59,[0.61470336 0.07454686 0.31074983],positive,0.5401565,2021-03-10 13:22:32
60,[0.07690898 0.7303342  0.1927568 ],negative,-0.6534252,2021-03-10 13:21:13
61,[0.75346595 0.00751483 0.23901922],positive,0.7459511,2021-03-10 10:36:00
62,[0.80641145 0.00620354 0.18738501],positive,0.8002079,2021-03-10 09:06:13
63,[0.5702916  0.01434962 0.41535878],positive,0.55594194,2021-03-10 06:00:00
64,[0.8575889  0.11576928 0.02664178],positive,0.7418196,2021-03-09 18:57:37
65,[0.23608877 0.00778324 0.756128  ],neutral,0.22830553,2021-03-08 21:39:00
66,[0.04885297 0.01705554 0.9340915 ],neutral,0.03179743,2021-03-08 13:38:06
67,[0.931885   0.01684363 0.05127139],positive,0.9150414,2021-03-08 13:22:47
68,[0.6626007  0.09084558 0.24655373],positive,0.5717551,2021-03-08 08:15:41
69,[0.06210789 0.01787272 0.9200194 ],neutral,0.044235166,2021-03-07 15:00:00
70,[0.0200299  0.8710834  0.10888662],negative,-0.8510535,2021-03-05 17:45:00
71,[0.02702225 0.7524619  0.22051586],negative,-0.72543967,2021-03-05 17:15:31
72,[0.05142973 0.02012789 0.9284424 ],neutral,0.031301834,2021-03-05 17:11:00
73,[0.01147046 0.9346725  0.05385713],negative,-0.92320204,2021-03-05 16:49:00
74,[0.02521169 0.68221295 0.2925754 ],negative,-0.65700126,2021-03-05 16:36:00
75,[0.03914442 0.02077075 0.9400848 ],neutral,0.01837366,2021-03-05 09:30:00
76,[0.08885895 0.66268426 0.24845675],negative,-0.5738253,2021-03-05 08:02:50
77,[0.78050315 0.01006829 0.20942855],positive,0.77043486,2021-03-04 17:37:37
78,[0.04276409 0.01966779 0.9375682 ],neutral,0.0230963,2021-03-04 16:41:06
79,[0.00769156 0.9751899  0.01711858],negative,-0.96749836,2021-03-04 08:00:00
80,[0.8495125  0.12293012 0.02755729],positive,0.7265824,2021-03-03 18:56:16
81,[0.04665251 0.04403153 0.90931594],neutral,0.0026209839,2021-03-03 17:29:37
82,[0.04936224 0.04187176 0.908766  ],neutral,0.007490482,2021-03-03 15:59:48
83,[0.0530297  0.01639689 0.93057346],neutral,0.03663282,2021-03-03 14:32:04
84,[0.42559797 0.01045494 0.5639471 ],neutral,0.415143,2021-03-03 11:55:22
85,[0.9243965  0.01181213 0.06379139],positive,0.91258436,2021-03-03 10:18:00
86,[0.19793688 0.00964048 0.7924226 ],neutral,0.18829641,2021-03-02 12:08:57
87,[0.80551785 0.01733569 0.1771465 ],positive,0.78818214,2021-03-02 09:00:05
88,[0.01743985 0.95429945 0.0282607 ],negative,-0.9368596,2021-03-02 04:24:03
89,[0.73405117 0.00950474 0.25644413],positive,0.72454643,2021-03-01 14:11:23
90,[0.02206802 0.09583372 0.88209826],neutral,-0.0737657,2021-03-01 11:00:00
91,[0.22713304 0.03171828 0.74114865],neutral,0.19541475,2021-03-01 10:11:00
92,[0.8008841  0.01169315 0.18742271],positive,0.789191,2021-03-01 10:10:45
93,[0.02349279 0.02605616 0.9504511 ],neutral,-0.0025633723,2021-03-01 09:30:00
94,[0.6573258  0.20714247 0.13553174],positive,0.45018333,2021-03-01 09:27:38
95,[0.47509637 0.02506514 0.49983847],neutral,0.45003122,2021-02-27 09:45:00
96,[0.03480954 0.02202991 0.9431606 ],neutral,0.012779634,2021-02-26 13:48:11
97,[0.09769665 0.57219833 0.33010504],negative,-0.47450167,2021-02-26 13:16:37
98,[0.56196487 0.05986649 0.37816867],positive,0.5020984,2021-02-26 12:01:09
99,[0.77035004 0.00844495 0.221205  ],positive,0.7619051,2021-02-26 09:18:08
100,[0.94475    0.01777341 0.03747667],positive,0.9269766,2021-02-26 08:17:18
101,[0.44202334 0.48635408 0.07162251],negative,-0.044330746,2021-02-26 02:36:41
102,[0.693548   0.01069952 0.2957525 ],positive,0.6828485,2021-02-25 20:57:00
103,[0.09221657 0.0098061  0.89797735],neutral,0.08241047,2021-02-25 19:30:48
104,[0.04040275 0.038954   0.92064327],neutral,0.0014487468,2021-02-25 19:12:47
105,[0.10462688 0.04088708 0.8544861 ],neutral,0.06373981,2021-02-25 18:50:38
106,[0.5880844  0.01013647 0.40177903],positive,0.5779479,2021-02-25 18:34:59
107,[0.6498902  0.00947356 0.34063634],positive,0.6404166,2021-02-25 18:14:21
108,[0.7915092  0.0152777  0.19321305],positive,0.7762315,2021-02-25 17:01:00
109,[0.14544813 0.00939924 0.8451526 ],neutral,0.13604888,2021-02-25 16:54:56
110,[0.6624232  0.00817419 0.32940266],positive,0.654249,2021-02-25 16:34:31
111,[0.04174678 0.01261109 0.9456421 ],neutral,0.029135693,2021-02-25 16:15:00
112,[0.17168927 0.7937908  0.0345199 ],negative,-0.62210155,2021-02-25 12:17:57
113,[0.01052901 0.962356   0.02711493],negative,-0.95182693,2021-02-25 10:30:00
114,[0.02100133 0.03080857 0.94819003],neutral,-0.0098072365,2021-02-25 09:30:00
115,[0.07760866 0.00931561 0.9130757 ],neutral,0.06829305,2021-02-24 18:06:00
116,[0.74121356 0.01229528 0.2464911 ],positive,0.72891825,2021-02-24 17:23:00
117,[0.04212256 0.44574922 0.51212823],neutral,-0.40362665,2021-02-24 14:56:00
118,[0.05322115 0.6810884  0.26569048],negative,-0.6278672,2021-02-24 11:59:48
119,[0.93356377 0.01127244 0.05516385],positive,0.92229134,2021-02-24 09:06:50
120,[0.4103752  0.01583657 0.5737882 ],neutral,0.39453864,2021-02-23 21:44:00
121,[0.09920423 0.01049907 0.8902967 ],neutral,0.08870517,2021-02-23 20:42:00
122,[0.5967485  0.0102666  0.39298484],positive,0.58648187,2021-02-23 13:57:59
123,[0.11096331 0.05762791 0.8314088 ],neutral,0.05333541,2021-02-23 11:32:54
124,[0.17373988 0.0152613  0.81099886],neutral,0.15847857,2021-02-22 15:32:24
125,[0.03370279 0.01830798 0.9479892 ],neutral,0.015394811,2021-02-22 12:58:30
126,[0.7865326  0.11840767 0.09505973],positive,0.6681249,2021-02-21 13:15:34
127,[0.43159556 0.23661944 0.33178496],positive,0.19497612,2021-02-18 18:56:25
128,[0.74129605 0.0089797  0.24972427],positive,0.7323164,2021-02-17 17:30:43
129,[0.7803382  0.01638327 0.20327847],positive,0.76395494,2021-02-17 08:24:00
130,[0.07054177 0.01984961 0.9096086 ],neutral,0.05069216,2021-02-16 17:56:48
131,[0.817497   0.01172606 0.17077692],positive,0.80577093,2021-02-16 15:12:50
132,[0.78525937 0.0089118  0.20582883],positive,0.7763476,2021-02-16 13:49:23
133,[0.7555321  0.01610036 0.22836752],positive,0.73943174,2021-02-16 10:30:00
134,[0.20113628 0.01212597 0.7867377 ],neutral,0.1890103,2021-02-15 09:00:00
135,[0.7157838  0.02518126 0.259035  ],positive,0.69060254,2021-02-14 14:00:34
136,[0.30118313 0.01373951 0.68507737],neutral,0.2874436,2021-02-14 07:00:00
137,[0.61175543 0.01541221 0.3728324 ],positive,0.5963432,2021-02-14 05:55:00
138,[0.4632801  0.01722356 0.5194964 ],neutral,0.44605654,2021-02-13 07:20:00
139,[0.92748404 0.01167897 0.06083697],positive,0.91580504,2021-02-12 16:30:25
140,[0.21615253 0.01236607 0.7714814 ],neutral,0.20378646,2021-02-12 08:35:00
141,[0.11285929 0.0549543  0.8321864 ],neutral,0.057904992,2021-02-12 07:57:10
142,[0.6953754  0.00771631 0.29690832],positive,0.6876591,2021-02-11 10:17:12
143,[0.8307235  0.00821677 0.1610597 ],positive,0.8225067,2021-02-11 09:15:00
144,[0.89896446 0.05544606 0.04558946],positive,0.8435184,2021-02-11 04:33:33
145,[0.19878311 0.01618899 0.7850279 ],neutral,0.18259412,2021-02-10 09:50:03
146,[0.38349965 0.01290556 0.60359484],neutral,0.37059408,2021-02-09 18:47:05
147,[0.01510307 0.9345184  0.05037854],negative,-0.91941535,2021-02-09 11:43:35
148,[0.14450087 0.00982123 0.8456779 ],neutral,0.13467963,2021-02-09 08:30:12
149,[0.02300552 0.9564643  0.02053025],negative,-0.9334588,2021-02-08 12:42:35
150,[0.10201377 0.01111642 0.8868698 ],neutral,0.09089735,2021-02-07 12:00:00
151,[0.7536618  0.13822085 0.10811739],positive,0.61544096,2021-02-05 17:36:16
152,[0.707933   0.01400568 0.2780614 ],positive,0.69392735,2021-02-05 12:05:07
153,[0.04893355 0.9184677  0.03259871],negative,-0.86953413,2021-02-05 08:00:00
154,[0.95317215 0.0170383  0.02978956],positive,0.93613386,2021-02-04 14:29:13
155,[0.9487594  0.02248788 0.02875269],positive,0.9262715,2021-02-04 09:20:00
156,[0.04583099 0.01894647 0.93522257],neutral,0.026884519,2021-02-04 07:42:22
157,[0.07738513 0.3826512  0.53996366],neutral,-0.30526608,2021-02-03 07:05:00
158,[0.9283004  0.00921289 0.06248676],positive,0.91908747,2021-02-02 15:47:18
159,[0.4611468  0.02962241 0.5092308 ],neutral,0.4315244,2021-02-02 12:35:03
160,[0.08908008 0.01522528 0.8956946 ],neutral,0.073854804,2021-02-02 11:22:56
161,[0.01318149 0.9600601  0.02675842],negative,-0.9468786,2021-02-02 06:00:00
162,[0.93850684 0.03826865 0.02322448],positive,0.9002382,2021-02-01 15:57:13
163,[0.157624   0.0104745  0.83190143],neutral,0.1471495,2021-02-01 15:56:34
164,[0.16061553 0.01118728 0.8281972 ],neutral,0.14942825,2021-02-01 08:00:00
165,[0.14810172 0.24065621 0.61124206],neutral,-0.092554495,2021-01-31 09:35:00
166,[0.01387811 0.95566005 0.03046181],negative,-0.94178194,2021-01-31 07:30:00
167,[0.10913719 0.02849475 0.8623681 ],neutral,0.08064245,2021-01-30 06:06:00
168,[0.8610832  0.10806479 0.03085203],positive,0.75301844,2021-01-29 13:51:23
169,[0.63575834 0.00797578 0.35626587],positive,0.6277826,2021-01-29 11:26:00
170,[0.8730931  0.01818778 0.10871904],positive,0.85490537,2021-01-29 09:00:00
171,[0.02755219 0.936799   0.03564878],negative,-0.9092468,2021-01-28 09:52:32
172,[0.0505708  0.01635434 0.93307483],neutral,0.034216464,2021-01-28 09:15:00
173,[0.76044774 0.06507351 0.17447874],positive,0.69537425,2021-01-27 17:32:55
174,[0.04810099 0.06351013 0.8883888 ],neutral,-0.015409142,2021-01-27 15:32:17
175,[0.95703465 0.02108517 0.02188017],positive,0.93594944,2021-01-27 13:26:00
