,logit,prediction,sentiment_score,Date
0,[0.88457847 0.00803601 0.10738551],positive,0.87654245,2021-03-29 10:36:08
1,[0.74037015 0.0077984  0.25183144],positive,0.7325718,2021-03-24 08:00:00
2,[0.1826026  0.78338146 0.03401591],negative,-0.6007789,2021-03-18 11:59:52
3,[0.06512427 0.02179487 0.9130809 ],neutral,0.043329395,2021-03-12 14:19:52
4,[0.74273    0.01009643 0.24717359],positive,0.7326336,2021-03-12 11:43:05
5,[0.9041643  0.06645633 0.02937936],positive,0.837708,2021-03-05 18:59:08
6,[0.9143338  0.04095371 0.04471247],positive,0.8733801,2021-03-04 07:35:00
7,[0.05176926 0.01934439 0.92888635],neutral,0.032424867,2021-03-03 15:38:07
8,[0.06088788 0.02245793 0.9166542 ],neutral,0.038429953,2021-03-03 12:08:04
9,[0.9550687  0.02200939 0.02292191],positive,0.93305933,2021-03-03 05:30:00
10,[0.9010292  0.00893302 0.09003776],positive,0.8920962,2021-03-01 11:23:06
11,[0.03733175 0.913493   0.04917523],negative,-0.8761612,2021-02-26 07:00:09
12,[0.00796677 0.9666707  0.02536256],negative,-0.95870394,2021-02-25 10:38:37
13,[0.7653695  0.00869884 0.2259317 ],positive,0.75667065,2021-02-23 19:00:00
14,[0.3538767  0.01726854 0.62885475],neutral,0.33660817,2021-02-23 17:00:00
15,[0.7756251  0.00929977 0.2150751 ],positive,0.76632535,2021-02-22 09:23:59
16,[0.01398537 0.91072756 0.07528698],negative,-0.89674217,2021-02-04 19:25:18
17,[0.94072723 0.01638797 0.04288476],positive,0.9243393,2021-02-03 07:34:00
18,[0.28722793 0.00987307 0.702899  ],neutral,0.27735487,2021-02-01 19:17:46
19,[0.04128034 0.0415415  0.9171782 ],neutral,-0.00026116148,2021-02-01 13:09:07
20,[0.9449574  0.01249868 0.04254388],positive,0.9324587,2021-02-01 12:07:21
21,[0.7295244  0.06363501 0.2068407 ],positive,0.6658894,2021-02-01 08:20:15
22,[0.9560883  0.0215919  0.02231973],positive,0.9344964,2021-02-01 07:19:47
23,[0.39543414 0.07153732 0.53302854],neutral,0.32389683,2021-02-01 07:19:45
24,[0.9482235  0.02344267 0.02833385],positive,0.9247808,2021-02-01 06:17:22
25,[0.03734006 0.09025541 0.8724046 ],neutral,-0.052915353,2021-02-01 06:00:00
26,[0.4163113  0.02222572 0.561463  ],neutral,0.3940856,2021-01-30 06:30:00
27,[0.02358419 0.04595343 0.9304624 ],neutral,-0.022369243,2021-01-29 10:08:41
28,[0.9526295  0.02061243 0.02675796],positive,0.9320171,2021-01-29 09:46:32
29,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-01-26 13:46:33
30,[0.8575367  0.10857808 0.03388529],positive,0.7489586,2021-01-25 18:48:22
31,[0.92429966 0.00974359 0.06595676],positive,0.9145561,2021-01-25 12:02:12
32,[0.03996076 0.91948575 0.04055356],negative,-0.879525,2021-01-21 06:32:00
33,[0.9460526  0.02547573 0.02847165],positive,0.9205769,2021-01-19 08:22:03
34,[0.9190327  0.00732014 0.07364714],positive,0.9117125,2021-01-18 09:47:08
35,[0.90819514 0.0608072  0.03099761],positive,0.8473879,2021-01-15 18:48:05
36,[0.7919589  0.00761904 0.20042199],positive,0.7843399,2021-01-15 06:30:00
37,[0.51225346 0.01263027 0.47511625],positive,0.49962318,2021-01-14 15:00:27
38,[0.27901527 0.38651356 0.3344712 ],negative,-0.10749829,2021-01-14 07:08:00
39,[0.95846045 0.01916515 0.02237437],positive,0.9392953,2021-01-12 10:14:09
40,[0.08010487 0.01255038 0.90734476],neutral,0.067554496,2021-01-12 08:00:00
41,[0.05394544 0.02032849 0.9257261 ],neutral,0.033616945,2021-01-11 20:19:06
42,[0.9452729  0.0165182  0.03820883],positive,0.92875475,2021-01-08 12:54:20
43,[0.8924105  0.07578651 0.03180298],positive,0.816624,2021-01-06 18:48:21
44,[0.1965429  0.01374656 0.78971046],neutral,0.18279634,2021-01-05 14:36:32
45,[0.91524124 0.01494071 0.0698181 ],positive,0.9003005,2021-01-05 12:47:08
46,[0.86991656 0.10035262 0.02973077],positive,0.7695639,2020-12-31 18:48:15
47,[0.757703   0.00863285 0.23366418],positive,0.74907017,2020-12-31 08:00:00
48,[0.0501409 0.0181489 0.9317102],neutral,0.031992007,2020-12-30 16:05:00
49,[0.86680675 0.00827118 0.12492214],positive,0.8585356,2020-12-30 06:06:24
50,[0.4658903  0.4226768  0.11143294],positive,0.043213487,2020-12-23 18:49:16
51,[0.8192245  0.11609097 0.0646846 ],positive,0.7031335,2020-12-22 16:11:11
52,[0.87176496 0.09227425 0.03596085],positive,0.7794907,2020-12-17 18:48:14
53,[0.2601028  0.67929274 0.06060444],negative,-0.41918993,2020-12-17 16:24:56
54,[0.77899414 0.01179101 0.20921484],positive,0.76720315,2020-12-17 10:32:17
55,[0.9076421  0.0602471  0.03211072],positive,0.847395,2020-12-08 04:09:14
56,[0.7813705  0.0158447  0.20278472],positive,0.7655258,2020-12-06 09:06:09
57,[0.01897219 0.8954965  0.08553135],negative,-0.87652427,2020-12-04 06:52:00
58,[0.6900419  0.00934069 0.30061737],positive,0.6807012,2020-12-02 15:03:30
59,[0.9508067  0.01687711 0.03231619],positive,0.93392956,2020-12-01 11:10:00
60,[0.0720292  0.02790798 0.9000628 ],neutral,0.044121213,2020-11-21 10:06:45
61,[0.10538961 0.01687414 0.8777363 ],neutral,0.08851547,2020-11-20 16:05:00
62,[0.66708416 0.01721412 0.31570175],positive,0.64987004,2020-11-20 09:16:00
63,[0.6900419  0.00934069 0.30061737],positive,0.6807012,2020-11-18 15:48:26
64,[0.4362398  0.00917199 0.5545882 ],neutral,0.42706782,2020-11-18 08:03:37
65,[0.836948   0.00797401 0.15507808],positive,0.82897395,2020-11-15 12:33:16
66,[0.11061719 0.0217523  0.86763054],neutral,0.088864885,2020-11-06 11:43:34
67,[0.9036822  0.00992241 0.08639535],positive,0.8937598,2020-11-06 06:00:00
68,[0.12183943 0.01543185 0.8627287 ],neutral,0.10640758,2020-11-05 19:59:51
69,[0.04454466 0.03670043 0.9187549 ],neutral,0.007844225,2020-11-05 17:30:00
70,[0.6406858  0.01394125 0.34537295],positive,0.62674457,2020-11-04 09:15:29
71,[0.9359651  0.02416642 0.03986852],positive,0.9117987,2020-11-03 13:25:26
72,[0.09242634 0.0136435  0.89393014],neutral,0.07878284,2020-11-03 10:27:07
73,[0.24839143 0.01258925 0.7390193 ],neutral,0.23580219,2020-11-02 08:32:13
74,[0.7728513  0.00801487 0.21913384],positive,0.76483643,2020-10-28 06:27:30
