,logit,prediction,sentiment_score,Date
0,[0.03452345 0.11607841 0.8493981 ],neutral,-0.08155496,2021-03-29 20:40:00
1,[0.9219251  0.01340472 0.06467007],positive,0.9085204,2021-03-29 17:06:54
2,[0.18287157 0.6581198  0.15900871],negative,-0.47524822,2021-03-29 16:47:27
3,[0.0096837  0.96860313 0.02171311],negative,-0.9589194,2021-03-29 14:41:29
4,[0.1477956  0.7768377  0.07536668],negative,-0.6290421,2021-03-29 13:01:04
5,[0.16184622 0.0159636  0.8221902 ],neutral,0.14588262,2021-03-29 12:22:50
6,[0.11379323 0.01084473 0.8753621 ],neutral,0.10294851,2021-03-29 12:17:39
7,[0.0117527 0.9698645 0.0183828],negative,-0.95811176,2021-03-29 12:12:33
8,[0.23264064 0.0170203  0.7503391 ],neutral,0.21562034,2021-03-29 12:00:00
9,[0.13994358 0.6017848  0.2582716 ],negative,-0.46184123,2021-03-29 11:52:42
10,[0.06230038 0.01159614 0.9261035 ],neutral,0.05070424,2021-03-29 11:40:46
11,[0.01000053 0.96914345 0.02085594],negative,-0.9591429,2021-03-29 11:36:54
12,[0.06183872 0.04128831 0.89687294],neutral,0.020550407,2021-03-29 11:28:54
13,[0.06396656 0.01567044 0.920363  ],neutral,0.048296124,2021-03-29 11:19:00
14,[0.19686426 0.03173193 0.7714038 ],neutral,0.16513234,2021-03-29 05:45:00
15,[0.07730205 0.01245643 0.9102415 ],neutral,0.06484562,2021-03-29 05:04:23
16,[0.35897678 0.01087897 0.6301443 ],neutral,0.3480978,2021-03-28 10:15:01
17,[0.02579424 0.8653866  0.10881917],negative,-0.83959234,2021-03-28 07:30:00
18,[0.10535575 0.01774894 0.87689525],neutral,0.0876068,2021-03-27 14:22:54
19,[0.9112006  0.03310787 0.05569154],positive,0.8780927,2021-03-27 11:49:01
20,[0.07894374 0.03006814 0.89098805],neutral,0.048875604,2021-03-27 07:45:00
21,[0.9029516  0.04528878 0.05175968],positive,0.8576628,2021-03-27 07:30:00
22,[0.86553913 0.00813535 0.12632553],positive,0.85740376,2021-03-26 19:16:22
23,[0.00722456 0.9723647  0.02041081],negative,-0.96514016,2021-03-26 17:29:12
24,[0.6965758  0.01876008 0.28466403],positive,0.67781574,2021-03-26 17:27:15
25,[0.31420648 0.01140303 0.6743905 ],neutral,0.30280346,2021-03-26 16:02:13
26,[0.17326507 0.02326292 0.80347204],neutral,0.15000215,2021-03-26 14:46:16
27,[0.6387358  0.32735988 0.03390437],positive,0.3113759,2021-03-26 14:31:12
28,[0.04920954 0.02502847 0.925762  ],neutral,0.024181068,2021-03-26 11:19:54
