,logit,prediction,sentiment_score,Date
0,[0.9405043  0.02186318 0.03763255],positive,0.91864115,2021-03-29 12:10:03
1,[0.05214775 0.02144178 0.9264105 ],neutral,0.030705968,2021-03-28 22:39:18
2,[0.4418047  0.01270133 0.54549396],neutral,0.42910337,2021-03-26 11:48:41
3,[0.7773794  0.00907622 0.21354443],positive,0.76830316,2021-03-25 10:37:25
4,[0.9411573  0.02404924 0.03479349],positive,0.91710806,2021-03-24 15:17:50
5,[0.03746308 0.07458219 0.8879548 ],neutral,-0.037119113,2021-03-24 06:50:00
6,[0.8188654  0.1541438  0.02699085],positive,0.6647216,2021-03-23 18:56:08
7,[0.9114958  0.01342855 0.07507557],positive,0.89806724,2021-03-22 04:13:41
8,[0.46280468 0.09722964 0.43996567],positive,0.36557505,2021-03-17 06:36:00
9,[0.104681   0.85211235 0.04320666],negative,-0.74743134,2021-03-15 18:31:19
10,[0.95107156 0.01207272 0.03685579],positive,0.9389988,2021-03-15 08:00:00
11,[0.9515158  0.02207957 0.02640456],positive,0.9294362,2021-03-13 15:33:10
12,[0.6750084  0.01020483 0.31478667],positive,0.66480356,2021-03-12 14:48:03
13,[0.77909076 0.19214791 0.02876137],positive,0.58694285,2021-03-09 18:57:36
14,[0.02124638 0.03289251 0.94586116],neutral,-0.011646131,2021-03-09 02:43:46
15,[0.9474145  0.02646632 0.02611924],positive,0.9209482,2021-03-06 13:22:45
16,[0.9191714  0.03643025 0.04439841],positive,0.88274115,2021-03-04 07:30:00
17,[0.22314687 0.74244434 0.03440887],negative,-0.5192975,2021-03-03 18:56:14
18,[0.02156577 0.03355594 0.94487834],neutral,-0.0119901635,2021-03-01 10:30:00
19,[0.82844   0.0287272 0.1428327],positive,0.79971284,2021-02-28 07:20:10
20,[0.19651291 0.23199417 0.5714929 ],neutral,-0.03548126,2021-02-26 17:31:36
21,[0.04061679 0.01620405 0.94317913],neutral,0.024412734,2021-02-26 14:17:16
22,[0.22603483 0.72563    0.04833512],negative,-0.49959517,2021-02-25 18:58:27
23,[0.05299934 0.01392975 0.9330709 ],neutral,0.03906959,2021-02-25 10:50:17
24,[0.17444338 0.01116988 0.8143868 ],neutral,0.1632735,2021-02-25 07:39:16
25,[0.18971184 0.00822448 0.80206364],neutral,0.18148737,2021-02-24 06:50:00
26,[0.05025913 0.0432361  0.90650475],neutral,0.0070230328,2021-02-23 14:22:00
27,[0.07916575 0.02536574 0.89546853],neutral,0.05380001,2021-02-23 14:17:56
