,logit,prediction,sentiment_score,Date
0,[0.39309376 0.00812526 0.598781  ],neutral,0.38496852,2021-03-29 19:28:07
1,[0.33091953 0.00738235 0.66169816],neutral,0.32353717,2021-03-29 11:46:35
2,[0.28265464 0.00929294 0.70805246],neutral,0.2733617,2021-03-29 10:34:25
3,[0.69683737 0.00726715 0.2958954 ],positive,0.68957025,2021-03-29 05:00:00
4,[0.05593871 0.01851233 0.9255489 ],neutral,0.037426382,2021-03-28 12:57:30
5,[0.941365   0.01162875 0.04700628],positive,0.92973626,2021-03-28 07:31:30
6,[0.17075782 0.01194379 0.81729835],neutral,0.15881403,2021-03-27 10:35:00
7,[0.86502093 0.01152172 0.12345737],positive,0.85349923,2021-03-24 21:05:00
8,[0.02908796 0.91800374 0.05290829],negative,-0.8889158,2021-03-24 15:13:56
9,[0.9493644  0.01874171 0.03189389],positive,0.9306227,2021-03-24 14:55:00
10,[0.0208515  0.88278335 0.09636521],negative,-0.86193186,2021-03-24 06:04:00
11,[0.8150507  0.15991734 0.02503191],positive,0.65513337,2021-03-23 18:56:15
12,[0.27601537 0.00814152 0.71584314],neutral,0.26787385,2021-03-23 16:53:13
13,[0.30288798 0.01256481 0.68454725],neutral,0.29032317,2021-03-22 17:11:19
14,[0.95157355 0.01533334 0.03309316],positive,0.9362402,2021-03-22 14:05:26
15,[0.87751395 0.00851053 0.11397542],positive,0.8690034,2021-03-22 11:39:41
16,[0.8977961  0.03134113 0.07086275],positive,0.86645496,2021-03-21 20:42:55
17,[0.02233324 0.51659757 0.4610692 ],negative,-0.49426433,2021-03-19 20:13:48
18,[0.10923019 0.7526967  0.13807313],negative,-0.6434665,2021-03-19 18:55:00
19,[0.02948093 0.05735746 0.91316164],neutral,-0.027876528,2021-03-19 17:18:53
20,[0.05381032 0.07444337 0.8717463 ],neutral,-0.020633053,2021-03-19 17:04:41
21,[0.04252969 0.06359799 0.8938723 ],neutral,-0.021068305,2021-03-19 16:45:18
22,[0.08758214 0.025734   0.8866838 ],neutral,0.061848138,2021-03-19 16:42:52
23,[0.00972462 0.9706178  0.01965754],negative,-0.96089315,2021-03-19 15:10:48
24,[0.01251496 0.9666276  0.02085734],negative,-0.95411265,2021-03-19 14:28:19
25,[0.05032932 0.7824277  0.16724294],negative,-0.7320984,2021-03-19 14:00:13
26,[0.02664877 0.49326977 0.4800815 ],negative,-0.46662098,2021-03-19 13:55:05
27,[0.01689589 0.95174843 0.03135561],negative,-0.93485254,2021-03-19 13:44:13
28,[0.04734802 0.03013865 0.9225133 ],neutral,0.017209373,2021-03-19 13:13:00
29,[0.03881431 0.66295445 0.2982312 ],negative,-0.62414014,2021-03-19 12:04:39
30,[0.01235869 0.97021836 0.01742287],negative,-0.9578597,2021-03-19 11:35:30
31,[0.04802428 0.18996745 0.7620083 ],neutral,-0.14194317,2021-03-19 11:29:39
32,[0.0278697  0.47916198 0.49296832],neutral,-0.45129228,2021-03-19 10:50:00
33,[0.03974735 0.9030486  0.0572041 ],negative,-0.8633012,2021-03-19 07:02:00
34,[0.09632454 0.00890535 0.89477015],neutral,0.08741919,2021-03-18 16:35:10
35,[0.2855131  0.66965365 0.04483317],negative,-0.38414055,2021-03-17 18:56:12
36,[0.86172265 0.00686831 0.13140905],positive,0.85485435,2021-03-17 10:09:44
37,[0.46280473 0.09722964 0.43996567],positive,0.36557508,2021-03-17 06:36:00
38,[0.11216123 0.01125905 0.87657976],neutral,0.10090218,2021-03-16 18:01:54
39,[0.94823784 0.0214052  0.03035692],positive,0.9268326,2021-03-16 16:10:40
40,[0.6952886  0.01566262 0.28904885],positive,0.679626,2021-03-16 14:57:00
41,[0.26390505 0.6563875  0.07970741],negative,-0.39248246,2021-03-16 10:47:48
42,[0.67475367 0.0118316  0.31341466],positive,0.6629221,2021-03-15 17:30:00
43,[0.1307736  0.69919294 0.17003344],negative,-0.56841934,2021-03-15 11:14:20
44,[0.3009796  0.05191777 0.6471026 ],neutral,0.24906185,2021-03-12 15:32:28
45,[0.86076486 0.1126978  0.02653726],positive,0.7480671,2021-03-11 18:56:19
46,[0.02102785 0.9683008  0.01067131],negative,-0.94727296,2021-03-11 15:09:02
47,[0.07641716 0.0133926  0.9101902 ],neutral,0.063024566,2021-03-10 18:45:38
48,[0.93937075 0.02728488 0.03334437],positive,0.9120859,2021-03-10 16:44:27
49,[0.08968507 0.43728998 0.47302493],neutral,-0.3476049,2021-03-10 10:18:50
50,[0.73047143 0.007699   0.26182958],positive,0.7227724,2021-03-10 07:38:19
51,[0.37467876 0.00931495 0.61600626],neutral,0.3653638,2021-03-09 15:51:28
52,[0.83445233 0.01904557 0.14650214],positive,0.81540674,2021-03-08 15:58:00
53,[0.8411606  0.13187581 0.02696363],positive,0.7092848,2021-03-05 18:59:12
54,[0.0760334 0.0131668 0.9107998],neutral,0.0628666,2021-03-04 15:37:21
55,[0.06070124 0.01429432 0.9250044 ],neutral,0.04640692,2021-03-04 07:00:00
56,[0.13484462 0.04610806 0.81904733],neutral,0.088736564,2021-03-04 06:06:00
57,[0.84652746 0.00854907 0.14492346],positive,0.83797836,2021-03-03 07:00:00
58,[0.6514541  0.01296892 0.33557704],positive,0.6384852,2021-03-02 10:37:06
59,[0.03613911 0.93556195 0.0282989 ],negative,-0.8994228,2021-03-02 05:01:13
60,[0.07778035 0.0128262  0.9093934 ],neutral,0.064954154,2021-03-01 17:14:00
61,[0.03513751 0.03827247 0.9265901 ],neutral,-0.0031349622,2021-03-01 15:50:03
62,[0.05056685 0.01604369 0.9333894 ],neutral,0.03452316,2021-03-01 15:17:03
63,[0.85979754 0.00778817 0.13241433],positive,0.85200936,2021-03-01 04:00:00
64,[0.14165223 0.01054455 0.84780324],neutral,0.13110767,2021-02-26 11:26:39
65,[0.94727886 0.01598626 0.03673484],positive,0.9312926,2021-02-26 07:15:00
66,[0.26254037 0.70136344 0.03609609],negative,-0.43882307,2021-02-24 15:42:51
67,[0.05692182 0.02585211 0.917226  ],neutral,0.031069715,2021-02-23 17:30:12
68,[0.07916574 0.02536574 0.89546853],neutral,0.0538,2021-02-23 14:17:56
69,[0.91616696 0.0141554  0.06967757],positive,0.9020116,2021-02-23 08:34:00
70,[0.697545   0.01174487 0.29071006],positive,0.68580014,2021-02-23 08:00:00
71,[0.06712422 0.24423653 0.6886392 ],neutral,-0.17711231,2021-02-23 05:01:03
72,[0.05674428 0.04100776 0.90224797],neutral,0.01573652,2021-02-22 14:23:01
73,[0.89548737 0.01180328 0.09270933],positive,0.8836841,2021-02-19 12:00:00
74,[0.8387381  0.00635649 0.15490542],positive,0.8323816,2021-02-19 10:35:49
75,[0.8389629  0.00757296 0.15346417],positive,0.83138996,2021-02-18 17:28:45
76,[0.54958856 0.01028312 0.4401283 ],positive,0.53930545,2021-02-18 07:00:00
77,[0.027031   0.02224945 0.95071954],neutral,0.004781559,2021-02-16 16:05:00
78,[0.06097731 0.01650832 0.9225144 ],neutral,0.044468984,2021-02-16 06:30:00
79,[0.32699668 0.0402228  0.6327805 ],neutral,0.2867739,2021-02-16 01:31:22
80,[0.89959353 0.02130428 0.07910216],positive,0.8782892,2021-02-12 17:47:00
81,[0.87276965 0.00839183 0.11883849],positive,0.8643778,2021-02-11 09:15:51
82,[0.7467232  0.01470586 0.23857102],positive,0.73201734,2021-02-09 09:06:23
83,[0.05425972 0.0348385  0.9109017 ],neutral,0.01942122,2021-02-08 11:00:00
84,[0.9406036  0.00870411 0.05069226],positive,0.9318995,2021-02-07 15:46:37
85,[0.5751229 0.0154024 0.4094747],positive,0.5597205,2021-02-05 06:06:00
86,[0.8974642  0.01179611 0.09073975],positive,0.8856681,2021-02-04 09:13:11
87,[0.02416312 0.03003758 0.9457993 ],neutral,-0.0058744587,2021-02-04 06:07:55
88,[0.8098549  0.00601282 0.1841322 ],positive,0.8038421,2021-02-03 20:37:02
89,[0.089348   0.00922858 0.9014234 ],neutral,0.08011942,2021-02-03 15:42:43
90,[0.01795574 0.7957422  0.18630202],negative,-0.7777865,2021-02-03 14:27:08
91,[0.8149186  0.00630044 0.178781  ],positive,0.8086181,2021-02-03 07:00:00
92,[0.9357087  0.00906852 0.05522278],positive,0.92664015,2021-02-02 15:28:05
93,[0.5298551  0.26546326 0.2046817 ],positive,0.2643918,2021-02-02 10:47:07
94,[0.02075082 0.03639683 0.9428523 ],neutral,-0.015646012,2021-02-02 09:00:00
95,[0.03264052 0.61353886 0.35382065],negative,-0.58089834,2021-02-02 07:00:00
96,[0.75798345 0.00896978 0.23304677],positive,0.74901366,2021-02-01 16:14:28
97,[0.02888376 0.01983129 0.951285  ],neutral,0.009052468,2021-02-01 16:05:00
98,[0.87360704 0.01588439 0.11050855],positive,0.85772264,2021-01-29 12:32:18
99,[0.94302756 0.04051165 0.01646088],positive,0.9025159,2021-01-29 11:17:31
100,[0.7788539  0.19460084 0.02654526],positive,0.5842531,2021-01-29 03:35:35
101,[0.02876311 0.06595404 0.90528286],neutral,-0.03719093,2021-01-28 22:34:03
102,[0.0121269  0.97162014 0.01625298],negative,-0.9594932,2021-01-28 22:29:09
103,[0.9443704  0.03771511 0.01791454],positive,0.90665525,2021-01-28 21:15:46
104,[0.8703416  0.0207127  0.10894568],positive,0.8496289,2021-01-28 18:48:49
105,[0.09499953 0.0161181  0.8888824 ],neutral,0.07888143,2021-01-28 18:13:03
106,[0.6435084  0.09299493 0.2634967 ],positive,0.55051345,2021-01-28 18:03:04
107,[0.9528443  0.0222205  0.02493518],positive,0.9306238,2021-01-28 17:38:00
108,[0.00801517 0.97611    0.01587487],negative,-0.9680948,2021-01-28 16:09:00
109,[0.06542303 0.01396431 0.9206127 ],neutral,0.05145872,2021-01-28 14:40:55
110,[0.25703597 0.01025275 0.7327113 ],neutral,0.24678323,2021-01-28 04:01:21
111,[0.5355525  0.09744295 0.36700457],positive,0.43810955,2021-01-27 12:20:09
112,[0.01775141 0.941247   0.04100154],negative,-0.9234956,2021-01-27 10:44:22
113,[0.95525837 0.02173752 0.02300418],positive,0.93352085,2021-01-27 09:47:26
114,[0.01706666 0.9515214  0.0314119 ],negative,-0.93445474,2021-01-27 09:06:37
115,[0.86199546 0.00650589 0.1314986 ],positive,0.85548955,2021-01-27 00:01:00
116,[0.06861582 0.02259842 0.90878576],neutral,0.04601741,2021-01-26 13:46:33
117,[0.20980114 0.01005997 0.7801389 ],neutral,0.19974117,2021-01-26 08:47:57
118,[0.958494   0.02170172 0.0198044 ],positive,0.9367923,2021-01-25 13:32:13
119,[0.3907907  0.01572957 0.59347975],neutral,0.37506112,2021-01-25 09:00:00
120,[0.93778723 0.02943134 0.03278149],positive,0.9083559,2021-01-24 15:03:42
121,[0.89407533 0.01068119 0.09524346],positive,0.8833941,2021-01-22 11:58:58
122,[0.02777013 0.78258115 0.18964876],negative,-0.75481105,2021-01-22 11:49:00
123,[0.8073138  0.00704364 0.18564254],positive,0.80027014,2021-01-20 10:16:09
124,[0.77363235 0.19388683 0.03248079],positive,0.57974553,2021-01-19 03:54:59
125,[0.9350313  0.01343451 0.05153425],positive,0.92159677,2021-01-19 01:59:54
126,[0.41966245 0.00868916 0.5716484 ],neutral,0.41097328,2021-01-18 05:51:00
127,[0.02979228 0.0394014  0.93080634],neutral,-0.009609127,2021-01-15 11:19:22
128,[0.6714804  0.0094044  0.31911525],positive,0.662076,2021-01-15 10:34:09
129,[0.5227914  0.01250761 0.46470103],positive,0.51028377,2021-01-15 08:31:46
130,[0.0116085  0.96882933 0.01956217],negative,-0.95722085,2021-01-15 07:47:54
131,[0.12991005 0.0141729  0.8559171 ],neutral,0.11573715,2021-01-15 06:05:00
132,[0.6750949  0.2950786  0.02982648],positive,0.3800163,2021-01-15 05:01:17
133,[0.03117478 0.01767729 0.9511479 ],neutral,0.013497489,2021-01-14 16:05:00
134,[0.34309354 0.02104444 0.63586205],neutral,0.3220491,2021-01-14 12:47:28
135,[0.9226936  0.00996467 0.06734169],positive,0.91272897,2021-01-14 11:17:11
136,[0.10218157 0.15269342 0.745125  ],neutral,-0.050511852,2021-01-14 11:08:40
137,[0.08212883 0.02053592 0.8973353 ],neutral,0.061592914,2021-01-14 10:39:28
138,[0.07166585 0.01504063 0.9132935 ],neutral,0.05662521,2021-01-13 15:02:24
139,[0.04610645 0.21094808 0.7429455 ],neutral,-0.16484162,2021-01-13 14:13:00
140,[0.23515317 0.01383131 0.75101554],neutral,0.22132185,2021-01-13 14:01:00
141,[0.4370219  0.00972838 0.5532497 ],neutral,0.42729354,2021-01-13 13:19:16
142,[0.0098103  0.9580443  0.03214538],negative,-0.948234,2021-01-13 12:47:29
143,[0.80315685 0.173615   0.02322807],positive,0.6295419,2021-01-13 11:05:02
144,[0.9478577  0.02647218 0.0256701 ],positive,0.9213855,2021-01-13 10:25:57
145,[0.7272955  0.00844913 0.2642554 ],positive,0.7188464,2021-01-13 07:00:00
146,[0.02797716 0.89490616 0.07711671],negative,-0.866929,2021-01-13 00:21:59
147,[0.01049561 0.93003607 0.05946837],negative,-0.91954046,2021-01-12 23:27:00
148,[0.01038671 0.95450574 0.03510756],negative,-0.94411904,2021-01-12 18:27:37
149,[0.05450428 0.45772693 0.4877688 ],neutral,-0.40322265,2021-01-12 18:20:21
150,[0.05093826 0.7263312  0.22273053],negative,-0.6753929,2021-01-12 18:20:05
151,[0.02240103 0.75089556 0.22670345],negative,-0.7284945,2021-01-12 17:22:01
152,[0.02556149 0.87038094 0.10405754],negative,-0.8448194,2021-01-12 17:07:27
153,[0.9019129  0.02451001 0.07357717],positive,0.8774029,2021-01-12 17:05:02
154,[0.07948641 0.701022   0.21949145],negative,-0.6215356,2021-01-12 17:03:01
155,[0.07883612 0.70985067 0.21131319],negative,-0.6310145,2021-01-12 16:35:07
156,[0.01166094 0.9248729  0.06346618],negative,-0.91321194,2021-01-12 16:32:00
157,[0.83951557 0.01260925 0.1478752 ],positive,0.8269063,2021-01-12 16:11:00
158,[0.00979135 0.922596   0.06761269],negative,-0.9128046,2021-01-12 11:53:00
159,[0.02853286 0.02400474 0.94746244],neutral,0.00452812,2021-01-11 16:00:00
160,[0.06887377 0.01139289 0.91973335],neutral,0.05748088,2021-01-11 07:25:45
161,[0.79538536 0.03374251 0.17087206],positive,0.7616429,2021-01-08 10:44:00
162,[0.7261405  0.02894855 0.24491094],positive,0.69719195,2021-01-07 15:58:34
163,[0.9250011  0.0110508  0.06394811],positive,0.91395026,2021-01-06 13:32:08
164,[0.08279051 0.8995237  0.01768585],negative,-0.8167332,2021-01-05 19:43:11
165,[0.6087673  0.02893089 0.36230183],positive,0.57983637,2021-01-05 08:17:04
166,[0.09988118 0.01155406 0.8885648 ],neutral,0.08832712,2021-01-05 05:51:00
167,[0.790933   0.00746466 0.20160232],positive,0.78346837,2021-01-04 06:06:00
168,[0.18552297 0.01102349 0.80345356],neutral,0.17449948,2020-12-31 20:06:29
169,[0.9002387  0.00775851 0.09200278],positive,0.8924802,2020-12-31 12:02:15
170,[0.11730439 0.17305717 0.7096385 ],neutral,-0.055752777,2020-12-31 06:33:00
171,[0.8487726  0.12435629 0.0268711 ],positive,0.7244163,2020-12-30 18:48:17
172,[0.33958656 0.01161676 0.64879674],neutral,0.3279698,2020-12-30 16:00:43
173,[0.94570184 0.01201998 0.04227819],positive,0.93368185,2020-12-30 11:17:08
174,[0.1532247  0.04222263 0.8045527 ],neutral,0.11100208,2020-12-30 05:51:00
175,[0.7744466  0.026815   0.19873846],positive,0.7476316,2020-12-29 15:36:51
176,[0.93275684 0.02751095 0.03973211],positive,0.9052459,2020-12-29 08:39:19
177,[0.8642171  0.00973695 0.12604588],positive,0.85448015,2020-12-29 08:19:32
178,[0.9518895  0.01251175 0.03559875],positive,0.9393778,2020-12-28 10:10:33
179,[0.9311451  0.01834391 0.05051097],positive,0.91280115,2020-12-28 06:30:53
180,[0.8062572  0.0108954  0.18284735],positive,0.7953618,2020-12-27 06:06:00
181,[0.05462958 0.3261074  0.619263  ],neutral,-0.27147782,2020-12-26 08:06:00
182,[0.04920331 0.05889874 0.891898  ],neutral,-0.009695426,2020-12-25 14:15:39
183,[0.16585177 0.02536562 0.8087826 ],neutral,0.14048615,2020-12-24 10:26:15
184,[0.07418068 0.05174256 0.8740767 ],neutral,0.022438128,2020-12-23 21:30:37
185,[0.88207525 0.09377591 0.02414875],positive,0.7882993,2020-12-23 18:49:16
186,[0.14102973 0.00841043 0.85055983],neutral,0.1326193,2020-12-23 17:34:00
187,[0.01290217 0.7674958  0.21960196],negative,-0.7545937,2020-12-23 13:48:00
188,[0.5332783  0.01239801 0.4543237 ],positive,0.5208803,2020-12-22 09:06:46
