,logit,prediction,sentiment_score,Date
0,[0.86619776 0.10421456 0.0295877 ],positive,0.7619832,2021-03-29 18:55:22
1,[0.04856584 0.01724763 0.9341865 ],neutral,0.031318206,2021-03-29 09:21:02
2,[0.1358782  0.01901962 0.84510213],neutral,0.11685858,2021-03-29 05:51:00
3,[0.02579424 0.8653866  0.10881913],negative,-0.83959234,2021-03-28 07:30:00
4,[0.03083655 0.07299419 0.8961692 ],neutral,-0.04215764,2021-03-25 10:30:00
5,[0.08405834 0.01188001 0.9040616 ],neutral,0.07217833,2021-03-24 17:03:00
6,[0.7889834  0.03243464 0.1785819 ],positive,0.75654876,2021-03-24 14:44:14
7,[0.11461755 0.7639015  0.12148102],negative,-0.64928395,2021-03-24 12:34:26
8,[0.04364237 0.02398542 0.9323722 ],neutral,0.019656947,2021-03-23 12:00:00
9,[0.83096397 0.00748699 0.16154908],positive,0.82347697,2021-03-23 11:12:42
10,[0.08711164 0.02879902 0.8840893 ],neutral,0.058312617,2021-03-23 09:30:00
11,[0.8141685  0.15703245 0.02879898],positive,0.6571361,2021-03-22 18:55:12
12,[0.30288798 0.0125648  0.68454725],neutral,0.29032317,2021-03-22 17:11:19
13,[0.05480304 0.02812579 0.9170712 ],neutral,0.026677243,2021-03-20 09:00:00
14,[0.8796247  0.00812961 0.11224558],positive,0.8714951,2021-03-19 08:50:00
15,[0.03910548 0.02410016 0.9367944 ],neutral,0.01500532,2021-03-19 07:03:00
16,[0.01883151 0.05920075 0.9219677 ],neutral,-0.040369242,2021-03-19 04:55:25
17,[0.77825755 0.00757449 0.21416798],positive,0.77068305,2021-03-18 16:02:26
18,[0.43507835 0.03646142 0.52846026],neutral,0.39861694,2021-03-18 08:15:00
19,[0.03917617 0.02085241 0.93997145],neutral,0.018323759,2021-03-17 13:50:00
20,[0.87572294 0.00756354 0.11671349],positive,0.8681594,2021-03-17 09:31:21
21,[0.11402962 0.04068379 0.8452866 ],neutral,0.073345825,2021-03-17 02:26:25
22,[0.2974154  0.6665756  0.03600898],negative,-0.3691602,2021-03-15 18:31:24
23,[0.9404824  0.02954145 0.0299762 ],positive,0.91094095,2021-03-15 09:58:39
24,[0.89566755 0.00935515 0.09497735],positive,0.8863124,2021-03-15 08:39:00
25,[0.20304056 0.01987864 0.77708083],neutral,0.18316191,2021-03-12 11:37:12
26,[0.04356113 0.03931379 0.91712517],neutral,0.004247345,2021-03-12 05:51:00
27,[0.1793167  0.02812825 0.79255503],neutral,0.15118845,2021-03-12 05:01:15
28,[0.23195903 0.03300935 0.7350316 ],neutral,0.19894968,2021-03-11 14:19:45
29,[0.7215432  0.01073756 0.26771927],positive,0.71080565,2021-03-11 13:45:00
30,[0.94827175 0.01781656 0.03391166],positive,0.9304552,2021-03-11 13:42:00
31,[0.11255642 0.00889222 0.87855136],neutral,0.103664204,2021-03-11 12:03:24
32,[0.06837231 0.01469211 0.91693556],neutral,0.053680196,2021-03-11 10:28:10
33,[0.1553845  0.00996753 0.834648  ],neutral,0.14541696,2021-03-11 09:29:19
34,[0.33649614 0.01184413 0.6516597 ],neutral,0.32465202,2021-03-11 06:50:04
35,[0.86391145 0.00742305 0.12866543],positive,0.8564884,2021-03-10 09:07:00
36,[0.5702916  0.01434962 0.41535878],positive,0.55594194,2021-03-10 06:00:00
37,[0.04795102 0.60098416 0.35106486],negative,-0.5530331,2021-03-10 05:01:14
38,[0.20095216 0.00830795 0.79073983],neutral,0.19264421,2021-03-09 14:11:56
39,[0.3165587  0.06052693 0.62291443],neutral,0.25603175,2021-03-09 06:09:00
40,[0.88149685 0.08865599 0.02984712],positive,0.79284084,2021-03-08 18:27:16
41,[0.5441311  0.00887692 0.44699198],positive,0.5352542,2021-03-08 10:00:00
42,[0.19793698 0.01261535 0.78944767],neutral,0.18532163,2021-03-08 06:37:00
43,[0.06210791 0.01787272 0.9200194 ],neutral,0.044235192,2021-03-07 15:00:00
44,[0.23100236 0.01023994 0.7587577 ],neutral,0.22076243,2021-03-05 15:08:15
45,[0.2445181  0.00993595 0.74554586],neutral,0.23458216,2021-03-05 09:00:00
46,[0.7805032  0.01006829 0.20942855],positive,0.7704349,2021-03-04 17:37:37
47,[0.8602873  0.02118221 0.1185305 ],positive,0.83910507,2021-03-04 15:11:02
48,[0.45569474 0.01235599 0.5319493 ],neutral,0.44333875,2021-03-04 10:39:16
49,[0.3267116  0.03424841 0.63904   ],neutral,0.29246318,2021-03-04 10:11:59
50,[0.83285284 0.00739456 0.15975256],positive,0.8254583,2021-03-04 09:30:00
51,[0.09107596 0.0178868  0.8910373 ],neutral,0.073189154,2021-03-03 16:17:59
52,[0.42559797 0.01045494 0.5639471 ],neutral,0.415143,2021-03-03 11:55:22
53,[0.08658826 0.03419147 0.87922025],neutral,0.052396797,2021-03-03 08:46:00
54,[0.8804386  0.01997957 0.09958178],positive,0.860459,2021-03-03 07:11:00
55,[0.7263153  0.00780895 0.26587567],positive,0.7185064,2021-03-02 12:30:00
56,[0.34416565 0.61958486 0.03624944],negative,-0.2754192,2021-03-01 18:57:14
57,[0.07196541 0.3603648  0.5676698 ],neutral,-0.2883994,2021-03-01 11:51:16
58,[0.47664326 0.01320979 0.510147  ],neutral,0.46343347,2021-03-01 08:40:00
59,[0.11783713 0.03086083 0.8513021 ],neutral,0.086976305,2021-03-01 06:45:00
60,[0.03803763 0.18619499 0.7757674 ],neutral,-0.14815736,2021-03-01 06:33:00
61,[0.5662459  0.01745627 0.41629782],positive,0.5487896,2021-02-27 07:45:00
62,[0.03481011 0.02289149 0.9422984 ],neutral,0.011918625,2021-02-26 11:55:53
63,[0.8493058  0.00918748 0.14150666],positive,0.84011835,2021-02-26 10:00:00
