,logit,prediction,sentiment_score,Date
0,[0.3705496  0.02115339 0.608297  ],neutral,0.3493962,2021-03-29 17:24:02
1,[0.32951647 0.0204215  0.65006196],neutral,0.30909497,2021-03-29 13:45:11
2,[0.26419902 0.01779339 0.7180076 ],neutral,0.24640563,2021-03-29 13:27:08
3,[0.12658343 0.06725808 0.8061585 ],neutral,0.059325345,2021-03-29 11:30:31
4,[0.10558534 0.02216545 0.8722492 ],neutral,0.08341989,2021-03-29 09:33:48
5,[0.74657464 0.01533464 0.23809074],positive,0.73124,2021-03-29 09:15:04
6,[0.6457449  0.01201264 0.34224248],positive,0.63373226,2021-03-28 06:21:00
7,[0.13475382 0.01483579 0.8504104 ],neutral,0.11991803,2021-03-27 07:52:00
8,[0.72357446 0.00974431 0.2666812 ],positive,0.7138302,2021-03-26 07:45:00
9,[0.8571805  0.01939093 0.12342859],positive,0.83778954,2021-03-26 07:22:00
10,[0.05824668 0.02301118 0.9187421 ],neutral,0.035235494,2021-03-25 07:30:00
11,[0.22365792 0.71655273 0.05978934],negative,-0.49289483,2021-03-25 07:06:00
12,[0.81165916 0.15717122 0.03116964],positive,0.65448797,2021-03-24 18:17:04
13,[0.85815907 0.00849373 0.13334718],positive,0.84966534,2021-03-24 12:30:00
14,[0.08737929 0.11366736 0.7989533 ],neutral,-0.02628807,2021-03-23 19:41:02
15,[0.6588156  0.03318781 0.3079965 ],positive,0.6256278,2021-03-23 19:24:50
16,[0.06313549 0.03030621 0.90655833],neutral,0.032829277,2021-03-23 19:13:16
17,[0.03814626 0.01355753 0.9482962 ],neutral,0.02458873,2021-03-23 09:30:00
18,[0.05131197 0.92783284 0.02085525],negative,-0.8765209,2021-03-23 05:25:01
19,[0.03781306 0.02744634 0.9347406 ],neutral,0.010366721,2021-03-22 12:08:44
20,[0.02922767 0.06164765 0.9091247 ],neutral,-0.03241998,2021-03-22 10:06:00
21,[0.01735452 0.9608051  0.02184036],negative,-0.94345057,2021-03-22 06:17:00
22,[0.02775711 0.05721147 0.9150314 ],neutral,-0.029454358,2021-03-21 22:44:00
23,[0.07945368 0.08638327 0.83416307],neutral,-0.0069295913,2021-03-21 14:00:00
24,[0.94150954 0.03973403 0.01875648],positive,0.90177554,2021-03-21 12:24:31
25,[0.04761598 0.01573628 0.9366478 ],neutral,0.031879704,2021-03-21 11:37:00
26,[0.22339542 0.0105659  0.7660387 ],neutral,0.21282953,2021-03-20 08:32:19
27,[0.5135946  0.01411235 0.47229296],positive,0.49948227,2021-03-20 07:00:00
28,[0.02637574 0.08267118 0.89095306],neutral,-0.056295436,2021-03-19 18:15:00
29,[0.07233914 0.01241856 0.91524225],neutral,0.059920583,2021-03-19 10:00:00
30,[0.9094362  0.04672689 0.04383685],positive,0.86270934,2021-03-19 08:05:04
31,[0.47915593 0.45021173 0.07063232],positive,0.028944194,2021-03-19 07:00:00
