,logit,prediction,sentiment_score,Date
0,[0.8730585  0.09592222 0.03101926],positive,0.77713627,2021-03-29 18:55:26
1,[0.94693434 0.0212463  0.03181934],positive,0.925688,2021-03-29 16:05:37
2,[0.9352815  0.01893994 0.04577855],positive,0.9163416,2021-03-29 10:38:29
3,[0.8552318  0.05795448 0.08681374],positive,0.79727733,2021-03-29 10:11:53
4,[0.04759346 0.01567537 0.9367311 ],neutral,0.03191809,2021-03-29 10:04:00
5,[0.6429891  0.01937756 0.33763337],positive,0.62361157,2021-03-29 09:59:11
6,[0.1358782  0.01901962 0.8451022 ],neutral,0.11685859,2021-03-29 05:51:00
7,[0.00940818 0.9678275  0.02276428],negative,-0.9584193,2021-03-29 01:09:00
8,[0.253302   0.013808   0.73288995],neutral,0.23949401,2021-03-28 09:49:00
9,[0.01384985 0.9307336  0.05541661],negative,-0.91688377,2021-03-26 10:52:25
10,[0.10297214 0.06895138 0.8280764 ],neutral,0.034020767,2021-03-25 17:29:30
11,[0.0185092  0.8999431  0.08154772],negative,-0.8814339,2021-03-25 11:54:51
12,[0.04779813 0.01568999 0.9365118 ],neutral,0.032108143,2021-03-25 10:17:00
13,[0.879516   0.0966792  0.02380485],positive,0.7828368,2021-03-25 01:31:17
14,[0.03204885 0.20292279 0.76502836],neutral,-0.17087394,2021-03-24 12:21:00
15,[0.86023    0.00916839 0.13060157],positive,0.85106164,2021-03-24 10:42:26
16,[0.04331301 0.01586567 0.94082135],neutral,0.027447341,2021-03-24 10:09:00
17,[0.8952258  0.07546676 0.02930748],positive,0.8197591,2021-03-23 18:56:11
18,[0.04308734 0.01598437 0.9409283 ],neutral,0.027102971,2021-03-23 09:30:00
19,[0.01170289 0.96929896 0.01899818],negative,-0.95759606,2021-03-23 08:55:32
20,[0.47125372 0.02076866 0.50797766],neutral,0.45048508,2021-03-23 08:17:00
21,[0.10163183 0.71408564 0.18428251],negative,-0.6124538,2021-03-22 15:40:31
22,[0.8265878  0.02819106 0.14522117],positive,0.7983967,2021-03-22 13:06:53
23,[0.03597607 0.56515276 0.3988711 ],negative,-0.5291767,2021-03-22 12:20:00
24,[0.41046503 0.02275942 0.56677556],neutral,0.38770562,2021-03-22 11:18:00
25,[0.720795   0.12033565 0.15886937],positive,0.60045934,2021-03-22 10:35:27
26,[0.02623145 0.22603679 0.74773175],neutral,-0.19980533,2021-03-22 09:53:00
27,[0.7190047  0.01003518 0.27096018],positive,0.70896953,2021-03-22 09:50:20
28,[0.9181743  0.02416913 0.05765648],positive,0.8940052,2021-03-22 05:30:00
29,[0.02112209 0.11743601 0.86144197],neutral,-0.09631392,2021-03-21 23:28:00
30,[0.0396217  0.04881226 0.911566  ],neutral,-0.009190559,2021-03-21 12:31:00
31,[0.11198948 0.01173567 0.8762748 ],neutral,0.100253806,2021-03-19 16:42:44
32,[0.11725324 0.01860674 0.86414003],neutral,0.09864651,2021-03-19 13:26:13
33,[0.6510565  0.00978786 0.33915564],positive,0.6412687,2021-03-19 13:26:06
34,[0.24151398 0.03623004 0.722256  ],neutral,0.20528394,2021-03-19 07:23:04
35,[0.01883151 0.05920075 0.9219677 ],neutral,-0.040369242,2021-03-19 04:55:25
36,[0.03962649 0.05410429 0.9062692 ],neutral,-0.014477801,2021-03-18 19:50:00
37,[0.6151245  0.00986466 0.37501082],positive,0.60525984,2021-03-18 17:48:02
38,[0.9277496  0.02744506 0.04480534],positive,0.9003045,2021-03-18 17:12:00
39,[0.9379417  0.01757817 0.04448018],positive,0.9203635,2021-03-18 15:37:38
40,[0.89245427 0.00880447 0.09874125],positive,0.8836498,2021-03-18 11:44:11
41,[0.1415973  0.01368152 0.8447212 ],neutral,0.12791578,2021-03-18 01:54:05
42,[0.84528154 0.12225451 0.03246392],positive,0.72302705,2021-03-17 18:56:12
43,[0.93235713 0.02822233 0.03942056],positive,0.9041348,2021-03-17 14:27:12
